#
# COVID-19 Country file (official WHO count)
# Country = Belize
# Latitude = 17.0
# Population = 398.007
# Territory = 22966.0
# LEB = 74.6
# DPA = 2000
# DPA65 = 860
# GDP = 4962.0
# GDP_PPP = 8580.0
# COVID-19 Mortality = 12.6
# First_Case = 2020_03_24
# First_Death = 2020_04_07
# Last_Case = 2020_04_07
# Last_Death = 2020_04_07
# Status as of 2020_08_23 = Clusters of cases
#
Date	Conf_Cases	Conf_Deaths
2020_03_24	1	0
2020_03_25	1	0
2020_03_26	2	0
2020_03_27	2	0
2020_03_28	2	0
2020_03_29	2	0
2020_03_30	2	0
2020_03_31	3	0
2020_04_01	3	0
2020_04_02	3	0
2020_04_03	3	0
2020_04_04	3	0
2020_04_05	4	0
2020_04_06	5	0
2020_04_07	7	1
2020_04_08	7	1
2020_04_09	8	1
2020_04_10	9	1
2020_04_11	10	1
2020_04_12	10	2
2020_04_13	13	2
2020_04_14	14	2
2020_04_15	18	2
2020_04_16	18	2
2020_04_17	18	2
2020_04_18	18	2
2020_04_19	18	2
2020_04_20	18	2
2020_04_21	18	2
2020_04_22	18	2
2020_04_23	18	2
2020_04_24	18	2
2020_04_25	18	2
2020_04_26	18	2
2020_04_27	18	2
2020_04_28	18	2
2020_04_29	18	2
2020_04_30	18	2
2020_05_01	18	2
2020_05_02	18	2
2020_05_03	18	2
2020_05_04	18	2
2020_05_05	18	2
2020_05_06	18	2
2020_05_07	18	2
2020_05_08	18	2
2020_05_09	18	2
2020_05_10	18	2
2020_05_11	18	2
2020_05_12	18	2
2020_05_13	18	2
2020_05_14	18	2
2020_05_15	18	2
2020_05_16	18	2
2020_05_17	18	2
2020_05_18	18	2
2020_05_19	18	2
2020_05_20	18	2
2020_05_21	18	2
2020_05_22	18	2
2020_05_23	18	2
2020_05_24	18	2
2020_05_25	18	2
2020_05_26	18	2
2020_05_27	18	2
2020_05_28	18	2
2020_05_29	18	2
2020_05_30	18	2
2020_05_31	18	2
2020_06_01	18	2
2020_06_02	18	2
2020_06_03	18	2
2020_06_04	18	2
2020_06_05	18	2
2020_06_06	18	2
2020_06_07	19	2
2020_06_08	19	2
2020_06_09	19	2
2020_06_10	19	2
2020_06_11	20	2
2020_06_12	20	2
2020_06_13	20	2
2020_06_14	20	2
2020_06_15	21	2
2020_06_16	21	2
2020_06_17	21	2
2020_06_18	22	2
2020_06_19	22	2
2020_06_20	22	2
2020_06_21	22	2
2020_06_22	22	2
2020_06_23	22	2
2020_06_24	23	2
2020_06_25	23	2
2020_06_26	23	2
2020_06_27	23	2
2020_06_28	24	2
2020_06_29	24	2
2020_06_30	24	2
2020_07_01	24	2
2020_07_02	28	2
2020_07_03	28	2
2020_07_04	28	2
2020_07_05	30	2
2020_07_06	30	2
2020_07_07	30	2
2020_07_08	30	2
2020_07_09	30	2
2020_07_10	30	2
2020_07_11	33	2
2020_07_12	37	2
2020_07_13	37	2
2020_07_14	37	2
2020_07_15	37	2
2020_07_16	39	2
2020_07_17	39	2
2020_07_18	40	2
2020_07_19	40	2
2020_07_20	40	2
2020_07_21	40	2
2020_07_22	42	2
2020_07_23	43	2
2020_07_24	43	2
2020_07_25	47	2
2020_07_26	47	2
2020_07_27	48	2
2020_07_28	48	2
2020_07_29	48	2
2020_07_30	48	2
2020_07_31	48	2
2020_08_01	48	2
2020_08_02	48	2
2020_08_03	56	2
2020_08_04	57	2
2020_08_05	57	2
2020_08_06	67	2
2020_08_07	86	2
2020_08_08	114	2
2020_08_09	146	2
2020_08_10	153	2
2020_08_11	154	2
2020_08_12	177	2
2020_08_13	210	2
2020_08_14	296	2
2020_08_15	356	2
2020_08_16	388	3
2020_08_17	425	3
2020_08_18	462	3
2020_08_19	499	3
2020_08_20	536	3
2020_08_21	573	3
2020_08_22	610	3
2020_08_23	648	5
