#
# COVID-19 Country file (official WHO count)
# Country = Benin
# Latitude = 6.0
# Population = 12122.985
# Territory = 114763.0
# LEB = 61.8
# DPA = 103000
# DPA65 = 23690
# GDP = 981.0
# GDP_PPP = 2758.0
# COVID-19 Mortality = 8.4
# First_Case = 2020_03_17
# Last_Case = 2021_06_13
# First_Death = 2020_04_07
# Last_Death = 2021_06_06
# Status as of 2021_06_13 = Community transmission
# Vaccine type = Unknown
# Vaccine start = NA
#
Date	Conf_Cases	Conf_Deaths	Daily_Cases	Daily_Deaths
2020_03_17	       1	       0	       1	       0
2020_03_18	       1	       0	       0	       0
2020_03_19	       1	       0	       0	       0
2020_03_20	       2	       0	       1	       0
2020_03_21	       2	       0	       0	       0
2020_03_22	       2	       0	       0	       0
2020_03_23	       2	       0	       0	       0
2020_03_24	       5	       0	       3	       0
2020_03_25	       5	       0	       0	       0
2020_03_26	       5	       0	       0	       0
2020_03_27	       6	       0	       1	       0
2020_03_28	       6	       0	       0	       0
2020_03_29	       6	       0	       0	       0
2020_03_30	       6	       0	       0	       0
2020_03_31	       6	       0	       0	       0
2020_04_01	       9	       0	       3	       0
2020_04_02	      13	       0	       4	       0
2020_04_03	      13	       0	       0	       0
2020_04_04	      13	       0	       0	       0
2020_04_05	      13	       0	       0	       0
2020_04_06	      22	       0	       9	       0
2020_04_07	      23	       1	       1	       1
2020_04_08	      26	       1	       3	       0
2020_04_09	      26	       1	       0	       0
2020_04_10	      30	       1	       4	       0
2020_04_11	      30	       1	       0	       0
2020_04_12	      35	       2	       5	       1
2020_04_13	      35	       1	       0	      -1
2020_04_14	      35	       1	       0	       0
2020_04_15	      35	       1	       0	       0
2020_04_16	      35	       1	       0	       0
2020_04_17	      37	       1	       2	       0
2020_04_18	      37	       1	       0	       0
2020_04_19	      37	       1	       0	       0
2020_04_20	      37	       1	       0	       0
2020_04_21	      54	       1	      17	       0
2020_04_22	      54	       1	       0	       0
2020_04_23	      54	       1	       0	       0
2020_04_24	      58	       1	       4	       0
2020_04_25	      58	       1	       0	       0
2020_04_26	      58	       1	       0	       0
2020_04_27	      64	       1	       6	       0
2020_04_28	      64	       1	       0	       0
2020_04_29	      64	       1	       0	       0
2020_04_30	      69	       2	       5	       1
2020_05_01	      84	       2	      15	       0
2020_05_02	      90	       2	       6	       0
2020_05_03	      90	       2	       0	       0
2020_05_04	      90	       2	       0	       0
2020_05_05	      96	       2	       6	       0
2020_05_06	     102	       2	       6	       0
2020_05_07	     102	       2	       0	       0
2020_05_08	     140	       2	      38	       0
2020_05_09	     242	       2	     102	       0
2020_05_10	     284	       2	      42	       0
2020_05_11	     319	       2	      35	       0
2020_05_12	     319	       2	       0	       0
2020_05_13	     327	       2	       8	       0
2020_05_14	     327	       2	       0	       0
