#
# COVID-19 Country file (official WHO count)
# Country = Bermuda
# Latitude = 32.0
# Population = 60.639
# Territory = 54.0
# LEB = -999.0
# DPA = -999
# DPA65 = -999
# GDP = 93970.0
# GDP_PPP = 85700.0
# COVID-19 Mortality = 148.4
# First_Case = 2020_03_20
# First_Death = 2020_04_08
# Last_Case = 2020_04_08
# Last_Death = 2020_04_08
# Status as of 2020_08_23 = Sporadic cases
#
Date	Conf_Cases	Conf_Deaths
2020_03_20	2	0
2020_03_21	2	0
2020_03_22	2	0
2020_03_23	2	0
2020_03_24	6	0
2020_03_25	6	0
2020_03_26	7	0
2020_03_27	7	0
2020_03_28	15	0
2020_03_29	17	0
2020_03_30	22	0
2020_03_31	22	0
2020_04_01	27	0
2020_04_02	32	0
2020_04_03	32	0
2020_04_04	35	0
2020_04_05	35	0
2020_04_06	37	0
2020_04_07	37	0
2020_04_08	39	2
2020_04_09	39	2
2020_04_10	39	3
2020_04_11	48	4
2020_04_12	48	4
2020_04_13	50	4
2020_04_14	57	4
2020_04_15	57	5
2020_04_16	57	5
2020_04_17	81	5
2020_04_18	83	5
2020_04_19	83	5
2020_04_20	86	5
2020_04_21	86	5
2020_04_22	86	5
2020_04_23	98	5
2020_04_24	99	5
2020_04_25	99	5
2020_04_26	99	5
2020_04_27	109	5
2020_04_28	109	6
2020_04_29	110	6
2020_04_30	111	6
2020_05_01	111	6
2020_05_02	114	6
2020_05_03	114	6
2020_05_04	115	7
2020_05_05	115	7
2020_05_06	115	7
2020_05_07	115	7
2020_05_08	118	7
2020_05_09	118	7
2020_05_10	118	7
2020_05_11	118	7
2020_05_12	118	7
2020_05_13	119	8
2020_05_14	121	8
2020_05_15	121	8
2020_05_16	122	9
2020_05_17	123	9
2020_05_18	123	9
2020_05_19	123	9
2020_05_20	125	9
2020_05_21	125	9
2020_05_22	125	9
2020_05_23	125	9
2020_05_24	128	9
2020_05_25	133	9
2020_05_26	133	9
2020_05_27	133	9
2020_05_28	139	9
2020_05_29	139	9
2020_05_30	140	9
2020_05_31	140	9
2020_06_01	140	9
2020_06_02	140	9
2020_06_03	141	9
2020_06_04	141	9
2020_06_05	141	9
2020_06_06	141	9
2020_06_07	141	9
2020_06_08	141	9
2020_06_09	141	9
2020_06_10	141	9
2020_06_11	141	9
2020_06_12	141	9
2020_06_13	141	9
2020_06_14	142	9
2020_06_15	144	9
2020_06_16	144	9
2020_06_17	144	9
2020_06_18	144	9
2020_06_19	144	9
2020_06_20	144	9
2020_06_21	146	9
2020_06_22	146	9
2020_06_23	146	9
2020_06_24	146	9
2020_06_25	146	9
2020_06_26	146	9
2020_06_27	146	9
2020_06_28	146	9
2020_06_29	146	9
2020_06_30	146	9
2020_07_01	146	9
2020_07_02	146	9
2020_07_03	146	9
2020_07_04	146	9
2020_07_05	146	9
2020_07_06	146	9
2020_07_07	146	9
2020_07_08	146	9
2020_07_09	149	9
2020_07_10	149	9
2020_07_11	149	9
2020_07_12	150	9
2020_07_13	150	9
2020_07_14	150	9
2020_07_15	150	9
2020_07_16	150	9
2020_07_17	150	9
2020_07_18	152	9
2020_07_19	152	9
2020_07_20	153	9
2020_07_21	153	9
2020_07_22	153	9
2020_07_23	153	9
2020_07_24	153	9
2020_07_25	153	9
2020_07_26	153	9
2020_07_27	154	9
2020_07_28	154	9
2020_07_29	154	9
2020_07_30	156	9
2020_07_31	156	9
2020_08_01	156	9
2020_08_02	156	9
2020_08_03	156	9
2020_08_04	157	9
2020_08_05	157	9
2020_08_06	157	9
2020_08_07	157	9
2020_08_08	157	9
2020_08_09	158	9
2020_08_10	158	9
2020_08_11	158	9
2020_08_12	159	9
2020_08_13	159	9
2020_08_14	159	9
2020_08_15	159	9
2020_08_16	159	9
2020_08_17	160	9
2020_08_18	161	9
2020_08_19	162	9
2020_08_20	163	9
2020_08_21	164	9
2020_08_22	165	9
2020_08_23	167	9
