#
# COVID-19 Country file (official WHO count)
# Country = Bolivia (Plurinational State of)
# Latitude = -16.0
# Population = 11543.982
# Territory = 1098581.0
# LEB = 71.5
# DPA = 78000
# DPA65 = 33540
# GDP = 3538.0
# GDP_PPP = 7966.0
# COVID-19 Mortality = 1335.5
# First_Case = 2020_03_11
# Last_Case = 2021_06_13
# First_Death = 2020_03_31
# Last_Death = 2021_06_13
# Status as of 2021_06_13 = Community transmission
# Vaccine type = Unknown
# Vaccine start = NA
#
Date	Conf_Cases	Conf_Deaths	Daily_Cases	Daily_Deaths
2020_03_11	       2	       0	       2	       0
2020_03_12	       2	       0	       0	       0
2020_03_13	       3	       0	       1	       0
2020_03_14	       3	       0	       0	       0
2020_03_15	       3	       0	       0	       0
2020_03_16	      11	       0	       8	       0
2020_03_17	      11	       0	       0	       0
2020_03_18	      11	       0	       0	       0
2020_03_19	      12	       0	       1	       0
2020_03_20	      15	       0	       3	       0
2020_03_21	      16	       0	       1	       0
2020_03_22	      19	       0	       3	       0
2020_03_23	      24	       0	       5	       0
2020_03_24	      27	       0	       3	       0
2020_03_25	      28	       0	       1	       0
2020_03_26	      39	       0	      11	       0
2020_03_27	      39	       0	       0	       0
2020_03_28	      61	       0	      22	       0
2020_03_29	      74	       0	      13	       0
2020_03_30	      74	       0	       0	       0
2020_03_31	      97	       5	      23	       5
2020_04_01	     107	       6	      10	       1
2020_04_02	     115	       7	       8	       1
2020_04_03	     123	       8	       8	       1
2020_04_04	     132	       9	       9	       1
2020_04_05	     139	      10	       7	       1
2020_04_06	     157	      10	      18	       0
2020_04_07	     183	      11	      26	       1
2020_04_08	     194	      14	      11	       3
2020_04_09	     210	      15	      16	       1
2020_04_10	     264	      18	      54	       3
2020_04_11	     268	      19	       4	       1
2020_04_12	     275	      20	       7	       1
2020_04_13	     300	      24	      25	       4
2020_04_14	     330	      27	      30	       3
2020_04_15	     354	      28	      24	       1
2020_04_16	     397	      28	      43	       0
2020_04_17	     441	      29	      44	       1
2020_04_18	     465	      31	      24	       2
2020_04_19	     493	      31	      28	       0
2020_04_20	     520	      32	      27	       1
2020_04_21	     564	      33	      44	       1
2020_04_22	     598	      34	      34	       1
2020_04_23	     609	      37	      11	       3
2020_04_24	     672	      40	      63	       3
2020_04_25	     703	      43	      31	       3
2020_04_26	     807	      44	     104	       1
2020_04_27	     866	      46	      59	       2
2020_04_28	     950	      50	      84	       4
2020_04_29	    1014	      53	      64	       3
2020_04_30	    1053	      55	      39	       2
2020_05_01	    1110	      59	      57	       4
2020_05_02	    1167	      62	      57	       3
2020_05_03	    1229	      66	      62	       4
2020_05_04	    1470	      71	     241	       5
2020_05_05	    1594	      76	     124	       5
2020_05_06	    1681	      82	      87	       6
2020_05_07	    1802	      86	     121	       4
2020_05_08	    1886	      91	      84	       5
2020_05_09	    2081	     102	     195	      11
2020_05_10	    2266	     106	     185	       4
2020_05_11	    2437	     114	     171	       8
2020_05_12	    2556	     118	     119	       4
2020_05_13	    2831	     122	     275	       4
2020_05_14	    2964	     128	     133	       6
2020_05_15	    3148	     142	     184	      14
2020_05_16	    3372	     152	     224	      10
2020_05_17	    3577	     164	     205	      12
2020_05_18	    3826	     165	     249	       1
2020_05_19	    4088	     169	     262	       4
2020_05_20	    4263	     174	     175	       5
2020_05_21	    4481	     189	     218	      15
2020_05_22	    4919	     199	     438	      10
2020_05_23	    5187	     215	     268	      16
2020_05_24	    5579	     230	     392	      15
2020_05_25	    5915	     240	     336	      10
2020_05_26	    6263	     250	     348	      10
2020_05_27	    6660	     261	     397	      11
2020_05_28	    7136	     274	     476	      13
2020_05_29	    7768	     280	     632	       6
2020_05_30	    8387	     293	     619	      13
2020_05_31	    8731	     300	     344	       7
2020_06_01	    9592	     310	     861	      10
2020_06_02	    9982	     313	     390	       3
2020_06_03	   10531	     343	     549	      30
2020_06_04	   10991	     376	     460	      33
2020_06_05	   11638	     400	     647	      24
2020_06_06	   12245	     415	     607	      15
2020_06_07	   12728	     427	     483	      12
2020_06_08	   13358	     454	     630	      27
2020_06_09	   13643	     465	     285	      11
2020_06_10	   13949	     475	     306	      10
2020_06_11	   14644	     487	     695	      12
2020_06_12	   15281	     512	     637	      25
2020_06_13	   16165	     533	     884	      21
2020_06_14	   16929	     559	     764	      26
2020_06_15	   17842	     585	     913	      26
2020_06_16	   18459	     611	     617	      26
2020_06_17	   19073	     632	     614	      21
2020_06_18	   19883	     659	     810	      27
2020_06_19	   20685	     679	     802	      20
2020_06_20	   21499	     697	     814	      18
2020_06_21	   22476	     715	     977	      18
2020_06_22	   23512	     740	    1036	      25
2020_06_23	   24388	     773	     876	      33
2020_06_24	   25493	     820	    1105	      47
2020_06_25	   26389	     846	     896	      26
2020_06_26	   27487	     876	    1098	      30
2020_06_27	   28503	     913	    1016	      37
2020_06_28	   29423	     934	     920	      21
2020_06_29	   30676	     970	    1253	      36
2020_06_30	   31524	    1014	     848	      44
2020_07_01	   32125	    1071	     601	      57
2020_07_02	   33219	    1123	    1094	      52
2020_07_03	   34227	    1201	    1008	      78
2020_07_04	   35528	    1271	    1301	      70
2020_07_05	   36818	    1320	    1290	      49
2020_07_06	   38071	    1378	    1253	      58
2020_07_07	   39297	    1434	    1226	      56
2020_07_08	   40509	    1476	    1212	      42
2020_07_09	   41545	    1530	    1036	      54
2020_07_10	   42984	    1577	    1439	      47
2020_07_11	   44113	    1638	    1129	      61
2020_07_12	   45565	    1702	    1452	      64
2020_07_13	   47200	    1754	    1635	      52
2020_07_14	   48187	    1807	     987	      53
2020_07_15	   49250	    1866	    1063	      59
2020_07_16	   50867	    1898	    1617	      32
2020_07_17	   52218	    1942	    1351	      44
2020_07_18	   54156	    1984	    1938	      42
2020_07_19	   56102	    2049	    1946	      65
2020_07_20	   58138	    2106	    2036	      57
2020_07_21	   59582	    2151	    1444	      45
2020_07_22	   60991	    2218	    1409	      67
2020_07_23	   62357	    2273	    1366	      55
2020_07_24	   64135	    2328	    1778	      55
2020_07_25	   65252	    2407	    1117	      79
2020_07_26	   65252	    2407	       0	       0
2020_07_27	   68281	    2535	    3029	     128
2020_07_28	   69429	    2583	    1148	      48
2020_07_29	   71181	    2647	    1752	      64
2020_07_30	   72327	    2720	    1146	      73
2020_07_31	   73534	    2808	    1207	      88
2020_08_01	   75234	    2894	    1700	      86
2020_08_02	   76789	    2977	    1555	      83
2020_08_03	   78793	    3064	    2004	      87
2020_08_04	   80153	    3153	    1360	      89
2020_08_05	   81846	    3228	    1693	      75
2020_08_06	   83361	    3320	    1515	      92
2020_08_07	   85141	    3385	    1780	      65
2020_08_08	   86423	    3465	    1282	      80
2020_08_09	   87891	    3524	    1468	      59
2020_08_10	   89055	    3687	    1164	     163
2020_08_11	   89999	    3640	     944	     -47
2020_08_12	   91635	    3712	    1636	      72
2020_08_13	   93328	    3761	    1693	      49
2020_08_14	   95071	    3827	    1743	      66
2020_08_15	   96459	    3884	    1388	      57
2020_08_16	   97950	    3939	    1491	      55
2020_08_17	   99305	    4000	    1355	      61
2020_08_18	  100660	    4061	    1355	      61
2020_08_19	  102015	    4122	    1355	      61
2020_08_20	  103370	    4183	    1355	      61
2020_08_21	  104725	    4244	    1355	      61
2020_08_22	  106080	    4305	    1355	      61
2020_08_23	  107435	    4366	    1355	      61
2020_08_24	  108431	    4434	     996	      68
