#
# COVID-19 Country file (official WHO count)
# Country = Bonaire, Sint Eustatius and Saba
# Latitude = 44.0
# Population = 26.212
# Territory = 328.0
# LEB = -999.0
# DPA = -999
# DPA65 = -999
# GDP = -999.0
# GDP_PPP = -999.0
# COVID-19 Mortality = 0.0
# First_Case = 2020_04_04
# Last_Case = 2020_08_23
# Status as of 2020_08_23 = Sporadic cases
#
Date	Conf_Cases	Conf_Deaths
2020_04_04	2	0
2020_04_05	2	0
2020_04_06	2	0
2020_04_07	2	0
2020_04_08	2	0
2020_04_09	2	0
2020_04_10	2	0
2020_04_11	2	0
2020_04_12	2	0
2020_04_13	3	0
2020_04_14	3	0
2020_04_15	4	0
2020_04_16	4	0
2020_04_17	4	0
2020_04_18	5	0
2020_04_19	5	0
2020_04_20	5	0
2020_04_21	5	0
2020_04_22	5	0
2020_04_23	5	0
2020_04_24	5	0
2020_04_25	5	0
2020_04_26	5	0
2020_04_27	5	0
2020_04_28	6	0
2020_04_29	6	0
2020_04_30	6	0
2020_05_01	6	0
2020_05_02	6	0
2020_05_03	6	0
2020_05_04	6	0
2020_05_05	6	0
2020_05_06	6	0
2020_05_07	6	0
2020_05_08	6	0
2020_05_09	6	0
2020_05_10	6	0
2020_05_11	6	0
2020_05_12	6	0
2020_05_13	6	0
2020_05_14	6	0
2020_05_15	6	0
2020_05_16	6	0
2020_05_17	6	0
2020_05_18	6	0
2020_05_19	6	0
2020_05_20	6	0
2020_05_21	6	0
2020_05_22	6	0
2020_05_23	6	0
2020_05_24	6	0
2020_05_25	6	0
2020_05_26	7	0
2020_05_27	7	0
2020_05_28	7	0
2020_05_29	7	0
2020_05_30	7	0
2020_05_31	7	0
2020_06_01	7	0
2020_06_02	7	0
2020_06_03	7	0
2020_06_04	7	0
2020_06_05	7	0
2020_06_06	7	0
2020_06_07	7	0
2020_06_08	7	0
2020_06_09	7	0
2020_06_10	7	0
2020_06_11	7	0
2020_06_12	7	0
2020_06_13	7	0
2020_06_14	7	0
2020_06_15	7	0
2020_06_16	7	0
2020_06_17	7	0
2020_06_18	7	0
2020_06_19	7	0
2020_06_20	7	0
2020_06_21	7	0
2020_06_22	7	0
2020_06_23	7	0
2020_06_24	7	0
2020_06_25	7	0
2020_06_26	7	0
2020_06_27	7	0
2020_06_28	7	0
2020_06_29	7	0
2020_06_30	7	0
2020_07_01	7	0
2020_07_02	7	0
2020_07_03	7	0
2020_07_04	7	0
2020_07_05	7	0
2020_07_06	7	0
2020_07_07	7	0
2020_07_08	7	0
2020_07_09	7	0
2020_07_10	7	0
2020_07_11	7	0
2020_07_12	7	0
2020_07_13	7	0
2020_07_14	7	0
2020_07_15	9	0
2020_07_16	9	0
2020_07_17	10	0
2020_07_18	10	0
2020_07_19	10	0
2020_07_20	10	0
2020_07_21	10	0
2020_07_22	10	0
2020_07_23	10	0
2020_07_24	11	0
2020_07_25	11	0
2020_07_26	11	0
2020_07_27	11	0
2020_07_28	11	0
2020_07_29	11	0
2020_07_30	11	0
2020_07_31	11	0
2020_08_01	11	0
2020_08_02	11	0
2020_08_03	11	0
2020_08_04	13	0
2020_08_05	13	0
2020_08_06	13	0
2020_08_07	13	0
2020_08_08	13	0
2020_08_09	13	0
2020_08_10	13	0
2020_08_11	13	0
2020_08_12	13	0
2020_08_13	13	0
2020_08_14	13	0
2020_08_15	13	0
2020_08_16	13	0
2020_08_17	13	0
2020_08_18	13	0
2020_08_19	13	0
2020_08_20	13	0
2020_08_21	13	0
2020_08_22	13	0
2020_08_23	13	0
