#
# COVID-19 Country file (official WHO count)
# Country = Bosnia and Herzegovina
# Latitude = 44.0
# Population = 3498.210
# Territory = 51209.0
# LEB = 77.4
# DPA = 36000
# DPA65 = 28080
# GDP = 5663.0
# GDP_PPP = 13639.0
# COVID-19 Mortality = 2712.2
# First_Case = 2020_03_05
# Last_Case = 2021_06_13
# First_Death = 2020_03_22
# Last_Death = 2021_06_13
# Status as of 2021_06_13 = Community transmission
# Vaccine type = Unknown
# Vaccine start = NA
#
Date	Conf_Cases	Conf_Deaths	Daily_Cases	Daily_Deaths
2020_03_05	       2	       0	       2	       0
2020_03_06	       2	       0	       0	       0
2020_03_07	       2	       0	       0	       0
2020_03_08	       2	       0	       0	       0
2020_03_09	       2	       0	       0	       0
2020_03_10	       2	       0	       0	       0
2020_03_11	       4	       0	       2	       0
2020_03_12	       4	       0	       0	       0
2020_03_13	       4	       0	       0	       0
2020_03_14	      11	       0	       7	       0
2020_03_15	      18	       0	       7	       0
2020_03_16	      18	       0	       0	       0
2020_03_17	      19	       0	       1	       0
2020_03_18	      19	       0	       0	       0
2020_03_19	      36	       0	      17	       0
2020_03_20	      44	       0	       8	       0
2020_03_21	      44	       0	       0	       0
2020_03_22	      92	       1	      48	       1
2020_03_23	     125	       1	      33	       0
2020_03_24	     131	       1	       6	       0
2020_03_25	     164	       2	      33	       1
2020_03_26	     173	       3	       9	       1
2020_03_27	     213	       3	      40	       0
2020_03_28	     233	       4	      20	       1
2020_03_29	     269	       6	      36	       2
2020_03_30	     325	       6	      56	       0
2020_03_31	     359	       9	      34	       3
2020_04_01	     413	      12	      54	       3
2020_04_02	     464	      13	      51	       1
2020_04_03	     521	      16	      57	       3
2020_04_04	     586	      18	      65	       2
2020_04_05	     632	      21	      46	       3
2020_04_06	     662	      21	      30	       0
2020_04_07	     695	      28	      33	       7
2020_04_08	     781	      32	      86	       4
2020_04_09	     816	      35	      35	       3
2020_04_10	     875	      36	      59	       1
2020_04_11	     901	      37	      26	       1
2020_04_12	     948	      37	      47	       0
2020_04_13	    1007	      38	      59	       1
2020_04_14	    1034	      38	      27	       0
2020_04_15	    1086	      40	      52	       2
2020_04_16	    1116	      41	      30	       1
2020_04_17	    1169	      42	      53	       1
2020_04_18	    1210	      44	      41	       2
2020_04_19	    1268	      46	      58	       2
2020_04_20	    1286	      46	      18	       0
2020_04_21	    1300	      49	      14	       3
2020_04_22	    1340	      50	      40	       1
2020_04_23	    1367	      52	      27	       2
2020_04_24	    1413	      53	      46	       1
2020_04_25	    1428	      54	      15	       1
2020_04_26	    1485	      56	      57	       2
2020_04_27	    1516	      58	      31	       2
2020_04_28	    1564	      60	      48	       2
2020_04_29	    1588	      62	      24	       2
2020_04_30	    1689	      64	     101	       2
2020_05_01	    1757	      68	      68	       4
2020_05_02	    1757	      68	       0	       0
2020_05_03	    1757	      68	       0	       0
2020_05_04	    1857	      76	     100	       8
2020_05_05	    1926	      77	      69	       1
2020_05_06	    1968	      82	      42	       5
2020_05_07	    2017	      87	      49	       5
2020_05_08	    2027	      89	      10	       2
2020_05_09	    2070	      97	      43	       8
2020_05_10	    2070	      97	       0	       0
2020_05_11	    2098	     103	      28	       6
2020_05_12	    2142	     112	      44	       9
2020_05_13	    2162	     116	      20	       4
2020_05_14	    2181	     119	      19	       3
2020_05_15	    2216	     123	      35	       4
2020_05_16	    2237	     127	      21	       4
2020_05_17	    2265	     131	      28	       4
2020_05_18	    2289	     132	      24	       1
2020_05_19	    2303	     132	      14	       0
2020_05_20	    2319	     133	      16	       1
2020_05_21	    2334	     135	      15	       2
2020_05_22	    2352	     139	      18	       4
2020_05_23	    2371	     140	      19	       1
2020_05_24	    2371	     140	       0	       0
2020_05_25	    2391	     141	      20	       1
2020_05_26	    2405	     145	      14	       4
2020_05_27	    2415	     149	      10	       4
2020_05_28	    2415	     149	       0	       0
2020_05_29	    2462	     152	      47	       3
2020_05_30	    2484	     152	      22	       0
2020_05_31	    2493	     152	       9	       0
2020_06_01	    2509	     152	      16	       0
2020_06_02	    2523	     153	      14	       1
2020_06_03	    2534	     156	      11	       3
2020_06_04	    2550	     156	      16	       0
2020_06_05	    2593	     158	      43	       2
2020_06_06	    2605	     158	      12	       0
2020_06_07	    2645	     158	      40	       0
2020_06_08	    2673	     159	      28	       1
2020_06_09	    2703	     159	      30	       0
2020_06_10	    2727	     159	      24	       0
2020_06_11	    2776	     160	      49	       1
2020_06_12	    2831	     160	      55	       0
2020_06_13	    2892	     162	      61	       2
2020_06_14	    2892	     162	       0	       0
2020_06_15	    3001	     163	     109	       1
2020_06_16	    3039	     164	      38	       1
2020_06_17	    3084	     167	      45	       3
2020_06_18	    3144	     167	      60	       0
2020_06_19	    3202	     167	      58	       0
2020_06_20	    3288	     168	      86	       1
2020_06_21	    3354	     169	      66	       1
2020_06_22	    3431	     169	      77	       0
2020_06_23	    3524	     170	      93	       1
2020_06_24	    3587	     171	      63	       1
2020_06_25	    3675	     172	      88	       1
2020_06_26	    3675	     172	       0	       0
2020_06_27	    3934	     177	     259	       5
2020_06_28	    4107	     179	     173	       2
2020_06_29	    4107	     179	       0	       0
2020_06_30	    4343	     183	     236	       4
2020_07_01	    4453	     185	     110	       2
2020_07_02	    4606	     187	     153	       2
2020_07_03	    4788	     188	     182	       1
2020_07_04	    4960	     190	     172	       2
2020_07_05	    5249	     190	     289	       0
2020_07_06	    5393	     193	     144	       3
2020_07_07	    5393	     193	       0	       0
2020_07_08	    5618	     206	     225	      13
2020_07_09	    5868	     207	     250	       1
2020_07_10	    6087	     213	     219	       6
2020_07_11	    6402	     215	     315	       2
2020_07_12	    6402	     215	       0	       0
2020_07_13	    6884	     220	     482	       5
2020_07_14	    6979	     224	      95	       4
2020_07_15	    6979	     224	       0	       0
2020_07_16	    7407	     233	     428	       9
2020_07_17	    7681	     239	     274	       6
2020_07_18	    7908	     243	     227	       4
2020_07_19	    8164	     245	     256	       2
2020_07_20	    8452	     250	     288	       5
2020_07_21	    8591	     256	     139	       6
2020_07_22	    8786	     261	     195	       5
2020_07_23	    9116	     267	     330	       6
2020_07_24	    9460	     272	     344	       5
2020_07_25	    9764	     278	     304	       6
2020_07_26	    9764	     278	       0	       0
2020_07_27	   10332	     285	     568	       7
2020_07_28	   10515	     292	     183	       7
2020_07_29	   10747	     295	     232	       3
2020_07_30	   11129	     312	     382	      17
2020_07_31	   11442	     324	     313	      12
2020_08_01	   11442	     324	       0	       0
2020_08_02	   11875	     335	     433	      11
2020_08_03	   12296	     351	     421	      16
2020_08_04	   12477	     358	     181	       7
2020_08_05	   12858	     368	     381	      10
2020_08_06	   13146	     374	     288	       6
2020_08_07	   13397	     379	     251	       5
2020_08_08	   13684	     388	     287	       9
2020_08_09	   14089	     396	     405	       8
2020_08_10	   14325	     402	     236	       6
2020_08_11	   14325	     402	       0	       0
2020_08_12	   14401	     420	      76	      18
2020_08_13	   14960	     448	     559	      28
2020_08_14	   15187	     453	     227	       5
2020_08_15	   15534	     464	     347	      11
2020_08_16	   15802	     466	     268	       2
2020_08_17	   16074	     474	     272	       8
2020_08_18	   16347	     483	     273	       9
2020_08_19	   16620	     491	     273	       8
2020_08_20	   16893	     500	     273	       9
2020_08_21	   17166	     508	     273	       8
2020_08_22	   17439	     517	     273	       9
2020_08_23	   17712	     526	     273	       9
2020_08_24	   17974	     534	     262	       8
2020_08_25	   18236	     543	     262	       9
2020_08_26	   18498	     552	     262	       9
2020_08_27	   18760	     561	     262	       9
2020_08_28	   19022	     570	     262	       9
2020_08_29	   19284	     579	     262	       9
2020_08_30	   19546	     588	     262	       9
2020_08_31	   19782	     594	     236	       6
2020_09_01	   20018	     600	     236	       6
2020_09_02	   20254	     606	     236	       6
2020_09_03	   20490	     613	     236	       7
2020_09_04	   20726	     619	     236	       6
2020_09_05	   20962	     625	     236	       6
2020_09_06	   21198	     632	     236	       7
2020_09_07	   21348	     637	     150	       5
2020_09_08	   21499	     642	     151	       5
2020_09_09	   21650	     647	     151	       5
2020_09_10	   21801	     652	     151	       5
2020_09_11	   21952	     657	     151	       5
2020_09_12	   22103	     662	     151	       5
2020_09_13	   22254	     668	     151	       6
2020_09_14	   22630	     679	     376	      11
2020_09_15	   23007	     690	     377	      11
2020_09_16	   23384	     701	     377	      11
2020_09_17	   23761	     712	     377	      11
2020_09_18	   24138	     723	     377	      11
2020_09_19	   24515	     734	     377	      11
2020_09_20	   24892	     746	     377	      12
2020_09_21	   25163	     754	     271	       8
2020_09_22	   25435	     763	     272	       9
2020_09_23	   25707	     772	     272	       9
2020_09_24	   25979	     781	     272	       9
2020_09_25	   26251	     790	     272	       9
2020_09_26	   26523	     799	     272	       9
2020_09_27	   26795	     808	     272	       9
2020_09_28	   27000	     816	     205	       8
2020_09_29	   27206	     825	     206	       9
2020_09_30	   27411	     834	     205	       9
2020_10_01	   27617	     843	     206	       9
2020_10_02	   27822	     852	     205	       9
2020_10_03	   28028	     861	     206	       9
2020_10_04	   28234	     870	     206	       9
2020_10_05	   28535	     877	     301	       7
2020_10_06	   28836	     884	     301	       7
2020_10_07	   29137	     891	     301	       7
2020_10_08	   29439	     898	     302	       7
2020_10_09	   29740	     905	     301	       7
2020_10_10	   30041	     912	     301	       7
2020_10_11	   30343	     920	     302	       8
2020_10_12	   30882	     929	     539	       9
2020_10_13	   31422	     938	     540	       9
2020_10_14	   31961	     947	     539	       9
2020_10_15	   32501	     956	     540	       9
2020_10_16	   33040	     965	     539	       9
2020_10_17	   33580	     974	     540	       9
2020_10_18	   34120	     984	     540	      10
2020_10_19	   35087	     998	     967	      14
2020_10_20	   36055	    1013	     968	      15
2020_10_21	   37023	    1027	     968	      14
2020_10_22	   37990	    1042	     967	      15
2020_10_23	   38958	    1056	     968	      14
2020_10_24	   39926	    1071	     968	      15
2020_10_25	   40894	    1086	     968	      15
2020_10_26	   42207	    1107	    1313	      21
2020_10_27	   43521	    1128	    1314	      21
2020_10_28	   44835	    1149	    1314	      21
2020_10_29	   46148	    1170	    1313	      21
2020_10_30	   47462	    1191	    1314	      21
2020_10_31	   48776	    1212	    1314	      21
2020_11_01	   50090	    1234	    1314	      22
2020_11_02	   51678	    1270	    1588	      36
2020_11_03	   53267	    1307	    1589	      37
2020_11_04	   54856	    1343	    1589	      36
2020_11_05	   56445	    1380	    1589	      37
2020_11_06	   58034	    1416	    1589	      36
2020_11_07	   59623	    1453	    1589	      37
2020_11_08	   61212	    1490	    1589	      37
2020_11_09	   62596	    1542	    1384	      52
2020_11_10	   63980	    1594	    1384	      52
2020_11_11	   65364	    1647	    1384	      53
2020_11_12	   66748	    1699	    1384	      52
2020_11_13	   68132	    1752	    1384	      53
2020_11_14	   69516	    1804	    1384	      52
2020_11_15	   70900	    1857	    1384	      53
2020_11_16	   72101	    1912	    1201	      55
2020_11_17	   73302	    1968	    1201	      56
2020_11_18	   74503	    2023	    1201	      55
2020_11_19	   75705	    2079	    1202	      56
2020_11_20	   76906	    2134	    1201	      55
2020_11_21	   78107	    2190	    1201	      56
2020_11_22	   79309	    2246	    1202	      56
2020_11_23	   80366	    2293	    1057	      47
2020_11_24	   81423	    2340	    1057	      47
2020_11_25	   82480	    2387	    1057	      47
2020_11_26	   83538	    2434	    1058	      47
2020_11_27	   84595	    2481	    1057	      47
2020_11_28	   85652	    2528	    1057	      47
2020_11_29	   86710	    2576	    1058	      48
2020_11_30	   87718	    2625	    1008	      49
2020_12_01	   88726	    2674	    1008	      49
2020_12_02	   89734	    2724	    1008	      50
2020_12_03	   90743	    2773	    1009	      49
2020_12_04	   91751	    2823	    1008	      50
2020_12_05	   92759	    2872	    1008	      49
2020_12_06	   93768	    2922	    1009	      50
2020_12_07	   94702	    2975	     934	      53
2020_12_08	   95636	    3029	     934	      54
2020_12_09	   96570	    3083	     934	      54
2020_12_10	   97504	    3136	     934	      53
2020_12_11	   98438	    3190	     934	      54
2020_12_12	   99372	    3244	     934	      54
2020_12_13	  100306	    3298	     934	      54
2020_12_14	  101051	    3344	     745	      46
2020_12_15	  101796	    3391	     745	      47
2020_12_16	  102542	    3438	     746	      47
2020_12_17	  103287	    3484	     745	      46
2020_12_18	  104033	    3531	     746	      47
2020_12_19	  104778	    3578	     745	      47
2020_12_20	  105524	    3625	     746	      47
2020_12_21	  106067	    3667	     543	      42
2020_12_22	  106611	    3710	     544	      43
2020_12_23	  107155	    3752	     544	      42
2020_12_24	  107698	    3795	     543	      43
2020_12_25	  108242	    3837	     544	      42
2020_12_26	  108786	    3880	     544	      43
2020_12_27	  109330	    3923	     544	      43
2020_12_28	  109760	    3948	     430	      25
