#
# COVID-19 Country file (official WHO count)
# Country = Botswana
# Latitude = -25.0
# Population = 2415.766
# Territory = 581730.0
# LEB = 69.6
# DPA = 13000
# DPA65 = 4680
# GDP = 7905.0
# GDP_PPP = 18701.0
# COVID-19 Mortality = 370.9
# First_Case = 2020_04_01
# Last_Case = 2021_06_13
# First_Death = 2020_04_02
# Last_Death = 2021_06_13
# Status as of 2021_06_13 = Community transmission
# Vaccine type = Unknown
# Vaccine start = NA
#
Date	Conf_Cases	Conf_Deaths	Daily_Cases	Daily_Deaths
2020_04_01	       3	       0	       3	       0
2020_04_02	       3	       1	       0	       1
2020_04_03	       4	       1	       1	       0
2020_04_04	       4	       1	       0	       0
2020_04_05	       4	       1	       0	       0
2020_04_06	       4	       1	       0	       0
2020_04_07	       6	       1	       2	       0
2020_04_08	       6	       1	       0	       0
2020_04_09	       6	       1	       0	       0
2020_04_10	      13	       1	       7	       0
2020_04_11	      13	       1	       0	       0
2020_04_12	      13	       1	       0	       0
2020_04_13	      13	       1	       0	       0
2020_04_14	      13	       1	       0	       0
2020_04_15	      13	       1	       0	       0
2020_04_16	      13	       1	       0	       0
2020_04_17	      15	       1	       2	       0
2020_04_18	      15	       1	       0	       0
2020_04_19	      15	       1	       0	       0
2020_04_20	      20	       1	       5	       0
2020_04_21	      20	       1	       0	       0
2020_04_22	      20	       1	       0	       0
2020_04_23	      22	       1	       2	       0
2020_04_24	      22	       1	       0	       0
2020_04_25	      22	       1	       0	       0
2020_04_26	      22	       1	       0	       0
2020_04_27	      22	       1	       0	       0
2020_04_28	      22	       1	       0	       0
2020_04_29	      23	       1	       1	       0
2020_04_30	      23	       1	       0	       0
2020_05_01	      23	       1	       0	       0
2020_05_02	      23	       1	       0	       0
2020_05_03	      23	       1	       0	       0
2020_05_04	      23	       1	       0	       0
2020_05_05	      23	       1	       0	       0
2020_05_06	      23	       1	       0	       0
2020_05_07	      23	       1	       0	       0
2020_05_08	      23	       1	       0	       0
2020_05_09	      23	       1	       0	       0
2020_05_10	      23	       1	       0	       0
2020_05_11	      23	       1	       0	       0
2020_05_12	      24	       1	       1	       0
2020_05_13	      24	       1	       0	       0
2020_05_14	      24	       1	       0	       0
2020_05_15	      24	       1	       0	       0
2020_05_16	      24	       1	       0	       0
2020_05_17	      25	       1	       1	       0
2020_05_18	      25	       1	       0	       0
2020_05_19	      25	       1	       0	       0
2020_05_20	      25	       1	       0	       0
2020_05_21	      25	       1	       0	       0
2020_05_22	      29	       1	       4	       0
2020_05_23	      29	       1	       0	       0
2020_05_24	      29	       1	       0	       0
2020_05_25	      35	       1	       6	       0
2020_05_26	      35	       1	       0	       0
