#
# COVID-19 Country file (official WHO count)
# Country = Brunei Darussalam
# Latitude = 5.0
# Population = 444.519
# Territory = 5765.0
# LEB = 75.9
# DPA = 2000
# DPA65 = 940
# GDP = 29263.0
# GDP_PPP = 80877.0
# COVID-19 Mortality = 6.7
# First_Case = 2020_03_10
# Last_Case = 2021_06_13
# First_Death = 2020_03_28
# Last_Death = 2020_06_17
# Status as of 2021_06_13 = Sporadic cases
# Vaccine type = Unknown
# Vaccine start = NA
#
Date	Conf_Cases	Conf_Deaths	Daily_Cases	Daily_Deaths
2020_03_10	       1	       0	       1	       0
2020_03_11	       1	       0	       0	       0
2020_03_12	      12	       0	      11	       0
2020_03_13	      12	       0	       0	       0
2020_03_14	      25	       0	      13	       0
2020_03_15	      40	       0	      15	       0
2020_03_16	      50	       0	      10	       0
2020_03_17	      50	       0	       0	       0
2020_03_18	      54	       0	       4	       0
2020_03_19	      56	       0	       2	       0
2020_03_20	      73	       0	      17	       0
2020_03_21	      78	       0	       5	       0
2020_03_22	      83	       0	       5	       0
2020_03_23	      88	       0	       5	       0
2020_03_24	      91	       0	       3	       0
2020_03_25	     104	       0	      13	       0
2020_03_26	     109	       0	       5	       0
2020_03_27	     114	       0	       5	       0
2020_03_28	     115	       1	       1	       1
2020_03_29	     120	       1	       5	       0
2020_03_30	     126	       1	       6	       0
2020_03_31	     127	       1	       1	       0
2020_04_01	     129	       1	       2	       0
2020_04_02	     131	       1	       2	       0
2020_04_03	     133	       1	       2	       0
2020_04_04	     134	       1	       1	       0
2020_04_05	     135	       1	       1	       0
2020_04_06	     135	       1	       0	       0
2020_04_07	     135	       1	       0	       0
2020_04_08	     135	       1	       0	       0
2020_04_09	     135	       1	       0	       0
2020_04_10	     135	       1	       0	       0
2020_04_11	     136	       1	       1	       0
2020_04_12	     136	       1	       0	       0
2020_04_13	     136	       1	       0	       0
2020_04_14	     136	       1	       0	       0
2020_04_15	     136	       1	       0	       0
2020_04_16	     136	       1	       0	       0
2020_04_17	     136	       1	       0	       0
2020_04_18	     136	       1	       0	       0
2020_04_19	     137	       1	       1	       0
2020_04_20	     138	       1	       1	       0
2020_04_21	     138	       1	       0	       0
2020_04_22	     138	       1	       0	       0
2020_04_23	     138	       1	       0	       0
2020_04_24	     138	       1	       0	       0
2020_04_25	     138	       1	       0	       0
2020_04_26	     138	       1	       0	       0
2020_04_27	     138	       1	       0	       0
2020_04_28	     138	       1	       0	       0
2020_04_29	     138	       1	       0	       0
2020_04_30	     138	       1	       0	       0
2020_05_01	     138	       1	       0	       0
2020_05_02	     138	       1	       0	       0
2020_05_03	     138	       1	       0	       0
2020_05_04	     138	       1	       0	       0
2020_05_05	     138	       1	       0	       0
2020_05_06	     138	       1	       0	       0
2020_05_07	     139	       1	       1	       0
2020_05_08	     141	       1	       2	       0
2020_05_09	     141	       1	       0	       0
2020_05_10	     141	       1	       0	       0
2020_05_11	     141	       1	       0	       0
2020_05_12	     141	       1	       0	       0
2020_05_13	     141	       1	       0	       0
2020_05_14	     141	       1	       0	       0
2020_05_15	     141	       1	       0	       0
2020_05_16	     141	       1	       0	       0
2020_05_17	     141	       1	       0	       0
2020_05_18	     141	       1	       0	       0
2020_05_19	     141	       1	       0	       0
2020_05_20	     141	       1	       0	       0
2020_05_21	     141	       1	       0	       0
2020_05_22	     141	       1	       0	       0
2020_05_23	     141	       1	       0	       0
2020_05_24	     141	       1	       0	       0
2020_05_25	     141	       1	       0	       0
2020_05_26	     141	       1	       0	       0
2020_05_27	     141	       1	       0	       0
2020_05_28	     141	       2	       0	       1
2020_05_29	     141	       2	       0	       0
2020_05_30	     141	       2	       0	       0
2020_05_31	     141	       2	       0	       0
2020_06_01	     141	       2	       0	       0
2020_06_02	     141	       2	       0	       0
2020_06_03	     141	       2	       0	       0
2020_06_04	     141	       2	       0	       0
2020_06_05	     141	       2	       0	       0
2020_06_06	     141	       2	       0	       0
2020_06_07	     141	       2	       0	       0
2020_06_08	     141	       2	       0	       0
2020_06_09	     141	       2	       0	       0
2020_06_10	     141	       2	       0	       0
2020_06_11	     141	       2	       0	       0
2020_06_12	     141	       2	       0	       0
2020_06_13	     141	       2	       0	       0
2020_06_14	     141	       2	       0	       0
2020_06_15	     141	       2	       0	       0
2020_06_16	     141	       2	       0	       0
2020_06_17	     141	       3	       0	       1
2020_06_18	     141	       3	       0	       0
2020_06_19	     141	       3	       0	       0
2020_06_20	     141	       3	       0	       0
2020_06_21	     141	       3	       0	       0
2020_06_22	     141	       3	       0	       0
2020_06_23	     141	       3	       0	       0
2020_06_24	     141	       3	       0	       0
2020_06_25	     141	       3	       0	       0
2020_06_26	     141	       3	       0	       0
2020_06_27	     141	       3	       0	       0
2020_06_28	     141	       3	       0	       0
2020_06_29	     141	       3	       0	       0
2020_06_30	     141	       3	       0	       0
2020_07_01	     141	       3	       0	       0
2020_07_02	     141	       3	       0	       0
2020_07_03	     141	       3	       0	       0
2020_07_04	     141	       3	       0	       0
2020_07_05	     141	       3	       0	       0
2020_07_06	     141	       3	       0	       0
2020_07_07	     141	       3	       0	       0
2020_07_08	     141	       3	       0	       0
2020_07_09	     141	       3	       0	       0
2020_07_10	     141	       3	       0	       0
2020_07_11	     141	       3	       0	       0
2020_07_12	     141	       3	       0	       0
2020_07_13	     141	       3	       0	       0
2020_07_14	     141	       3	       0	       0
2020_07_15	     141	       3	       0	       0
2020_07_16	     141	       3	       0	       0
2020_07_17	     141	       3	       0	       0
2020_07_18	     141	       3	       0	       0
2020_07_19	     141	       3	       0	       0
2020_07_20	     141	       3	       0	       0
2020_07_21	     141	       3	       0	       0
2020_07_22	     141	       3	       0	       0
2020_07_23	     141	       3	       0	       0
2020_07_24	     141	       3	       0	       0
2020_07_25	     141	       3	       0	       0
2020_07_26	     141	       3	       0	       0
2020_07_27	     141	       3	       0	       0
2020_07_28	     141	       3	       0	       0
2020_07_29	     141	       3	       0	       0
2020_07_30	     141	       3	       0	       0
2020_07_31	     141	       3	       0	       0
2020_08_01	     141	       3	       0	       0
2020_08_02	     141	       3	       0	       0
2020_08_03	     141	       3	       0	       0
2020_08_04	     141	       3	       0	       0
2020_08_05	     141	       3	       0	       0
2020_08_06	     141	       3	       0	       0
2020_08_07	     141	       3	       0	       0
2020_08_08	     142	       3	       1	       0
2020_08_09	     142	       3	       0	       0
2020_08_10	     142	       3	       0	       0
2020_08_11	     142	       3	       0	       0
2020_08_12	     142	       3	       0	       0
2020_08_13	     142	       3	       0	       0
2020_08_14	     142	       3	       0	       0
2020_08_15	     142	       3	       0	       0
2020_08_16	     142	       3	       0	       0
2020_08_17	     142	       3	       0	       0
2020_08_18	     142	       3	       0	       0
2020_08_19	     142	       3	       0	       0
2020_08_20	     142	       3	       0	       0
2020_08_21	     142	       3	       0	       0
2020_08_22	     142	       3	       0	       0
2020_08_23	     143	       3	       1	       0
2020_08_24	     143	       3	       0	       0
2020_08_25	     143	       3	       0	       0
2020_08_26	     143	       3	       0	       0
2020_08_27	     143	       3	       0	       0
2020_08_28	     143	       3	       0	       0
2020_08_29	     143	       3	       0	       0
2020_08_30	     144	       3	       1	       0
2020_08_31	     144	       3	       0	       0
2020_09_01	     144	       3	       0	       0
2020_09_02	     144	       3	       0	       0
2020_09_03	     144	       3	       0	       0
2020_09_04	     144	       3	       0	       0
2020_09_05	     144	       3	       0	       0
2020_09_06	     145	       3	       1	       0
2020_09_07	     145	       3	       0	       0
2020_09_08	     145	       3	       0	       0
2020_09_09	     145	       3	       0	       0
2020_09_10	     145	       3	       0	       0
2020_09_11	     145	       3	       0	       0
2020_09_12	     145	       3	       0	       0
2020_09_13	     145	       3	       0	       0
2020_09_14	     145	       3	       0	       0
2020_09_15	     145	       3	       0	       0
2020_09_16	     145	       3	       0	       0
2020_09_17	     145	       3	       0	       0
2020_09_18	     145	       3	       0	       0
2020_09_19	     145	       3	       0	       0
2020_09_20	     145	       3	       0	       0
2020_09_21	     145	       3	       0	       0
2020_09_22	     145	       3	       0	       0
2020_09_23	     145	       3	       0	       0
2020_09_24	     145	       3	       0	       0
2020_09_25	     145	       3	       0	       0
2020_09_26	     145	       3	       0	       0
2020_09_27	     146	       3	       1	       0
2020_09_28	     146	       3	       0	       0
2020_09_29	     146	       3	       0	       0
2020_09_30	     146	       3	       0	       0
2020_10_01	     146	       3	       0	       0
2020_10_02	     146	       3	       0	       0
2020_10_03	     146	       3	       0	       0
2020_10_04	     146	       3	       0	       0
2020_10_05	     146	       3	       0	       0
2020_10_06	     146	       3	       0	       0
2020_10_07	     146	       3	       0	       0
2020_10_08	     146	       3	       0	       0
2020_10_09	     146	       3	       0	       0
2020_10_10	     146	       3	       0	       0
2020_10_11	     146	       3	       0	       0
2020_10_12	     146	       3	       0	       0
2020_10_13	     146	       3	       0	       0
2020_10_14	     146	       3	       0	       0
2020_10_15	     146	       3	       0	       0
2020_10_16	     146	       3	       0	       0
2020_10_17	     146	       3	       0	       0
2020_10_18	     147	       3	       1	       0
2020_10_19	     147	       3	       0	       0
2020_10_20	     147	       3	       0	       0
2020_10_21	     147	       3	       0	       0
2020_10_22	     147	       3	       0	       0
2020_10_23	     147	       3	       0	       0
2020_10_24	     147	       3	       0	       0
2020_10_25	     148	       3	       1	       0
2020_10_26	     148	       3	       0	       0
2020_10_27	     148	       3	       0	       0
2020_10_28	     148	       3	       0	       0
2020_10_29	     148	       3	       0	       0
2020_10_30	     148	       3	       0	       0
2020_10_31	     148	       3	       0	       0
2020_11_01	     148	       3	       0	       0
2020_11_02	     148	       3	       0	       0
2020_11_03	     148	       3	       0	       0
2020_11_04	     148	       3	       0	       0
2020_11_05	     148	       3	       0	       0
2020_11_06	     148	       3	       0	       0
2020_11_07	     148	       3	       0	       0
2020_11_08	     148	       3	       0	       0
2020_11_09	     148	       3	       0	       0
2020_11_10	     148	       3	       0	       0
2020_11_11	     148	       3	       0	       0
2020_11_12	     148	       3	       0	       0
2020_11_13	     148	       3	       0	       0
2020_11_14	     148	       3	       0	       0
2020_11_15	     148	       3	       0	       0
2020_11_16	     148	       3	       0	       0
2020_11_17	     148	       3	       0	       0
2020_11_18	     148	       3	       0	       0
2020_11_19	     148	       3	       0	       0
2020_11_20	     148	       3	       0	       0
2020_11_21	     148	       3	       0	       0
2020_11_22	     148	       3	       0	       0
2020_11_23	     148	       3	       0	       0
2020_11_24	     148	       3	       0	       0
2020_11_25	     148	       3	       0	       0
2020_11_26	     149	       3	       1	       0
2020_11_27	     149	       3	       0	       0
2020_11_28	     149	       3	       0	       0
2020_11_29	     150	       3	       1	       0
2020_11_30	     150	       3	       0	       0
2020_12_01	     150	       3	       0	       0
2020_12_02	     150	       3	       0	       0
2020_12_03	     150	       3	       0	       0
2020_12_04	     150	       3	       0	       0
2020_12_05	     150	       3	       0	       0
2020_12_06	     151	       3	       1	       0
2020_12_07	     151	       3	       0	       0
2020_12_08	     151	       3	       0	       0
2020_12_09	     151	       3	       0	       0
2020_12_10	     151	       3	       0	       0
2020_12_11	     151	       3	       0	       0
2020_12_12	     151	       3	       0	       0
2020_12_13	     152	       3	       1	       0
2020_12_14	     152	       3	       0	       0
2020_12_15	     152	       3	       0	       0
2020_12_16	     152	       3	       0	       0
2020_12_17	     152	       3	       0	       0
2020_12_18	     152	       3	       0	       0
2020_12_19	     152	       3	       0	       0
2020_12_20	     152	       3	       0	       0
2020_12_21	     152	       3	       0	       0
2020_12_22	     152	       3	       0	       0
2020_12_23	     152	       3	       0	       0
2020_12_24	     152	       3	       0	       0
2020_12_25	     152	       3	       0	       0
2020_12_26	     152	       3	       0	       0
2020_12_27	     152	       3	       0	       0
2020_12_28	     152	       3	       0	       0
2020_12_29	     153	       3	       1	       0
2020_12_30	     154	       3	       1	       0
2020_12_31	     154	       3	       0	       0
2021_01_01	     155	       3	       1	       0
2021_01_02	     156	       3	       1	       0
2021_01_03	     157	       3	       1	       0
2021_01_04	     159	       3	       2	       0
2021_01_05	     161	       3	       2	       0
2021_01_06	     163	       3	       2	       0
2021_01_07	     166	       3	       3	       0
2021_01_08	     168	       3	       2	       0
2021_01_09	     170	       3	       2	       0
2021_01_10	     173	       3	       3	       0
2021_01_11	     173	       3	       0	       0
2021_01_12	     173	       3	       0	       0
2021_01_13	     173	       3	       0	       0
2021_01_14	     173	       3	       0	       0
2021_01_15	     173	       3	       0	       0
2021_01_16	     173	       3	       0	       0
2021_01_17	     174	       3	       1	       0
2021_01_18	     174	       3	       0	       0
2021_01_19	     174	       3	       0	       0
2021_01_20	     174	       3	       0	       0
2021_01_21	     174	       3	       0	       0
2021_01_22	     174	       3	       0	       0
2021_01_23	     174	       3	       0	       0
2021_01_24	     175	       3	       1	       0
2021_01_25	     175	       3	       0	       0
2021_01_26	     176	       3	       1	       0
2021_01_27	     177	       3	       1	       0
2021_01_28	     177	       3	       0	       0
2021_01_29	     178	       3	       1	       0
2021_01_30	     179	       3	       1	       0
2021_01_31	     180	       3	       1	       0
2021_02_01	     180	       3	       0	       0
2021_02_02	     180	       3	       0	       0
2021_02_03	     180	       3	       0	       0
2021_02_04	     180	       3	       0	       0
2021_02_05	     180	       3	       0	       0
2021_02_06	     180	       3	       0	       0
2021_02_07	     181	       3	       1	       0
2021_02_08	     181	       3	       0	       0
2021_02_09	     181	       3	       0	       0
2021_02_10	     182	       3	       1	       0
2021_02_11	     182	       3	       0	       0
2021_02_12	     183	       3	       1	       0
2021_02_13	     183	       3	       0	       0
2021_02_14	     184	       3	       1	       0
2021_02_15	     184	       3	       0	       0
2021_02_16	     184	       3	       0	       0
2021_02_17	     184	       3	       0	       0
2021_02_18	     184	       3	       0	       0
2021_02_19	     184	       3	       0	       0
2021_02_20	     184	       3	       0	       0
2021_02_21	     185	       3	       1	       0
2021_02_22	     185	       3	       0	       0
2021_02_23	     185	       3	       0	       0
2021_02_24	     185	       3	       0	       0
2021_02_25	     185	       3	       0	       0
2021_02_26	     185	       3	       0	       0
2021_02_27	     185	       3	       0	       0
2021_02_28	     186	       3	       1	       0
2021_03_01	     186	       3	       0	       0
2021_03_02	     186	       3	       0	       0
2021_03_03	     187	       3	       1	       0
2021_03_04	     187	       3	       0	       0
2021_03_05	     188	       3	       1	       0
2021_03_06	     188	       3	       0	       0
2021_03_07	     189	       3	       1	       0
2021_03_08	     189	       3	       0	       0
2021_03_09	     189	       3	       0	       0
2021_03_10	     190	       3	       1	       0
2021_03_11	     190	       3	       0	       0
2021_03_12	     191	       3	       1	       0
2021_03_13	     191	       3	       0	       0
2021_03_14	     192	       3	       1	       0
2021_03_15	     193	       3	       1	       0
2021_03_16	     195	       3	       2	       0
2021_03_17	     197	       3	       2	       0
