#
# COVID-19 Country file (official WHO count)
# Country = Bulgaria
# Latitude = 43.0
# Population = 6940.527
# Territory = 110879.0
# LEB = 75.0
# DPA = 108000
# DPA65 = 85320
# GDP = 9003.0
# GDP_PPP = 23198.0
# COVID-19 Mortality = 2578.8
# First_Case = 2020_03_08
# Last_Case = 2021_06_13
# First_Death = 2020_03_12
# Last_Death = 2021_06_13
# Status as of 2021_06_13 = Clusters of cases
# Vaccine type = Moderna, Oxford/AstraZeneca, Pfizer/BioNTech
# Vaccine start = 2020_12_29
#
Date	Conf_Cases	Conf_Deaths	Daily_Cases	Daily_Deaths
2020_03_08	       2	       0	       2	       0
2020_03_09	       4	       0	       2	       0
2020_03_10	       4	       0	       0	       0
2020_03_11	       6	       0	       2	       0
2020_03_12	       7	       1	       1	       1
2020_03_13	       7	       1	       0	       0
2020_03_14	       7	       1	       0	       0
2020_03_15	      43	       2	      36	       1
2020_03_16	      51	       2	       8	       0
2020_03_17	      67	       2	      16	       0
2020_03_18	      81	       2	      14	       0
2020_03_19	      92	       2	      11	       0
2020_03_20	      94	       3	       2	       1
2020_03_21	     127	       3	      33	       0
2020_03_22	     163	       3	      36	       0
2020_03_23	     185	       3	      22	       0
2020_03_24	     201	       3	      16	       0
2020_03_25	     220	       3	      19	       0
2020_03_26	     242	       3	      22	       0
2020_03_27	     264	       3	      22	       0
2020_03_28	     293	       3	      29	       0
2020_03_29	     331	       7	      38	       4
2020_03_30	     346	       8	      15	       1
2020_03_31	     359	       8	      13	       0
2020_04_01	     399	       8	      40	       0
2020_04_02	     422	      10	      23	       2
2020_04_03	     457	      10	      35	       0
2020_04_04	     485	      14	      28	       4
2020_04_05	     503	      17	      18	       3
2020_04_06	     531	      20	      28	       3
2020_04_07	     549	      22	      18	       2
2020_04_08	     577	      23	      28	       1
2020_04_09	     593	      24	      16	       1
2020_04_10	     624	      24	      31	       0
2020_04_11	     635	      25	      11	       1
2020_04_12	     661	      28	      26	       3
2020_04_13	     675	      29	      14	       1
2020_04_14	     685	      32	      10	       3
2020_04_15	     713	      35	      28	       3
2020_04_16	     747	      36	      34	       1
2020_04_17	     800	      38	      53	       2
2020_04_18	     846	      41	      46	       3
2020_04_19	     878	      41	      32	       0
2020_04_20	     915	      43	      37	       2
2020_04_21	     929	      43	      14	       0
2020_04_22	     975	      45	      46	       2
2020_04_23	    1024	      49	      49	       4
2020_04_24	    1097	      52	      73	       3
2020_04_25	    1188	      54	      91	       2
2020_04_26	    1247	      55	      59	       1
2020_04_27	    1300	      56	      53	       1
2020_04_28	    1363	      58	      63	       2
2020_04_29	    1399	      58	      36	       0
2020_04_30	    1447	      64	      48	       6
2020_05_01	    1506	      66	      59	       2
2020_05_02	    1588	      69	      82	       3
2020_05_03	    1594	      72	       6	       3
2020_05_04	    1618	      73	      24	       1
2020_05_05	    1652	      78	      34	       5
2020_05_06	    1689	      78	      37	       0
2020_05_07	    1778	      84	      89	       6
2020_05_08	    1829	      84	      51	       0
2020_05_09	    1911	      88	      82	       4
2020_05_10	    1955	      90	      44	       2
2020_05_11	    1965	      91	      10	       1
2020_05_12	    1990	      93	      25	       2
2020_05_13	    2023	      95	      33	       2
2020_05_14	    2069	      96	      46	       1
2020_05_15	    2100	      99	      31	       3
2020_05_16	    2138	     102	      38	       3
2020_05_17	    2211	     108	      73	       6
2020_05_18	    2235	     110	      24	       2
2020_05_19	    2259	     112	      24	       2
2020_05_20	    2292	     116	      33	       4
2020_05_21	    2331	     120	      39	       4
2020_05_22	    2372	     125	      41	       5
2020_05_23	    2408	     126	      36	       1
2020_05_24	    2408	     126	       0	       0
2020_05_25	    2433	     130	      25	       4
2020_05_26	    2433	     130	       0	       0
2020_05_27	    2460	     133	      27	       3
2020_05_28	    2460	     133	       0	       0
2020_05_29	    2485	     136	      25	       3
2020_05_30	    2499	     139	      14	       3
2020_05_31	    2513	     140	      14	       1
2020_06_01	    2513	     140	       0	       0
2020_06_02	    2513	     144	       0	       4
2020_06_03	    2538	     144	      25	       0
2020_06_04	    2585	     147	      47	       3
2020_06_05	    2585	     147	       0	       0
2020_06_06	    2668	     160	      83	      13
2020_06_07	    2711	     160	      43	       0
2020_06_08	    2727	     160	      16	       0
2020_06_09	    2810	     164	      83	       4
2020_06_10	    2889	     167	      79	       3
2020_06_11	    2889	     167	       0	       0
2020_06_12	    3086	     168	     197	       1
2020_06_13	    3191	     172	     105	       4
2020_06_14	    3266	     172	      75	       0
2020_06_15	    3290	     174	      24	       2
2020_06_16	    3341	     176	      51	       2
2020_06_17	    3453	     181	     112	       5
2020_06_18	    3542	     184	      89	       3
2020_06_19	    3674	     190	     132	       6
2020_06_20	    3755	     193	      81	       3
2020_06_21	    3872	     199	     117	       6
2020_06_22	    3905	     199	      33	       0
2020_06_23	    3984	     207	      79	       8
2020_06_24	    4114	     208	     130	       1
2020_06_25	    4242	     209	     128	       1
2020_06_26	    4408	     211	     166	       2
2020_06_27	    4513	     215	     105	       4
2020_06_28	    4625	     216	     112	       1
2020_06_29	    4691	     219	      66	       3
2020_06_30	    4831	     223	     140	       4
2020_07_01	    4989	     230	     158	       7
2020_07_02	    5154	     232	     165	       2
2020_07_03	    5315	     232	     161	       0
2020_07_04	    5497	     239	     182	       7
2020_07_05	    5677	     241	     180	       2
2020_07_06	    5740	     246	      63	       5
2020_07_07	    5914	     250	     174	       4
2020_07_08	    6102	     254	     188	       4
2020_07_09	    6342	     259	     240	       5
2020_07_10	    6672	     262	     330	       3
2020_07_11	    6672	     262	       0	       0
2020_07_12	    6672	     262	       0	       0
2020_07_13	    7525	     268	     853	       6
2020_07_14	    7411	     276	    -114	       8
2020_07_15	    7645	     283	     234	       7
2020_07_16	    7877	     289	     232	       6
2020_07_17	    8144	     293	     267	       4
2020_07_18	    8442	     297	     298	       4
2020_07_19	    8638	     299	     196	       2
2020_07_20	    8733	     300	      95	       1
2020_07_21	    8929	     308	     196	       8
2020_07_22	    9254	     313	     325	       5
2020_07_23	    9584	     321	     330	       8
2020_07_24	    9853	     329	     269	       8
2020_07_25	   10123	     337	     270	       8
2020_07_26	   10123	     337	       0	       0
2020_07_27	   10427	     340	     304	       3
2020_07_28	   10621	     347	     194	       7
2020_07_29	   10871	     355	     250	       8
2020_07_30	   11155	     368	     284	      13
2020_07_31	   11420	     374	     265	       6
2020_08_01	   11690	     383	     270	       9
2020_08_02	   11836	     385	     146	       2
2020_08_03	   11955	     388	     119	       3
2020_08_04	   11955	     388	       0	       0
2020_08_05	   12159	     404	     204	      16
2020_08_06	   12414	     415	     255	      11
2020_08_07	   12717	     424	     303	       9
2020_08_08	   13014	     435	     297	      11
2020_08_09	   13343	     445	     329	      10
2020_08_10	   13396	     447	      53	       2
2020_08_11	   13512	     459	     116	      12
2020_08_12	   13722	     471	     210	      12
2020_08_13	   13893	     482	     171	      11
2020_08_14	   14069	     484	     176	       2
2020_08_15	   14243	     492	     174	       8
2020_08_16	   14333	     495	      90	       3
2020_08_17	   14447	     501	     114	       6
2020_08_18	   14561	     507	     114	       6
2020_08_19	   14675	     513	     114	       6
2020_08_20	   14789	     520	     114	       7
2020_08_21	   14903	     526	     114	       6
2020_08_22	   15017	     532	     114	       6
2020_08_23	   15131	     539	     114	       7
2020_08_24	   15278	     548	     147	       9
2020_08_25	   15426	     557	     148	       9
2020_08_26	   15573	     567	     147	      10
2020_08_27	   15721	     576	     148	       9
2020_08_28	   15868	     586	     147	      10
2020_08_29	   16016	     595	     148	       9
2020_08_30	   16164	     605	     148	      10
2020_08_31	   16276	     613	     112	       8
2020_09_01	   16389	     622	     113	       9
2020_09_02	   16502	     630	     113	       8
2020_09_03	   16615	     639	     113	       9
2020_09_04	   16728	     647	     113	       8
2020_09_05	   16841	     656	     113	       9
2020_09_06	   16954	     665	     113	       9
2020_09_07	   17087	     672	     133	       7
2020_09_08	   17221	     679	     134	       7
2020_09_09	   17355	     687	     134	       8
2020_09_10	   17489	     694	     134	       7
2020_09_11	   17623	     702	     134	       8
2020_09_12	   17757	     709	     134	       7
2020_09_13	   17891	     717	     134	       8
2020_09_14	   18023	     722	     132	       5
2020_09_15	   18156	     727	     133	       5
2020_09_16	   18288	     733	     132	       6
2020_09_17	   18421	     738	     133	       5
2020_09_18	   18553	     744	     132	       6
2020_09_19	   18686	     749	     133	       5
2020_09_20	   18819	     755	     133	       6
2020_09_21	   18987	     759	     168	       4
2020_09_22	   19155	     764	     168	       5
2020_09_23	   19323	     769	     168	       5
2020_09_24	   19492	     774	     169	       5
2020_09_25	   19660	     779	     168	       5
2020_09_26	   19828	     784	     168	       5
2020_09_27	   19997	     789	     169	       5
2020_09_28	   20214	     796	     217	       7
2020_09_29	   20431	     803	     217	       7
2020_09_30	   20648	     811	     217	       8
2020_10_01	   20866	     818	     218	       7
