#
# COVID-19 Country file (official WHO count)
# Country = Burkina Faso
# Latitude = 12.0
# Population = 20903.345
# Territory = 274222.0
# LEB = 61.6
# DPA = 161000
# DPA65 = 33810
# GDP = 691.0
# GDP_PPP = 2022.0
# COVID-19 Mortality = 2.6
# First_Case = 2020_03_11
# First_Death = 2020_03_19
# Last_Case = 2020_03_19
# Last_Death = 2020_03_19
# Status as of 2020_08_23 = Community transmission
#
Date	Conf_Cases	Conf_Deaths
2020_03_11	2	0
2020_03_12	2	0
2020_03_13	2	0
2020_03_14	2	0
2020_03_15	3	0
2020_03_16	3	0
2020_03_17	15	0
2020_03_18	20	0
2020_03_19	26	1
2020_03_20	40	1
2020_03_21	40	1
2020_03_22	72	3
2020_03_23	75	3
2020_03_24	99	3
2020_03_25	114	3
2020_03_26	146	3
2020_03_27	146	3
2020_03_28	146	3
2020_03_29	146	3
2020_03_30	222	3
2020_03_31	246	12
2020_04_01	261	14
2020_04_02	261	14
2020_04_03	261	14
2020_04_04	261	15
2020_04_05	302	15
2020_04_06	302	15
2020_04_07	345	17
2020_04_08	364	18
2020_04_09	384	19
2020_04_10	414	19
2020_04_11	443	19
2020_04_12	443	19
2020_04_13	443	19
2020_04_14	497	27
2020_04_15	515	28
2020_04_16	528	28
2020_04_17	543	32
2020_04_18	547	32
2020_04_19	547	32
2020_04_20	565	36
2020_04_21	576	36
2020_04_22	581	38
2020_04_23	600	38
2020_04_24	600	38
2020_04_25	616	41
2020_04_26	629	41
2020_04_27	632	42
2020_04_28	632	42
2020_04_29	638	42
2020_04_30	638	42
2020_05_01	645	43
2020_05_02	649	44
2020_05_03	652	44
2020_05_04	662	45
2020_05_05	672	46
2020_05_06	689	48
2020_05_07	729	48
2020_05_08	736	48
2020_05_09	736	48
2020_05_10	748	48
2020_05_11	751	49
2020_05_12	760	50
2020_05_13	766	51
2020_05_14	773	51
2020_05_15	773	51
2020_05_16	780	51
2020_05_17	782	51
2020_05_18	796	51
2020_05_19	796	51
2020_05_20	806	52
2020_05_21	809	52
2020_05_22	812	52
2020_05_23	814	52
2020_05_24	831	52
2020_05_25	832	52
2020_05_26	841	52
2020_05_27	845	53
2020_05_28	845	53
2020_05_29	847	53
2020_05_30	847	53
2020_05_31	853	53
2020_06_01	881	53
2020_06_02	883	53
2020_06_03	884	53
2020_06_04	884	53
2020_06_05	885	53
2020_06_06	885	53
2020_06_07	888	53
2020_06_08	888	53
2020_06_09	890	53
2020_06_10	891	53
2020_06_11	891	53
2020_06_12	891	53
2020_06_13	892	53
2020_06_14	892	53
2020_06_15	894	53
2020_06_16	894	53
2020_06_17	895	53
2020_06_18	899	53
2020_06_19	899	53
2020_06_20	901	53
2020_06_21	901	53
2020_06_22	901	53
2020_06_23	903	53
2020_06_24	903	53
2020_06_25	934	53
2020_06_26	934	53
2020_06_27	934	53
2020_06_28	954	53
2020_06_29	959	53
2020_06_30	959	53
2020_07_01	962	53
2020_07_02	962	53
2020_07_03	967	53
2020_07_04	980	53
2020_07_05	987	53
2020_07_06	1000	53
2020_07_07	1000	53
2020_07_08	1003	53
2020_07_09	1003	53
2020_07_10	1005	53
2020_07_11	1020	54
2020_07_12	1020	54
2020_07_13	1033	53
2020_07_14	1036	53
2020_07_15	1037	53
2020_07_16	1038	53
2020_07_17	1038	53
2020_07_18	1045	53
2020_07_19	1047	53
2020_07_20	1065	53
2020_07_21	1065	53
2020_07_22	1065	53
2020_07_23	1066	53
2020_07_24	1070	53
2020_07_25	1075	53
2020_07_26	1075	53
2020_07_27	1086	53
2020_07_28	1100	53
2020_07_29	1105	53
2020_07_30	1106	53
2020_07_31	1117	53
2020_08_01	1138	53
2020_08_02	1143	53
2020_08_03	1149	53
2020_08_04	1150	53
2020_08_05	1153	54
2020_08_06	1156	54
2020_08_07	1158	54
2020_08_08	1162	54
2020_08_09	1175	54
2020_08_10	1180	54
2020_08_11	1204	54
2020_08_12	1211	54
2020_08_13	1213	54
2020_08_14	1228	54
2020_08_15	1238	54
2020_08_16	1240	54
2020_08_17	1248	54
2020_08_18	1256	54
2020_08_19	1264	54
2020_08_20	1272	54
2020_08_21	1280	54
2020_08_22	1288	54
2020_08_23	1297	55
