#
# COVID-19 Country file (official WHO count)
# Country = Cameroon
# Latitude = 4.0
# Population = 25958.184
# Territory = 475442.0
# LEB = 59.3
# DPA = 235000
# DPA65 = 51700
# GDP = 1500.0
# GDP_PPP = 3761.0
# COVID-19 Mortality = 50.2
# First_Case = 2020_03_06
# Last_Case = 2021_06_13
# First_Death = 2020_03_25
# Last_Death = 2021_06_13
# Status as of 2021_06_13 = Community transmission
# Vaccine type = Unknown
# Vaccine start = NA
#
Date	Conf_Cases	Conf_Deaths	Daily_Cases	Daily_Deaths
2020_03_06	       1	       0	       1	       0
2020_03_07	       2	       0	       1	       0
2020_03_08	       2	       0	       0	       0
2020_03_09	       2	       0	       0	       0
2020_03_10	       2	       0	       0	       0
2020_03_11	       2	       0	       0	       0
2020_03_12	       2	       0	       0	       0
2020_03_13	       2	       0	       0	       0
2020_03_14	       2	       0	       0	       0
2020_03_15	       3	       0	       1	       0
2020_03_16	       3	       0	       0	       0
2020_03_17	       5	       0	       2	       0
2020_03_18	       5	       0	       0	       0
2020_03_19	      10	       0	       5	       0
2020_03_20	      15	       0	       5	       0
2020_03_21	      22	       0	       7	       0
2020_03_22	      27	       0	       5	       0
2020_03_23	      40	       0	      13	       0
2020_03_24	      72	       0	      32	       0
2020_03_25	      72	       1	       0	       1
2020_03_26	      70	       1	      -2	       0
2020_03_27	      75	       1	       5	       0
2020_03_28	      75	       1	       0	       0
2020_03_29	      91	       2	      16	       1
2020_03_30	     113	       2	      22	       0
2020_03_31	     139	       6	      26	       4
2020_04_01	     139	       6	       0	       0
2020_04_02	     139	       6	       0	       0
2020_04_03	     246	       7	     107	       1
2020_04_04	     246	       7	       0	       0
2020_04_05	     555	       9	     309	       2
2020_04_06	     555	       9	       0	       0
2020_04_07	     555	       9	       0	       0
2020_04_08	     555	       9	       0	       0
2020_04_09	     730	      10	     175	       1
2020_04_10	     730	      10	       0	       0
2020_04_11	     803	      10	      73	       0
2020_04_12	     803	      10	       0	       0
2020_04_13	     803	      10	       0	       0
2020_04_14	     803	      10	       0	       0
2020_04_15	     855	      15	      52	       5
2020_04_16	     855	      17	       0	       2
2020_04_17	     855	      17	       0	       0
2020_04_18	    1016	      21	     161	       4
2020_04_19	    1016	      21	       0	       0
2020_04_20	    1016	      21	       0	       0
2020_04_21	    1163	      42	     147	      21
2020_04_22	    1163	      43	       0	       1
2020_04_23	    1163	      43	       0	       0
2020_04_24	    1401	      49	     238	       6
2020_04_25	    1403	      49	       2	       0
2020_04_26	    1518	      53	     115	       4
2020_04_27	    1621	      56	     103	       3
2020_04_28	    1621	      56	       0	       0
2020_04_29	    1705	      58	      84	       2
2020_04_30	    1806	      59	     101	       1
2020_05_01	    1832	      61	      26	       2
2020_05_02	    2069	      61	     237	       0
2020_05_03	    2077	      64	       8	       3
2020_05_04	    2077	      64	       0	       0
2020_05_05	    2077	      64	       0	       0
2020_05_06	    2265	     108	     188	      44
2020_05_07	    2265	     108	       0	       0
2020_05_08	    2265	     108	       0	       0
2020_05_09	    2265	     108	       0	       0
2020_05_10	    2335	     110	      70	       2
2020_05_11	    2579	     114	     244	       4
2020_05_12	    2579	     114	       0	       0
2020_05_13	    2689	     125	     110	      11
2020_05_14	    2800	     136	     111	      11
2020_05_15	    2954	     139	     154	       3
2020_05_16	    3047	     139	      93	       0
2020_05_17	    3047	     139	       0	       0
2020_05_18	    3047	     139	       0	       0
2020_05_19	    3529	     140	     482	       1
2020_05_20	    3529	     140	       0	       0
2020_05_21	    3733	     146	     204	       6
2020_05_22	    4288	     156	     555	      10
2020_05_23	    4400	     159	     112	       3
2020_05_24	    4400	     159	       0	       0
2020_05_25	    4400	     159	       0	       0
2020_05_26	    4890	     165	     490	       6
2020_05_27	    5436	     177	     546	      12
2020_05_28	    5436	     177	       0	       0
2020_05_29	    5436	     177	       0	       0
2020_05_30	    5436	     177	       0	       0
2020_05_31	    5659	     185	     223	       8
2020_06_01	    5904	     191	     245	       6
2020_06_02	    6397	     199	     493	       8
2020_06_03	    6585	     200	     188	       1
2020_06_04	    6752	     200	     167	       0
2020_06_05	    6789	     203	      37	       3
2020_06_06	    7392	     205	     603	       2
2020_06_07	    7599	     212	     207	       7
2020_06_08	    7860	     215	     261	       3
2020_06_09	    8060	     215	     200	       0
2020_06_10	    8312	     215	     252	       0
2020_06_11	    8681	     215	     369	       0
2020_06_12	    8681	     215	       0	       0
2020_06_13	    8743	     270	      62	      55
2020_06_14	    8743	     270	       0	       0
2020_06_15	    9572	     275	     829	       5
2020_06_16	    9864	     276	     292	       1
2020_06_17	    9864	     276	       0	       0
2020_06_18	    9864	     276	       0	       0
2020_06_19	    9864	     276	       0	       0
2020_06_20	   10638	     282	     774	       6
2020_06_21	   10638	     282	       0	       0
2020_06_22	   11281	     300	     643	      18
2020_06_23	   11892	     303	     611	       3
2020_06_24	   12041	     308	     149	       5
2020_06_25	   12270	     313	     229	       5
2020_06_26	   12592	     313	     322	       0
2020_06_27	   12592	     313	       0	       0
2020_06_28	   12592	     313	       0	       0
2020_06_29	   12592	     313	       0	       0
2020_06_30	   12592	     313	       0	       0
2020_07_01	   12592	     313	       0	       0
2020_07_02	   12592	     313	       0	       0
2020_07_03	   12592	     313	       0	       0
2020_07_04	   12592	     313	       0	       0
2020_07_05	   12592	     313	       0	       0
2020_07_06	   14037	     330	    1445	      17
2020_07_07	   14524	     342	     487	      12
2020_07_08	   14916	     359	     392	      17
2020_07_09	   14916	     359	       0	       0
2020_07_10	   14916	     359	       0	       0
2020_07_11	   14916	     359	       0	       0
2020_07_12	   14916	     359	       0	       0
2020_07_13	   15173	     359	     257	       0
2020_07_14	   15173	     359	       0	       0
2020_07_15	   15173	     359	       0	       0
2020_07_16	   16057	     369	     884	      10
2020_07_17	   16057	     369	       0	       0
2020_07_18	   16157	     373	     100	       4
2020_07_19	   16157	     373	       0	       0
2020_07_20	   16157	     373	       0	       0
2020_07_21	   16522	     382	     365	       9
2020_07_22	   16522	     382	       0	       0
2020_07_23	   16522	     382	       0	       0
2020_07_24	   16522	     382	       0	       0
2020_07_25	   16708	     385	     186	       3
2020_07_26	   16708	     385	       0	       0
2020_07_27	   17110	     391	     402	       6
2020_07_28	   17179	     391	      69	       0
2020_07_29	   17179	     391	       0	       0
2020_07_30	   17255	     391	      76	       0
2020_07_31	   17255	     391	       0	       0
2020_08_01	   17255	     391	       0	       0
2020_08_02	   17255	     391	       0	       0
2020_08_03	   17255	     391	       0	       0
2020_08_04	   17718	     391	     463	       0
2020_08_05	   17718	     391	       0	       0
2020_08_06	   17718	     391	       0	       0
2020_08_07	   17718	     391	       0	       0
2020_08_08	   18042	     395	     324	       4
2020_08_09	   18042	     395	       0	       0
2020_08_10	   18042	     395	       0	       0
2020_08_11	   18213	     398	     171	       3
2020_08_12	   18263	     401	      50	       3
2020_08_13	   18308	     401	      45	       0
