#
# COVID-19 Country file (official WHO count)
# Country = Canada
# Latitude = 45.0
# Population = 37603.205
# Territory = 9984670.0
# LEB = 82.4
# DPA = 291000
# DPA65 = 238620
# GDP = 45806.0
# GDP_PPP = 49458.0
# COVID-19 Mortality = 688.4
# First_Case = 2020_01_27
# Last_Case = 2021_06_13
# First_Death = 2020_03_11
# Last_Death = 2021_06_13
# Status as of 2021_06_13 = Community transmission
# Vaccine type = Moderna, Oxford/AstraZeneca, Pfizer/BioNTech
# Vaccine start = 2021_01_07
#
Date	Conf_Cases	Conf_Deaths	Daily_Cases	Daily_Deaths
2020_01_27	       1	       0	       1	       0
2020_01_28	       2	       0	       1	       0
2020_01_29	       3	       0	       1	       0
2020_01_30	       3	       0	       0	       0
2020_01_31	       3	       0	       0	       0
2020_02_01	       4	       0	       1	       0
2020_02_02	       4	       0	       0	       0
2020_02_03	       4	       0	       0	       0
2020_02_04	       4	       0	       0	       0
2020_02_05	       5	       0	       1	       0
2020_02_06	       5	       0	       0	       0
2020_02_07	       7	       0	       2	       0
2020_02_08	       7	       0	       0	       0
2020_02_09	       7	       0	       0	       0
2020_02_10	       7	       0	       0	       0
2020_02_11	       7	       0	       0	       0
2020_02_12	       7	       0	       0	       0
2020_02_13	       7	       0	       0	       0
2020_02_14	       7	       0	       0	       0
2020_02_15	       7	       0	       0	       0
2020_02_16	       7	       0	       0	       0
2020_02_17	       7	       0	       0	       0
2020_02_18	       8	       0	       1	       0
2020_02_19	       8	       0	       0	       0
2020_02_20	       8	       0	       0	       0
2020_02_21	       8	       0	       0	       0
2020_02_22	       8	       0	       0	       0
2020_02_23	       9	       0	       1	       0
2020_02_24	       9	       0	       0	       0
2020_02_25	      10	       0	       1	       0
2020_02_26	      10	       0	       0	       0
2020_02_27	      11	       0	       1	       0
2020_02_28	      11	       0	       0	       0
2020_02_29	      14	       0	       3	       0
2020_03_01	      19	       0	       5	       0
2020_03_02	      19	       0	       0	       0
2020_03_03	      27	       0	       8	       0
2020_03_04	      30	       0	       3	       0
2020_03_05	      30	       0	       0	       0
2020_03_06	      45	       0	      15	       0
2020_03_07	      51	       0	       6	       0
2020_03_08	      57	       0	       6	       0
2020_03_09	      62	       0	       5	       0
2020_03_10	      77	       0	      15	       0
2020_03_11	      93	       1	      16	       1
2020_03_12	      93	       1	       0	       0
2020_03_13	     138	       1	      45	       0
2020_03_14	     176	       1	      38	       0
2020_03_15	     244	       1	      68	       0
2020_03_16	     304	       1	      60	       0
2020_03_17	     424	       1	     120	       0
2020_03_18	     424	       1	       0	       0
2020_03_19	     569	       8	     145	       7
2020_03_20	     736	       9	     167	       1
2020_03_21	     846	       9	     110	       0
2020_03_22	    1048	      13	     202	       4
2020_03_23	    1384	      19	     336	       6
2020_03_24	    1432	      20	      48	       1
2020_03_25	    1739	      25	     307	       5
2020_03_26	    3409	      35	    1670	      10
2020_03_27	    3555	      35	     146	       0
2020_03_28	    4018	      39	     463	       4
2020_03_29	    4757	      55	     739	      16
2020_03_30	    5655	      61	     898	       6
2020_03_31	    6317	      66	     662	       5
2020_04_01	    7695	      89	    1378	      23
2020_04_02	    9005	     105	    1310	      16
2020_04_03	   10114	     127	    1109	      22
2020_04_04	   11732	     152	    1618	      25
2020_04_05	   12938	     214	    1206	      62
2020_04_06	   13904	     231	     966	      17
2020_04_07	   15806	     293	    1902	      62
2020_04_08	   17049	     345	    1243	      52
2020_04_09	   18433	     401	    1384	      56
2020_04_10	   19759	     461	    1326	      60
2020_04_11	   21226	     531	    1467	      70
2020_04_12	   22544	     600	    1318	      69
2020_04_13	   23702	     674	    1158	      74
2020_04_14	   24786	     734	    1084	      60
2020_04_15	   26146	     823	    1360	      89
2020_04_16	   27540	     954	    1394	     131
2020_04_17	   28884	    1048	    1344	      94
2020_04_18	   30659	    1250	    1775	     202
2020_04_19	   32400	    1346	    1741	      96
2020_04_20	   33909	    1506	    1509	     160
2020_04_21	   35383	    1611	    1474	     105
2020_04_22	   37374	    1728	    1991	     117
2020_04_23	   38923	    1871	    1549	     143
2020_04_24	   40813	    2028	    1890	     157
2020_04_25	   42739	    2197	    1926	     169
2020_04_26	   44353	    2350	    1614	     153
2020_04_27	   45778	    2489	    1425	     139
2020_04_28	   47316	    2617	    1538	     128
2020_04_29	   49014	    2766	    1698	     149
2020_04_30	   50363	    2904	    1349	     138
2020_05_01	   52056	    3082	    1693	     178
2020_05_02	   53657	    3223	    1601	     141
2020_05_03	   55572	    3446	    1915	     223
2020_05_04	   59365	    3681	    3793	     235
2020_05_05	   59844	    3766	     479	      85
