#
# COVID-19 Country file (official WHO count)
# Country = Central African Republic
# Latitude = 4.0
# Population = 4920.889
# Territory = 622984.0
# LEB = 53.3
# DPA = 57000
# DPA65 = 10830
# GDP = 450.0
# GDP_PPP = 808.0
# COVID-19 Mortality = 19.9
# First_Case = 2020_03_15
# Last_Case = 2021_06_13
# First_Death = 2020_05_24
# Last_Death = 2021_05_30
# Status as of 2021_06_13 = Community transmission
# Vaccine type = Unknown
# Vaccine start = NA
#
Date	Conf_Cases	Conf_Deaths	Daily_Cases	Daily_Deaths
2020_03_15	       1	       0	       1	       0
2020_03_16	       1	       0	       0	       0
2020_03_17	       1	       0	       0	       0
2020_03_18	       1	       0	       0	       0
2020_03_19	       1	       0	       0	       0
2020_03_20	       1	       0	       0	       0
2020_03_21	       1	       0	       0	       0
2020_03_22	       3	       0	       2	       0
2020_03_23	       4	       0	       1	       0
2020_03_24	       4	       0	       0	       0
2020_03_25	       4	       0	       0	       0
2020_03_26	       5	       0	       1	       0
2020_03_27	       5	       0	       0	       0
2020_03_28	       6	       0	       1	       0
2020_03_29	       6	       0	       0	       0
2020_03_30	       6	       0	       0	       0
2020_03_31	       6	       0	       0	       0
2020_04_01	       6	       0	       0	       0
2020_04_02	       8	       0	       2	       0
2020_04_03	       8	       0	       0	       0
2020_04_04	       8	       0	       0	       0
2020_04_05	       9	       0	       1	       0
2020_04_06	       9	       0	       0	       0
2020_04_07	       9	       0	       0	       0
2020_04_08	       9	       0	       0	       0
2020_04_09	      10	       0	       1	       0
2020_04_10	      10	       0	       0	       0
2020_04_11	      11	       0	       1	       0
2020_04_12	      11	       0	       0	       0
2020_04_13	      11	       0	       0	       0
2020_04_14	      11	       0	       0	       0
2020_04_15	      11	       0	       0	       0
2020_04_16	      11	       0	       0	       0
2020_04_17	      12	       0	       1	       0
2020_04_18	      12	       0	       0	       0
2020_04_19	      12	       0	       0	       0
2020_04_20	      12	       0	       0	       0
2020_04_21	      12	       0	       0	       0
2020_04_22	      14	       0	       2	       0
2020_04_23	      14	       0	       0	       0
2020_04_24	      16	       0	       2	       0
2020_04_25	      19	       0	       3	       0
2020_04_26	      19	       0	       0	       0
2020_04_27	      19	       0	       0	       0
2020_04_28	      42	       0	      23	       0
2020_04_29	      50	       0	       8	       0
2020_04_30	      50	       0	       0	       0
2020_05_01	      64	       0	      14	       0
2020_05_02	      64	       0	       0	       0
2020_05_03	      72	       0	       8	       0
2020_05_04	      72	       0	       0	       0
2020_05_05	      94	       0	      22	       0
2020_05_06	      94	       0	       0	       0
2020_05_07	      94	       0	       0	       0
2020_05_08	      94	       0	       0	       0
2020_05_09	      94	       0	       0	       0
2020_05_10	     143	       0	      49	       0
2020_05_11	     179	       0	      36	       0
2020_05_12	     179	       0	       0	       0
2020_05_13	     179	       0	       0	       0
2020_05_14	     187	       0	       8	       0
2020_05_15	     221	       0	      34	       0
2020_05_16	     301	       0	      80	       0
2020_05_17	     301	       0	       0	       0
2020_05_18	     327	       0	      26	       0
2020_05_19	     336	       0	       9	       0
2020_05_20	     411	       0	      75	       0
2020_05_21	     411	       0	       0	       0
2020_05_22	     436	       0	      25	       0
2020_05_23	     479	       0	      43	       0
2020_05_24	     552	       1	      73	       1
2020_05_25	     604	       1	      52	       0
2020_05_26	     652	       1	      48	       0
2020_05_27	     652	       1	       0	       0
2020_05_28	     701	       1	      49	       0
2020_05_29	     755	       1	      54	       0
2020_05_30	     874	       1	     119	       0
2020_05_31	     874	       1	       0	       0
2020_06_01	    1011	       2	     137	       1
2020_06_02	    1069	       4	      58	       2
2020_06_03	    1069	       4	       0	       0
2020_06_04	    1189	       4	     120	       0
2020_06_05	    1288	       4	      99	       0
2020_06_06	    1451	       4	     163	       0
2020_06_07	    1570	       5	     119	       1
2020_06_08	    1634	       5	      64	       0
2020_06_09	    1850	       5	     216	       0
2020_06_10	    1850	       5	       0	       0
2020_06_11	    1888	       5	      38	       0
2020_06_12	    2044	       5	     156	       0
2020_06_13	    2057	       7	      13	       2
2020_06_14	    2057	       7	       0	       0
2020_06_15	    2222	       7	     165	       0
2020_06_16	    2222	       7	       0	       0
2020_06_17	    2410	      14	     188	       7
2020_06_18	    2564	      18	     154	       4
2020_06_19	    2605	      19	      41	       1
2020_06_20	    2605	      19	       0	       0
2020_06_21	    2808	      23	     203	       4
2020_06_22	    2808	      23	       0	       0
2020_06_23	    2963	      30	     155	       7
2020_06_24	    3051	      37	      88	       7
2020_06_25	    3051	      37	       0	       0
2020_06_26	    3244	      40	     193	       3
2020_06_27	    3340	      40	      96	       0
2020_06_28	    3340	      40	       0	       0
2020_06_29	    3429	      45	      89	       5
2020_06_30	    3613	      47	     184	       2
2020_07_01	    3745	      47	     132	       0
2020_07_02	    3745	      47	       0	       0
2020_07_03	    3788	      47	      43	       0
2020_07_04	    3918	      48	     130	       1
2020_07_05	    3969	      48	      51	       0
