#
# COVID-19 Country file (official WHO count)
# Country = Chad
# Latitude = 12.0
# Population = 16285.093
# Territory = 1284000.0
# LEB = 54.2
# DPA = 190000
# DPA65 = 26600
# GDP = 769.0
# GDP_PPP = 2324.0
# COVID-19 Mortality = 4.7
# First_Case = 2020_03_20
# First_Death = 2020_04_29
# Last_Case = 2020_04_29
# Last_Death = 2020_04_29
# Status as of 2020_08_23 = Community transmission
#
Date	Conf_Cases	Conf_Deaths
2020_03_20	1	0
2020_03_21	1	0
2020_03_22	1	0
2020_03_23	1	0
2020_03_24	3	0
2020_03_25	3	0
2020_03_26	3	0
2020_03_27	5	0
2020_03_28	5	0
2020_03_29	5	0
2020_03_30	5	0
2020_03_31	5	0
2020_04_01	7	0
2020_04_02	7	0
2020_04_03	7	0
2020_04_04	7	0
2020_04_05	7	0
2020_04_06	9	0
2020_04_07	9	0
2020_04_08	10	0
2020_04_09	10	0
2020_04_10	11	0
2020_04_11	11	0
2020_04_12	11	0
2020_04_13	18	0
2020_04_14	23	0
2020_04_15	23	0
2020_04_16	27	0
2020_04_17	27	0
2020_04_18	33	0
2020_04_19	33	0
2020_04_20	33	0
2020_04_21	33	0
2020_04_22	34	0
2020_04_23	34	0
2020_04_24	34	0
2020_04_25	40	0
2020_04_26	46	0
2020_04_27	46	0
2020_04_28	46	0
2020_04_29	52	2
2020_04_30	52	2
2020_05_01	73	3
2020_05_02	73	5
2020_05_03	117	10
2020_05_04	117	10
2020_05_05	117	10
2020_05_06	170	17
2020_05_07	170	17
2020_05_08	253	27
2020_05_09	260	28
2020_05_10	322	31
2020_05_11	322	31
2020_05_12	322	31
2020_05_13	357	40
2020_05_14	372	42
2020_05_15	399	46
2020_05_16	428	48
2020_05_17	474	50
2020_05_18	503	53
2020_05_19	519	54
2020_05_20	545	56
2020_05_21	565	57
2020_05_22	588	58
2020_05_23	611	59
2020_05_24	648	60
2020_05_25	675	60
2020_05_26	687	61
2020_05_27	700	62
2020_05_28	715	64
2020_05_29	726	65
2020_05_30	759	65
2020_05_31	759	65
2020_06_01	778	65
2020_06_02	790	66
2020_06_03	803	66
2020_06_04	820	66
2020_06_05	828	66
2020_06_06	836	68
2020_06_07	836	69
2020_06_08	837	69
2020_06_09	839	70
2020_06_10	844	71
2020_06_11	846	72
2020_06_12	848	72
2020_06_13	848	72
2020_06_14	848	72
2020_06_15	850	73
2020_06_16	850	73
2020_06_17	853	74
2020_06_18	854	74
2020_06_19	854	74
2020_06_20	858	74
2020_06_21	858	74
2020_06_22	858	74
2020_06_23	858	74
2020_06_24	860	74
2020_06_25	860	74
2020_06_26	863	74
2020_06_27	865	74
2020_06_28	865	74
2020_06_29	866	74
2020_06_30	866	74
2020_07_01	866	74
2020_07_02	866	74
2020_07_03	868	74
2020_07_04	871	74
2020_07_05	871	74
2020_07_06	872	74
2020_07_07	872	74
2020_07_08	873	74
2020_07_09	873	74
2020_07_10	873	74
2020_07_11	874	74
2020_07_12	874	74
2020_07_13	880	75
2020_07_14	880	75
2020_07_15	884	75
2020_07_16	885	75
2020_07_17	886	75
2020_07_18	887	75
2020_07_19	889	75
2020_07_20	889	75
2020_07_21	889	75
2020_07_22	889	75
2020_07_23	889	75
2020_07_24	915	75
2020_07_25	915	75
2020_07_26	915	75
2020_07_27	915	75
2020_07_28	922	75
2020_07_29	926	75
2020_07_30	926	75
2020_07_31	935	75
2020_08_01	936	75
2020_08_02	936	75
2020_08_03	936	75
2020_08_04	936	75
2020_08_05	938	75
2020_08_06	939	75
2020_08_07	942	76
2020_08_08	942	76
2020_08_09	942	76
2020_08_10	944	76
2020_08_11	945	76
2020_08_12	946	76
2020_08_13	949	76
2020_08_14	949	76
2020_08_15	951	76
2020_08_16	952	76
2020_08_17	956	76
2020_08_18	960	76
2020_08_19	964	76
2020_08_20	968	76
2020_08_21	972	76
2020_08_22	976	76
2020_08_23	982	76
