#
# COVID-19 Country file (official WHO count)
# Country = Chile
# Latitude = -33.0
# Population = 18472.639
# Territory = 756102.0
# LEB = 80.2
# DPA = 117000
# DPA65 = 84240
# GDP = 15556.0
# GDP_PPP = 25658.0
# COVID-19 Mortality = 1655.4
# First_Case = 2020_03_04
# Last_Case = 2021_06_13
# First_Death = 2020_03_22
# Last_Death = 2021_06_13
# Status as of 2021_06_13 = Community transmission
# Vaccine type = Pfizer/BioNTech, Sinovac
# Vaccine start = 2020_12_24
#
Date	Conf_Cases	Conf_Deaths	Daily_Cases	Daily_Deaths
2020_03_04	       1	       0	       1	       0
2020_03_05	       1	       0	       0	       0
2020_03_06	       1	       0	       0	       0
2020_03_07	       5	       0	       4	       0
2020_03_08	       5	       0	       0	       0
2020_03_09	      10	       0	       5	       0
2020_03_10	      13	       0	       3	       0
2020_03_11	      17	       0	       4	       0
2020_03_12	      23	       0	       6	       0
2020_03_13	      33	       0	      10	       0
2020_03_14	      43	       0	      10	       0
2020_03_15	      61	       0	      18	       0
2020_03_16	      75	       0	      14	       0
2020_03_17	     156	       0	      81	       0
2020_03_18	     156	       0	       0	       0
2020_03_19	     238	       0	      82	       0
2020_03_20	     342	       0	     104	       0
2020_03_21	     434	       0	      92	       0
2020_03_22	     434	       1	       0	       1
2020_03_23	     632	       1	     198	       0
2020_03_24	     746	       1	     114	       0
2020_03_25	     922	       2	     176	       1
2020_03_26	    1142	       3	     220	       1
2020_03_27	    1306	       4	     164	       1
2020_03_28	    1610	       5	     304	       1
2020_03_29	    1909	       6	     299	       1
2020_03_30	    1909	       6	       0	       0
2020_03_31	    2449	       8	     540	       2
2020_04_01	    2738	      12	     289	       4
2020_04_02	    3031	      16	     293	       4
2020_04_03	    3404	      18	     373	       2
2020_04_04	    3737	      22	     333	       4
2020_04_05	    4161	      27	     424	       5
2020_04_06	    4471	      34	     310	       7
2020_04_07	    4815	      37	     344	       3
2020_04_08	    5116	      43	     301	       6
2020_04_09	    5546	      48	     430	       5
2020_04_10	    5972	      57	     426	       9
2020_04_11	    6501	      65	     529	       8
2020_04_12	    6927	      73	     426	       8
2020_04_13	    7213	      80	     286	       7
2020_04_14	    7525	      82	     312	       2
2020_04_15	    7917	      92	     392	      10
2020_04_16	    8273	      94	     356	       2
2020_04_17	    8807	     105	     534	      11
2020_04_18	    9252	     116	     445	      11
2020_04_19	    9730	     126	     478	      10
2020_04_20	   10888	     133	    1158	       7
2020_04_21	   10507	     139	    -381	       6
2020_04_22	   10832	     147	     325	       8
2020_04_23	   11296	     160	     464	      13
2020_04_24	   11812	     168	     516	       8
2020_04_25	   12306	     174	     494	       6
2020_04_26	   12858	     181	     552	       7
2020_04_27	   13331	     189	     473	       8
2020_04_28	   13813	     198	     482	       9
2020_04_29	   14365	     207	     552	       9
2020_04_30	   14885	     216	     520	       9
2020_05_01	   16023	     227	    1138	      11
2020_05_02	   17008	     234	     985	       7
2020_05_03	   18435	     247	    1427	      13
2020_05_04	   19663	     260	    1228	      13
2020_05_05	   20643	     270	     980	      10
2020_05_06	   22016	     275	    1373	       5
