#
# COVID-19 Country file (official WHO count)
# Country = China
# Latitude = 40.0
# Population = 1456565.698
# Territory = 9635940.3
# LEB = 77.0
# DPA = 10677000
# DPA65 = 7692500
# GDP = 9517.0
# GDP_PPP = 18607.0
# COVID-19 Mortality = 3.2
# First_Case = 2020_01_20
# First_Death = 2020_01_20
# Last_Case = 2020_01_20
# Last_Death = 2020_01_20
# Status as of 2020_08_23 = Clusters of cases
#
Date	Conf_Cases	Conf_Deaths
2020_01_20	278	4
2020_01_21	310	4
2020_01_22	390	12
2020_01_23	571	17
2020_01_24	830	25
2020_01_25	1297	41
2020_01_26	1985	56
2020_01_27	2761	80
2020_01_28	4537	106
2020_01_29	5997	132
2020_01_30	7736	170
2020_01_31	9720	213
2020_02_01	11821	259
2020_02_02	14411	304
2020_02_03	17238	361
2020_02_04	20471	425
2020_02_05	24363	491
2020_02_06	28060	564
2020_02_07	31211	637
2020_02_08	34598	723
2020_02_09	37251	812
2020_02_10	40235	909
2020_02_11	42708	1017
2020_02_12	44730	1114
2020_02_13	46550	1368
2020_02_14	63932	1381
2020_02_15	66574	1524
2020_02_16	68584	1666
2020_02_17	70635	1772
2020_02_18	72528	1870
2020_02_19	74280	2006
2020_02_20	74675	2121
2020_02_21	75569	2239
2020_02_22	76392	2348
2020_02_23	77042	2445
2020_02_24	77262	2595
2020_02_25	77780	2666
2020_02_26	78191	2718
2020_02_27	78630	2747
2020_02_28	78961	2791
2020_02_29	79394	2838
2020_03_01	79968	2873
2020_03_02	80174	2915
2020_03_03	80304	2946
2020_03_04	80422	2984
2020_03_05	80565	3015
2020_03_06	80711	3045
2020_03_07	80813	3073
2020_03_08	80859	3100
2020_03_09	80904	3123
2020_03_10	80924	3140
2020_03_11	80955	3162
2020_03_12	80981	3173
2020_03_13	80991	3180
2020_03_14	81021	3194
2020_03_15	81048	3204
2020_03_16	81077	3218
2020_03_17	81116	3231
2020_03_18	81116	3231
2020_03_19	81174	3242
2020_03_20	81300	3253
2020_03_21	81416	3261
2020_03_22	81498	3267
2020_03_23	81601	3276
2020_03_24	81747	3283
2020_03_25	81848	3287
2020_03_26	81961	3293
2020_03_27	82078	3298
2020_03_28	82230	3301
2020_03_29	82356	3306
2020_03_30	82447	3310
2020_03_31	82545	3314
2020_04_01	82631	3321
2020_04_02	82724	3327
2020_04_03	82802	3331
2020_04_04	82875	3335
2020_04_05	82930	3338
2020_04_06	83005	3340
2020_04_07	83071	3340
2020_04_08	83157	3342
2020_04_09	83249	3344
2020_04_10	83305	3345
2020_04_11	83369	3349
2020_04_12	83482	3349
2020_04_13	83597	3351
2020_04_14	83696	3351
2020_04_15	83745	3352
2020_04_16	83797	3352
2020_04_17	84149	4642
2020_04_18	84180	4642
2020_04_19	84201	4642
2020_04_20	84237	4642
2020_04_21	84250	4642
2020_04_22	84287	4642
2020_04_23	84302	4642
2020_04_24	84311	4642
2020_04_25	84325	4642
2020_04_26	84338	4642
2020_04_27	84341	4643
2020_04_28	84347	4643
2020_04_29	84369	4643
2020_04_30	84373	4643
2020_05_01	84385	4643
2020_05_02	84388	4643
2020_05_03	84393	4643
2020_05_04	84400	4643
2020_05_05	84404	4643
2020_05_06	84406	4643
2020_05_07	84409	4643
2020_05_08	84415	4643
