#
# COVID-19 Country file (official WHO count)
# Country = Colombia
# Latitude = 4.0
# Population = 50220.412
# Territory = 1141748.0
# LEB = 77.3
# DPA = 281000
# DPA65 = 165790
# GDP = 6493.0
# GDP_PPP = 15259.0
# COVID-19 Mortality = 329.9
# First_Case = 2020_03_07
# First_Death = 2020_03_23
# Last_Case = 2020_03_23
# Last_Death = 2020_03_23
# Status as of 2020_08_23 = Community transmission
#
Date	Conf_Cases	Conf_Deaths
2020_03_07	1	0
2020_03_08	1	0
2020_03_09	1	0
2020_03_10	3	0
2020_03_11	3	0
2020_03_12	9	0
2020_03_13	9	0
2020_03_14	16	0
2020_03_15	24	0
2020_03_16	24	0
2020_03_17	45	0
2020_03_18	45	0
2020_03_19	93	0
2020_03_20	108	0
2020_03_21	145	0
2020_03_22	196	0
2020_03_23	196	2
2020_03_24	277	3
2020_03_25	306	3
2020_03_26	470	4
2020_03_27	470	4
2020_03_28	491	6
2020_03_29	539	6
2020_03_30	608	6
2020_03_31	702	10
2020_04_01	798	14
2020_04_02	906	16
2020_04_03	1065	17
2020_04_04	1161	19
2020_04_05	1267	25
2020_04_06	1406	32
2020_04_07	1485	35
2020_04_08	1579	46
2020_04_09	1780	50
2020_04_10	2054	55
2020_04_11	2223	69
2020_04_12	2473	80
2020_04_13	2709	100
2020_04_14	2776	109
2020_04_15	2852	112
2020_04_16	2979	127
2020_04_17	3105	131
2020_04_18	3233	144
2020_04_19	3439	153
2020_04_20	3621	166
2020_04_21	3792	179
2020_04_22	3977	189
2020_04_23	4149	196
2020_04_24	4356	206
2020_04_25	4561	215
2020_04_26	4881	225
2020_04_27	5142	233
2020_04_28	5379	244
2020_04_29	5597	253
2020_04_30	5949	269
2020_05_01	6211	278
2020_05_02	6507	293
2020_05_03	7006	314
2020_05_04	7285	324
2020_05_05	7668	340
2020_05_06	7973	358
2020_05_07	8613	378
2020_05_08	8959	397
2020_05_09	9456	407
2020_05_10	10051	428
2020_05_11	10495	445
2020_05_12	11063	463
2020_05_13	11613	479
2020_05_14	12272	493
2020_05_15	12930	509
2020_05_16	13610	525
2020_05_17	14216	546
2020_05_18	14939	562
2020_05_19	15574	574
2020_05_20	16295	592
2020_05_21	16935	613
2020_05_22	17687	630
2020_05_23	18330	652
2020_05_24	19131	682
2020_05_25	20177	705
2020_05_26	21175	727
2020_05_27	21981	750
2020_05_28	23003	776
2020_05_29	24104	803
2020_05_30	25366	822
2020_05_31	26688	853
2020_06_01	28236	890
2020_06_02	29383	939
2020_06_03	30493	969
2020_06_04	31833	1009
2020_06_05	33354	1045
2020_06_06	35120	1087
2020_06_07	36635	1145
2020_06_08	38027	1205
2020_06_09	39236	1259
2020_06_10	40719	1308
2020_06_11	42078	1372
2020_06_12	43682	1433
2020_06_13	45212	1488
2020_06_14	46858	1545
2020_06_15	48746	1592
2020_06_16	50939	1667
2020_06_17	53063	1726
2020_06_18	54931	1801
2020_06_19	57046	1864
2020_06_20	60217	1950
2020_06_21	63276	2045
2020_06_22	65633	2126
2020_06_23	68652	2237
2020_06_24	71183	2310
2020_06_25	73572	2404
2020_06_26	77113	2491
2020_06_27	80599	2654
2020_06_28	84442	2811
2020_06_29	88591	2939
2020_06_30	91769	3106
2020_07_01	95043	3223
2020_07_02	97846	3334
2020_07_03	102009	3470
2020_07_04	106110	3641
2020_07_05	109505	3777
2020_07_06	113389	3942
2020_07_07	117110	4064
2020_07_08	120281	4210
2020_07_09	124494	4359
2020_07_10	128638	4527
2020_07_11	133973	4714
2020_07_12	140776	4925
2020_07_13	145362	5119
2020_07_14	150445	5307
2020_07_15	154277	5455
2020_07_16	159898	5625
2020_07_17	165169	5814
2020_07_18	173206	6029
2020_07_19	182140	6288
2020_07_20	190700	6516
2020_07_21	197278	6736
2020_07_22	204005	6929
2020_07_23	211038	7166
2020_07_24	218428	7373
2020_07_25	226373	7688
2020_07_26	226373	7688
2020_07_27	240795	8269
2020_07_28	248976	8525
2020_07_29	257101	8777
2020_07_30	267385	9074
2020_07_31	276055	9454
2020_08_01	286020	9810
2020_08_02	295508	10105
2020_08_03	306181	10330
2020_08_04	317651	10650
2020_08_05	327850	11017
2020_08_06	334979	11315
2020_08_07	345714	11624
2020_08_08	357710	11939
2020_08_09	367196	12250
2020_08_10	376870	12540
2020_08_11	387481	12842
2020_08_12	397623	13154
2020_08_13	410453	13475
2020_08_14	422519	13837
2020_08_15	433805	14145
2020_08_16	445111	14492
2020_08_17	456114	14788
2020_08_18	467117	15084
2020_08_19	478120	15380
2020_08_20	489123	15676
2020_08_21	500126	15972
2020_08_22	511129	16268
2020_08_23	522138	16568
