#
# COVID-19 Country file (official WHO count)
# Country = Comoros
# Latitude = -12.0
# Population = 869.601
# Territory = 1862.0
# LEB = 64.3
# DPA = 6000
# DPA65 = 1680
# GDP = 1365.0
# GDP_PPP = 2470.0
# COVID-19 Mortality = 167.9
# First_Case = 2020_05_01
# Last_Case = 2021_06_13
# First_Death = 2020_05_05
# Last_Death = 2021_03_14
# Status as of 2021_06_13 = Community transmission
# Vaccine type = Unknown
# Vaccine start = NA
#
Date	Conf_Cases	Conf_Deaths	Daily_Cases	Daily_Deaths
2020_05_01	       1	       0	       1	       0
2020_05_02	       1	       0	       0	       0
2020_05_03	       3	       0	       2	       0
2020_05_04	       3	       0	       0	       0
2020_05_05	       4	       1	       1	       1
2020_05_06	       4	       1	       0	       0
2020_05_07	       8	       1	       4	       0
2020_05_08	       8	       1	       0	       0
2020_05_09	       8	       1	       0	       0
2020_05_10	      11	       1	       3	       0
2020_05_11	      11	       1	       0	       0
2020_05_12	      11	       1	       0	       0
2020_05_13	      11	       1	       0	       0
2020_05_14	      11	       1	       0	       0
2020_05_15	      11	       1	       0	       0
2020_05_16	      11	       1	       0	       0
2020_05_17	      11	       1	       0	       0
2020_05_18	      11	       1	       0	       0
2020_05_19	      11	       1	       0	       0
2020_05_20	      34	       1	      23	       0
2020_05_21	      34	       1	       0	       0
2020_05_22	      34	       1	       0	       0
2020_05_23	      34	       1	       0	       0
2020_05_24	      34	       1	       0	       0
2020_05_25	      43	       1	       9	       0
2020_05_26	      43	       1	       0	       0
2020_05_27	      43	       1	       0	       0
2020_05_28	      43	       2	       0	       1
2020_05_29	      43	       2	       0	       0
2020_05_30	      43	       2	       0	       0
2020_05_31	      43	       2	       0	       0
2020_06_01	      62	       2	      19	       0
2020_06_02	      62	       2	       0	       0
2020_06_03	      62	       2	       0	       0
2020_06_04	      62	       2	       0	       0
2020_06_05	      62	       2	       0	       0
2020_06_06	      62	       2	       0	       0
2020_06_07	      97	       2	      35	       0
2020_06_08	      97	       2	       0	       0
2020_06_09	      97	       2	       0	       0
2020_06_10	      97	       2	       0	       0
2020_06_11	     162	       2	      65	       0
2020_06_12	     162	       2	       0	       0
2020_06_13	     163	       2	       1	       0
2020_06_14	     176	       2	      13	       0
2020_06_15	     176	       2	       0	       0
2020_06_16	     176	       2	       0	       0
2020_06_17	     197	       3	      21	       1
2020_06_18	     197	       3	       0	       0
2020_06_19	     210	       5	      13	       2
2020_06_20	     210	       5	       0	       0
2020_06_21	     247	       5	      37	       0
2020_06_22	     247	       5	       0	       0
2020_06_23	     247	       5	       0	       0
2020_06_24	     265	       7	      18	       2
2020_06_25	     265	       7	       0	       0
2020_06_26	     272	       7	       7	       0
2020_06_27	     272	       7	       0	       0
2020_06_28	     272	       7	       0	       0
2020_06_29	     293	       7	      21	       0
2020_06_30	     293	       7	       0	       0
2020_07_01	     303	       7	      10	       0
2020_07_02	     303	       7	       0	       0
2020_07_03	     303	       7	       0	       0
2020_07_04	     309	       7	       6	       0
2020_07_05	     309	       7	       0	       0
2020_07_06	     311	       7	       2	       0
2020_07_07	     311	       7	       0	       0
2020_07_08	     313	       7	       2	       0
2020_07_09	     313	       7	       0	       0
2020_07_10	     313	       7	       0	       0
2020_07_11	     314	       7	       1	       0
2020_07_12	     314	       7	       0	       0
2020_07_13	     317	       7	       3	       0
2020_07_14	     317	       7	       0	       0
2020_07_15	     321	       7	       4	       0
2020_07_16	     321	       7	       0	       0
2020_07_17	     328	       7	       7	       0
2020_07_18	     328	       7	       0	       0
2020_07_19	     328	       7	       0	       0
2020_07_20	     334	       7	       6	       0
2020_07_21	     334	       7	       0	       0
2020_07_22	     337	       7	       3	       0
2020_07_23	     337	       7	       0	       0
2020_07_24	     340	       7	       3	       0
2020_07_25	     340	       7	       0	       0
2020_07_26	     340	       7	       0	       0
2020_07_27	     354	       7	      14	       0
2020_07_28	     354	       7	       0	       0
2020_07_29	     378	       7	      24	       0
2020_07_30	     378	       7	       0	       0
2020_07_31	     382	       7	       4	       0
2020_08_01	     382	       7	       0	       0
2020_08_02	     382	       7	       0	       0
2020_08_03	     386	       7	       4	       0
2020_08_04	     386	       7	       0	       0
2020_08_05	     388	       7	       2	       0
2020_08_06	     388	       7	       0	       0
2020_08_07	     396	       7	       8	       0
2020_08_08	     396	       7	       0	       0
2020_08_09	     399	       7	       3	       0
2020_08_10	     399	       7	       0	       0
2020_08_11	     399	       7	       0	       0
2020_08_12	     399	       7	       0	       0
2020_08_13	     399	       7	       0	       0
2020_08_14	     403	       7	       4	       0
2020_08_15	     403	       7	       0	       0
2020_08_16	     405	       7	       2	       0
2020_08_17	     406	       7	       1	       0
2020_08_18	     408	       7	       2	       0
2020_08_19	     410	       7	       2	       0
2020_08_20	     411	       7	       1	       0
2020_08_21	     413	       7	       2	       0
2020_08_22	     415	       7	       2	       0
2020_08_23	     417	       7	       2	       0
2020_08_24	     417	       7	       0	       0
2020_08_25	     418	       7	       1	       0
2020_08_26	     419	       7	       1	       0
2020_08_27	     420	       7	       1	       0
2020_08_28	     421	       7	       1	       0
2020_08_29	     422	       7	       1	       0
2020_08_30	     423	       7	       1	       0
2020_08_31	     426	       7	       3	       0
2020_09_01	     430	       7	       4	       0
2020_09_02	     433	       7	       3	       0
2020_09_03	     437	       7	       4	       0
2020_09_04	     440	       7	       3	       0
2020_09_05	     444	       7	       4	       0
2020_09_06	     448	       7	       4	       0
2020_09_07	     449	       7	       1	       0
2020_09_08	     450	       7	       1	       0
2020_09_09	     451	       7	       1	       0
2020_09_10	     452	       7	       1	       0
2020_09_11	     453	       7	       1	       0
2020_09_12	     454	       7	       1	       0
2020_09_13	     456	       7	       2	       0
2020_09_14	     458	       7	       2	       0
2020_09_15	     460	       7	       2	       0
2020_09_16	     462	       7	       2	       0
2020_09_17	     464	       7	       2	       0
2020_09_18	     466	       7	       2	       0
2020_09_19	     468	       7	       2	       0
2020_09_20	     470	       7	       2	       0
2020_09_21	     470	       7	       0	       0
2020_09_22	     471	       7	       1	       0
2020_09_23	     471	       7	       0	       0
2020_09_24	     472	       7	       1	       0
2020_09_25	     472	       7	       0	       0
2020_09_26	     473	       7	       1	       0
2020_09_27	     474	       7	       1	       0
2020_09_28	     475	       7	       1	       0
2020_09_29	     476	       7	       1	       0
2020_09_30	     478	       7	       2	       0
2020_10_01	     479	       7	       1	       0
2020_10_02	     481	       7	       2	       0
2020_10_03	     482	       7	       1	       0
2020_10_04	     484	       7	       2	       0
2020_10_05	     485	       7	       1	       0
2020_10_06	     486	       7	       1	       0
2020_10_07	     487	       7	       1	       0
2020_10_08	     488	       7	       1	       0
2020_10_09	     489	       7	       1	       0
2020_10_10	     490	       7	       1	       0
2020_10_11	     491	       7	       1	       0
2020_10_12	     492	       7	       1	       0
2020_10_13	     494	       7	       2	       0
2020_10_14	     495	       7	       1	       0
2020_10_15	     497	       7	       2	       0
2020_10_16	     498	       7	       1	       0
2020_10_17	     500	       7	       2	       0
2020_10_18	     502	       7	       2	       0
2020_10_19	     504	       7	       2	       0
2020_10_20	     506	       7	       2	       0
2020_10_21	     508	       7	       2	       0
2020_10_22	     510	       7	       2	       0
2020_10_23	     512	       7	       2	       0
2020_10_24	     514	       7	       2	       0
2020_10_25	     517	       7	       3	       0
2020_10_26	     518	       7	       1	       0
2020_10_27	     520	       7	       2	       0
2020_10_28	     522	       7	       2	       0
2020_10_29	     524	       7	       2	       0
2020_10_30	     526	       7	       2	       0
2020_10_31	     528	       7	       2	       0
2020_11_01	     530	       7	       2	       0
2020_11_02	     533	       7	       3	       0
2020_11_03	     537	       7	       4	       0
2020_11_04	     541	       7	       4	       0
2020_11_05	     545	       7	       4	       0
2020_11_06	     549	       7	       4	       0
2020_11_07	     553	       7	       4	       0
2020_11_08	     557	       7	       4	       0
2020_11_09	     559	       7	       2	       0
2020_11_10	     561	       7	       2	       0
2020_11_11	     564	       7	       3	       0
2020_11_12	     566	       7	       2	       0
2020_11_13	     569	       7	       3	       0
2020_11_14	     571	       7	       2	       0
2020_11_15	     574	       7	       3	       0
2020_11_16	     576	       7	       2	       0
2020_11_17	     579	       7	       3	       0
2020_11_18	     581	       7	       2	       0
2020_11_19	     584	       7	       3	       0
2020_11_20	     586	       7	       2	       0
2020_11_21	     589	       7	       3	       0
2020_11_22	     592	       7	       3	       0
2020_11_23	     594	       7	       2	       0
2020_11_24	     597	       7	       3	       0
2020_11_25	     599	       7	       2	       0
2020_11_26	     602	       7	       3	       0
2020_11_27	     604	       7	       2	       0
2020_11_28	     607	       7	       3	       0
