#
# COVID-19 Country file (official WHO count)
# Country = Congo
# Latitude = -4.0
# Population = 5686.917
# Territory = 342000.0
# LEB = 64.6
# DPA = 36000
# DPA65 = 9360
# GDP = 2276.0
# GDP_PPP = 6566.0
# COVID-19 Mortality = 27.3
# First_Case = 2020_03_15
# Last_Case = 2021_06_13
# First_Death = 2020_04_02
# Last_Death = 2021_06_06
# Status as of 2021_06_13 = Community transmission
# Vaccine type = Unknown
# Vaccine start = NA
#
Date	Conf_Cases	Conf_Deaths	Daily_Cases	Daily_Deaths
2020_03_15	       1	       0	       1	       0
2020_03_16	       1	       0	       0	       0
2020_03_17	       1	       0	       0	       0
2020_03_18	       1	       0	       0	       0
2020_03_19	       3	       0	       2	       0
2020_03_20	       3	       0	       0	       0
2020_03_21	       3	       0	       0	       0
2020_03_22	       4	       0	       1	       0
2020_03_23	       4	       0	       0	       0
2020_03_24	       4	       0	       0	       0
2020_03_25	       4	       0	       0	       0
2020_03_26	       4	       0	       0	       0
2020_03_27	       4	       0	       0	       0
2020_03_28	      19	       0	      15	       0
2020_03_29	      19	       0	       0	       0
2020_03_30	      19	       0	       0	       0
2020_03_31	      19	       0	       0	       0
2020_04_01	      19	       0	       0	       0
2020_04_02	      22	       2	       3	       2
2020_04_03	      41	       2	      19	       0
2020_04_04	      41	       3	       0	       1
2020_04_05	      45	       5	       4	       2
2020_04_06	      45	       5	       0	       0
2020_04_07	      45	       5	       0	       0
2020_04_08	      45	       5	       0	       0
2020_04_09	      60	       5	      15	       0
2020_04_10	      60	       5	       0	       0
2020_04_11	      60	       5	       0	       0
2020_04_12	      60	       5	       0	       0
2020_04_13	      70	       5	      10	       0
2020_04_14	      74	       5	       4	       0
2020_04_15	      74	       5	       0	       0
2020_04_16	     117	       5	      43	       0
2020_04_17	     117	       5	       0	       0
2020_04_18	     143	       6	      26	       1
2020_04_19	     143	       6	       0	       0
2020_04_20	     143	       6	       0	       0
2020_04_21	     160	       6	      17	       0
2020_04_22	     165	       6	       5	       0
2020_04_23	     186	       6	      21	       0
2020_04_24	     186	       6	       0	       0
2020_04_25	     200	       6	      14	       0
2020_04_26	     200	       8	       0	       2
2020_04_27	     200	       8	       0	       0
2020_04_28	     207	       8	       7	       0
2020_04_29	     207	       8	       0	       0
2020_04_30	     220	       9	      13	       1
2020_05_01	     220	       9	       0	       0
2020_05_02	     229	      10	       9	       1
2020_05_03	     229	      10	       0	       0
2020_05_04	     229	      10	       0	       0
2020_05_05	     236	      10	       7	       0
2020_05_06	     236	      10	       0	       0
2020_05_07	     264	      10	      28	       0
2020_05_08	     274	      10	      10	       0
2020_05_09	     287	      10	      13	       0
2020_05_10	     287	      10	       0	       0
2020_05_11	     287	      10	       0	       0
2020_05_12	     333	      11	      46	       1
2020_05_13	     333	      11	       0	       0
2020_05_14	     341	      11	       8	       0
2020_05_15	     391	      15	      50	       4
2020_05_16	     391	      15	       0	       0
2020_05_17	     391	      15	       0	       0
2020_05_18	     410	      15	      19	       0
2020_05_19	     414	      15	       4	       0
2020_05_20	     420	      15	       6	       0
2020_05_21	     420	      15	       0	       0
2020_05_22	     469	      16	      49	       1
2020_05_23	     469	      16	       0	       0
2020_05_24	     487	      16	      18	       0
2020_05_25	     487	      16	       0	       0
2020_05_26	     531	      17	      44	       1
2020_05_27	     569	      19	      38	       2
2020_05_28	     571	      19	       2	       0
2020_05_29	     571	      19	       0	       0
2020_05_30	     587	      19	      16	       0
2020_05_31	     587	      19	       0	       0
2020_06_01	     604	      20	      17	       1
2020_06_02	     611	      20	       7	       0
2020_06_03	     618	      20	       7	       0
2020_06_04	     632	      20	      14	       0
2020_06_05	     635	      20	       3	       0
2020_06_06	     639	      20	       4	       0
2020_06_07	     653	      20	      14	       0
2020_06_08	     683	      22	      30	       2
2020_06_09	     683	      20	       0	      -2
2020_06_10	     718	      24	      35	       4
2020_06_11	     728	      24	      10	       0
2020_06_12	     745	      25	      17	       1
2020_06_13	     745	      25	       0	       0
2020_06_14	     779	      25	      34	       0
2020_06_15	     779	      25	       0	       0
2020_06_16	     883	      27	     104	       2
2020_06_17	     883	      27	       0	       0
2020_06_18	     883	      27	       0	       0
2020_06_19	     883	      27	       0	       0
2020_06_20	     883	      27	       0	       0
2020_06_21	     883	      27	       0	       0
2020_06_22	     883	      27	       0	       0
2020_06_23	    1087	      37	     204	      10
2020_06_24	    1141	      37	      54	       0
2020_06_25	    1141	      37	       0	       0
2020_06_26	    1204	      38	      63	       1
2020_06_27	    1204	      38	       0	       0
2020_06_28	    1245	      40	      41	       2
2020_06_29	    1245	      40	       0	       0
2020_06_30	    1245	      40	       0	       0
2020_07_01	    1329	      41	      84	       1
2020_07_02	    1443	      42	     114	       1
2020_07_03	    1443	      42	       0	       0
2020_07_04	    1557	      44	     114	       2
2020_07_05	    1557	      44	       0	       0
2020_07_06	    1557	      44	       0	       0
