#
# COVID-19 Country file (official WHO count)
# Country = Cote d'Ivoire
# Latitude = 7.0
# Population = 26171.750
# Territory = 322463.0
# LEB = 57.8
# DPA = 254000
# DPA65 = 55880
# GDP = 1658.0
# GDP_PPP = 4287.0
# COVID-19 Mortality = 11.7
# First_Case = 2020_03_12
# Last_Case = 2021_06_13
# First_Death = 2020_04_03
# Last_Death = 2021_06_06
# Status as of 2021_06_13 = Community transmission
# Vaccine type = Oxford/AstraZeneca
# Vaccine start = 2021_03_01
#
Date	Conf_Cases	Conf_Deaths	Daily_Cases	Daily_Deaths
2020_03_12	       1	       0	       1	       0
2020_03_13	       1	       0	       0	       0
2020_03_14	       1	       0	       0	       0
2020_03_15	       3	       0	       2	       0
2020_03_16	       3	       0	       0	       0
2020_03_17	       6	       0	       3	       0
2020_03_18	       6	       0	       0	       0
2020_03_19	       9	       0	       3	       0
2020_03_20	       9	       0	       0	       0
2020_03_21	       9	       0	       0	       0
2020_03_22	       9	       0	       0	       0
2020_03_23	      25	       0	      16	       0
2020_03_24	      25	       0	       0	       0
2020_03_25	      72	       0	      47	       0
2020_03_26	      80	       0	       8	       0
2020_03_27	      80	       0	       0	       0
2020_03_28	      92	       0	      12	       0
2020_03_29	     140	       0	      48	       0
2020_03_30	     165	       0	      25	       0
2020_03_31	     169	       0	       4	       0
2020_04_01	     169	       0	       0	       0
2020_04_02	     190	       0	      21	       0
2020_04_03	     190	       1	       0	       1
2020_04_04	     203	       1	      13	       0
2020_04_05	     245	       2	      42	       1
2020_04_06	     245	       2	       0	       0
2020_04_07	     323	       3	      78	       1
2020_04_08	     349	       3	      26	       0
2020_04_09	     384	       3	      35	       0
2020_04_10	     384	       3	       0	       0
2020_04_11	     480	       3	      96	       0
2020_04_12	     533	       4	      53	       1
2020_04_13	     533	       4	       0	       0
2020_04_14	     626	       6	      93	       2
2020_04_15	     638	       6	      12	       0
2020_04_16	     654	       6	      16	       0
2020_04_17	     688	       6	      34	       0
2020_04_18	     742	       6	      54	       0
2020_04_19	     742	       6	       0	       0
2020_04_20	     847	       9	     105	       3
2020_04_21	     879	      10	      32	       1
2020_04_22	     916	      13	      37	       3
2020_04_23	     952	      14	      36	       1
2020_04_24	    1004	      14	      52	       0
2020_04_25	    1077	      14	      73	       0
2020_04_26	    1111	      14	      34	       0
