#
# COVID-19 Country file (official WHO count)
# Country = Cote d’Ivoire
# Latitude = 7.0
# Population = 26171.750
# Territory = 322463.0
# LEB = 57.8
# DPA = 254000
# DPA65 = 55880
# GDP = 1658.0
# GDP_PPP = 4287.0
# COVID-19 Mortality = 4.3
# First_Case = 2020_03_12
# First_Death = 2020_04_03
# Last_Case = 2020_04_03
# Last_Death = 2020_04_03
# Status as of 2020_08_23 = Community transmission
#
Date	Conf_Cases	Conf_Deaths
2020_03_12	1	0
2020_03_13	1	0
2020_03_14	1	0
2020_03_15	3	0
2020_03_16	3	0
2020_03_17	6	0
2020_03_18	6	0
2020_03_19	9	0
2020_03_20	9	0
2020_03_21	9	0
2020_03_22	9	0
2020_03_23	25	0
2020_03_24	25	0
2020_03_25	72	0
2020_03_26	80	0
2020_03_27	80	0
2020_03_28	92	0
2020_03_29	140	0
2020_03_30	165	0
2020_03_31	169	0
2020_04_01	169	0
2020_04_02	190	0
2020_04_03	190	1
2020_04_04	203	1
2020_04_05	245	2
2020_04_06	245	2
2020_04_07	323	3
2020_04_08	349	3
2020_04_09	384	3
2020_04_10	384	3
2020_04_11	480	3
2020_04_12	533	4
2020_04_13	533	4
2020_04_14	626	6
2020_04_15	638	6
2020_04_16	654	6
2020_04_17	688	6
2020_04_18	742	6
2020_04_19	742	6
2020_04_20	847	9
2020_04_21	879	10
2020_04_22	916	13
2020_04_23	952	14
2020_04_24	1004	14
2020_04_25	1077	14
2020_04_26	1111	14
2020_04_27	1150	14
2020_04_28	1164	14
2020_04_29	1183	14
2020_04_30	1238	14
2020_05_01	1275	14
2020_05_02	1275	14
2020_05_03	1362	15
2020_05_04	1398	17
2020_05_05	1432	17
2020_05_06	1464	18
2020_05_07	1516	18
2020_05_08	1571	20
2020_05_09	1602	20
2020_05_10	1667	21
2020_05_11	1700	21
2020_05_12	1730	21
2020_05_13	1857	21
2020_05_14	1912	24
2020_05_15	1971	24
2020_05_16	2017	24
2020_05_17	2061	25
2020_05_18	2109	27
2020_05_19	2119	28
2020_05_20	2153	28
2020_05_21	2231	29
2020_05_22	2301	29
2020_05_23	2341	29
2020_05_24	2366	30
2020_05_25	2376	30
2020_05_26	2423	30
2020_05_27	2477	30
2020_05_28	2556	31
2020_05_29	2641	32
2020_05_30	2750	32
2020_05_31	2799	33
2020_06_01	2833	33
2020_06_02	2951	33
2020_06_03	3024	33
2020_06_04	3110	35
2020_06_05	3262	35
2020_06_06	3431	36
2020_06_07	3557	36
2020_06_08	3739	36
2020_06_09	3881	38
2020_06_10	3995	38
2020_06_11	4181	41
2020_06_12	4404	41
2020_06_13	4684	45
2020_06_14	4848	45
2020_06_15	5084	45
2020_06_16	5084	45
2020_06_17	5679	46
2020_06_18	6063	48
2020_06_19	6444	49
2020_06_20	6874	49
2020_06_21	7276	52
2020_06_22	7492	54
2020_06_23	7677	56
2020_06_24	7904	58
2020_06_25	8164	58
2020_06_26	8334	60
2020_06_27	8739	64
2020_06_28	8944	66
2020_06_29	8944	66
2020_06_30	9101	66
2020_07_01	9214	66
2020_07_02	9499	68
2020_07_03	9702	68
2020_07_04	9992	68
2020_07_05	10244	70
2020_07_06	10244	70
2020_07_07	10966	75
2020_07_08	10966	75
2020_07_09	11504	78
2020_07_10	11504	78
2020_07_11	11504	78
2020_07_12	12052	81
2020_07_13	12766	84
2020_07_14	12872	84
2020_07_15	13037	87
2020_07_16	13037	87
2020_07_17	13403	87
2020_07_18	13696	87
2020_07_19	13696	87
2020_07_20	14119	92
2020_07_21	14312	92
2020_07_22	14531	93
2020_07_23	14733	93
2020_07_24	15001	93
2020_07_25	15253	94
2020_07_26	15253	94
2020_07_27	15596	96
2020_07_28	15655	96
2020_07_29	15713	98
2020_07_30	15713	98
2020_07_31	15978	100
2020_08_01	16047	102
2020_08_02	16109	102
2020_08_03	16182	102
2020_08_04	16220	102
2020_08_05	16293	103
2020_08_06	16349	103
2020_08_07	16447	103
2020_08_08	16524	104
2020_08_09	16620	104
2020_08_10	16715	105
2020_08_11	16798	105
2020_08_12	16847	105
2020_08_13	16847	105
2020_08_14	16847	105
2020_08_15	16935	108
2020_08_16	16993	108
2020_08_17	17047	108
2020_08_18	17101	108
2020_08_19	17155	108
2020_08_20	17209	108
2020_08_21	17263	108
2020_08_22	17317	108
2020_08_23	17374	113
