#
# COVID-19 Country file (official WHO count)
# Country = Cuba
# Latitude = 23.0
# Population = 11495.492
# Territory = 109884.0
# LEB = 78.8
# DPA = 104000
# DPA65 = 78000
# GDP = 8628.0
# GDP_PPP = 11900.0
# COVID-19 Mortality = 7.7
# First_Case = 2020_03_13
# First_Death = 2020_03_19
# Last_Case = 2020_03_19
# Last_Death = 2020_03_19
# Status as of 2020_08_23 = Clusters of cases
#
Date	Conf_Cases	Conf_Deaths
2020_03_13	3	0
2020_03_14	4	0
2020_03_15	4	0
2020_03_16	4	0
2020_03_17	5	0
2020_03_18	5	0
2020_03_19	10	1
2020_03_20	11	1
2020_03_21	16	1
2020_03_22	16	1
2020_03_23	16	1
2020_03_24	40	1
2020_03_25	48	1
2020_03_26	57	1
2020_03_27	67	1
2020_03_28	80	2
2020_03_29	119	3
2020_03_30	119	3
2020_03_31	170	4
2020_04_01	186	6
2020_04_02	212	6
2020_04_03	233	6
2020_04_04	269	6
2020_04_05	288	6
2020_04_06	320	8
2020_04_07	350	9
2020_04_08	396	11
2020_04_09	457	12
2020_04_10	515	15
2020_04_11	564	15
2020_04_12	620	16
2020_04_13	669	18
2020_04_14	726	21
2020_04_15	766	21
2020_04_16	814	24
2020_04_17	862	27
2020_04_18	923	31
2020_04_19	986	32
2020_04_20	1035	34
2020_04_21	1087	36
2020_04_22	1137	38
2020_04_23	1189	40
2020_04_24	1235	43
2020_04_25	1285	49
2020_04_26	1337	51
2020_04_27	1369	54
2020_04_28	1389	56
2020_04_29	1437	58
2020_04_30	1467	58
2020_05_01	1501	61
2020_05_02	1537	64
2020_05_03	1611	66
2020_05_04	1649	67
2020_05_05	1668	69
2020_05_06	1685	69
2020_05_07	1703	69
2020_05_08	1729	73
2020_05_09	1741	74
2020_05_10	1754	74
2020_05_11	1766	77
2020_05_12	1783	77
2020_05_13	1804	78
2020_05_14	1810	79
2020_05_15	1830	79
2020_05_16	1840	79
2020_05_17	1862	79
2020_05_18	1872	79
2020_05_19	1881	79
2020_05_20	1887	79
2020_05_21	1900	79
2020_05_22	1908	80
2020_05_23	1916	81
2020_05_24	1931	81
2020_05_25	1941	82
2020_05_26	1947	82
2020_05_27	1963	82
2020_05_28	1974	82
2020_05_29	1983	82
2020_05_30	2005	82
2020_05_31	2025	83
2020_06_01	2045	83
2020_06_02	2083	83
2020_06_03	2092	83
2020_06_04	2107	83
2020_06_05	2119	83
2020_06_06	2133	83
2020_06_07	2173	83
2020_06_08	2191	83
2020_06_09	2200	83
2020_06_10	2205	83
2020_06_11	2211	83
2020_06_12	2219	84
2020_06_13	2233	84
2020_06_14	2238	84
2020_06_15	2248	84
2020_06_16	2262	84
2020_06_17	2273	84
2020_06_18	2280	84
2020_06_19	2295	85
2020_06_20	2305	85
2020_06_21	2309	85
2020_06_22	2312	85
2020_06_23	2315	85
2020_06_24	2318	85
2020_06_25	2319	85
2020_06_26	2321	85
2020_06_27	2325	85
2020_06_28	2330	86
2020_06_29	2332	86
2020_06_30	2340	86
2020_07_01	2341	86
2020_07_02	2348	86
2020_07_03	2353	86
2020_07_04	2361	86
2020_07_05	2369	86
2020_07_06	2372	86
2020_07_07	2380	86
2020_07_08	2395	86
2020_07_09	2399	86
2020_07_10	2403	86
2020_07_11	2413	86
2020_07_12	2420	87
2020_07_13	2426	87
2020_07_14	2428	87
2020_07_15	2432	87
2020_07_16	2438	87
2020_07_17	2440	87
2020_07_18	2444	87
2020_07_19	2445	87
2020_07_20	2446	87
2020_07_21	2446	87
2020_07_22	2449	87
2020_07_23	2462	87
2020_07_24	2466	87
2020_07_25	2469	87
2020_07_26	2469	87
2020_07_27	2495	87
2020_07_28	2532	87
2020_07_29	2555	87
2020_07_30	2588	87
2020_07_31	2597	87
2020_08_01	2608	87
2020_08_02	2633	87
2020_08_03	2646	87
2020_08_04	2670	87
2020_08_05	2701	88
2020_08_06	2726	88
2020_08_07	2775	88
2020_08_08	2829	88
2020_08_09	2888	88
2020_08_10	2953	88
2020_08_11	3046	88
2020_08_12	3093	88
2020_08_13	3128	88
2020_08_14	3174	89
2020_08_15	3229	88
2020_08_16	3292	88
2020_08_17	3338	88
2020_08_18	3384	88
2020_08_19	3430	88
2020_08_20	3476	88
2020_08_21	3522	88
2020_08_22	3568	88
2020_08_23	3617	89
