#
# COVID-19 Country file (official WHO count)
# Country = Cyprus
# Latitude = 35.0
# Population = 1207.343
# Territory = 9251.0
# LEB = 81.0
# DPA = 9000
# DPA65 = 7650
# GDP = 27400.0
# GDP_PPP = 39778.0
# COVID-19 Mortality = 17.4
# First_Case = 2020_03_10
# First_Death = 2020_03_25
# Last_Case = 2020_03_25
# Last_Death = 2020_03_25
# Status as of 2020_08_23 = Clusters of cases
#
Date	Conf_Cases	Conf_Deaths
2020_03_10	2	0
2020_03_11	2	0
2020_03_12	6	0
2020_03_13	6	0
2020_03_14	14	0
2020_03_15	21	0
2020_03_16	33	0
2020_03_17	33	0
2020_03_18	33	0
2020_03_19	58	0
2020_03_20	58	0
2020_03_21	67	0
2020_03_22	84	0
2020_03_23	95	0
2020_03_24	116	0
2020_03_25	124	3
2020_03_26	132	3
2020_03_27	146	3
2020_03_28	162	5
2020_03_29	179	5
2020_03_30	214	6
2020_03_31	230	7
2020_04_01	262	8
2020_04_02	320	9
2020_04_03	356	9
2020_04_04	396	11
2020_04_05	426	11
2020_04_06	446	14
2020_04_07	465	14
2020_04_08	494	14
2020_04_09	526	14
2020_04_10	564	15
2020_04_11	595	15
2020_04_12	616	15
2020_04_13	633	16
2020_04_14	662	17
2020_04_15	695	17
2020_04_16	715	17
2020_04_17	735	17
2020_04_18	735	17
2020_04_19	761	17
2020_04_20	767	17
2020_04_21	772	17
2020_04_22	784	17
2020_04_23	790	17
2020_04_24	795	17
2020_04_25	804	17
2020_04_26	810	17
2020_04_27	817	17
2020_04_28	822	20
2020_04_29	837	20
2020_04_30	843	20
2020_05_01	850	20
2020_05_02	857	20
2020_05_03	864	20
2020_05_04	872	20
2020_05_05	874	20
2020_05_06	878	20
2020_05_07	883	21
2020_05_08	889	21
2020_05_09	891	21
2020_05_10	892	21
2020_05_11	898	22
2020_05_12	901	22
2020_05_13	903	23
2020_05_14	905	17
2020_05_15	907	17
2020_05_16	910	17
2020_05_17	914	17
2020_05_18	916	17
2020_05_19	917	17
2020_05_20	918	17
2020_05_21	922	17
2020_05_22	923	17
2020_05_23	927	17
2020_05_24	927	17
2020_05_25	935	17
2020_05_26	937	17
2020_05_27	939	17
2020_05_28	939	17
2020_05_29	941	17
2020_05_30	941	17
2020_05_31	943	17
2020_06_01	944	17
2020_06_02	949	17
2020_06_03	952	17
2020_06_04	958	17
2020_06_05	958	17
2020_06_06	960	17
2020_06_07	960	18
2020_06_08	964	18
2020_06_09	970	18
2020_06_10	972	18
2020_06_11	974	18
2020_06_12	975	18
2020_06_13	980	18
2020_06_14	980	18
2020_06_15	983	18
2020_06_16	985	18
2020_06_17	985	18
2020_06_18	985	18
2020_06_19	985	19
2020_06_20	985	19
2020_06_21	985	19
2020_06_22	986	19
2020_06_23	988	19
2020_06_24	990	19
2020_06_25	991	19
2020_06_26	992	19
2020_06_27	992	19
2020_06_28	994	19
2020_06_29	994	19
2020_06_30	996	19
2020_07_01	998	19
2020_07_02	999	19
2020_07_03	999	19
2020_07_04	999	19
2020_07_05	1002	19
2020_07_06	1003	19
2020_07_07	1004	19
2020_07_08	1005	19
2020_07_09	1008	19
2020_07_10	1010	19
2020_07_11	1013	19
2020_07_12	1014	19
2020_07_13	1021	19
2020_07_14	1022	19
2020_07_15	1022	19
2020_07_16	1023	19
2020_07_17	1031	19
2020_07_18	1031	19
2020_07_19	1037	19
2020_07_20	1038	19
2020_07_21	1038	19
2020_07_22	1040	19
2020_07_23	1040	19
2020_07_24	1045	19
2020_07_25	1047	19
2020_07_26	1047	19
2020_07_27	1057	19
2020_07_28	1060	19
2020_07_29	1067	19
2020_07_30	1080	19
2020_07_31	1084	19
2020_08_01	1114	19
2020_08_02	1124	19
2020_08_03	1150	19
2020_08_04	1155	19
2020_08_05	1180	19
2020_08_06	1180	19
2020_08_07	1195	19
2020_08_08	1208	19
2020_08_09	1233	19
2020_08_10	1233	19
2020_08_11	1252	19
2020_08_12	1277	20
2020_08_13	1291	20
2020_08_14	1291	20
2020_08_15	1318	20
2020_08_16	1332	20
2020_08_17	1344	20
2020_08_18	1356	20
2020_08_19	1368	20
2020_08_20	1380	20
2020_08_21	1392	20
2020_08_22	1404	20
2020_08_23	1417	21
