#
# COVID-19 Country file (official WHO count)
# Country = Czechia
# Latitude = 50.0
# Population = 10633.424
# Territory = 78865.0
# LEB = 79.4
# DPA = 113000
# DPA65 = 92660
# GDP = 22206.0
# GDP_PPP = 38510.0
# COVID-19 Mortality = 2842.5
# First_Case = 2020_03_02
# Last_Case = 2021_06_13
# First_Death = 2020_03_23
# Last_Death = 2021_06_13
# Status as of 2021_06_13 = Community transmission
# Vaccine type = Moderna, Oxford/AstraZeneca, Pfizer/BioNTech
# Vaccine start = 2020_12_27
#
Date	Conf_Cases	Conf_Deaths	Daily_Cases	Daily_Deaths
2020_03_02	       3	       0	       3	       0
2020_03_03	       3	       0	       0	       0
2020_03_04	       5	       0	       2	       0
2020_03_05	       5	       0	       0	       0
2020_03_06	      12	       0	       7	       0
2020_03_07	      12	       0	       0	       0
2020_03_08	      26	       0	      14	       0
2020_03_09	      32	       0	       6	       0
2020_03_10	      38	       0	       6	       0
2020_03_11	      61	       0	      23	       0
2020_03_12	      94	       0	      33	       0
2020_03_13	     116	       0	      22	       0
2020_03_14	     150	       0	      34	       0
2020_03_15	     214	       0	      64	       0
2020_03_16	     298	       0	      84	       0
2020_03_17	     383	       0	      85	       0
2020_03_18	     434	       0	      51	       0
2020_03_19	     522	       0	      88	       0
2020_03_20	     694	       0	     172	       0
2020_03_21	     904	       0	     210	       0
2020_03_22	     995	       0	      91	       0
2020_03_23	    1165	       1	     170	       1
2020_03_24	    1236	       1	      71	       0
2020_03_25	    1394	       3	     158	       2
2020_03_26	    1654	       6	     260	       3
2020_03_27	    2062	       9	     408	       3
2020_03_28	    2279	       9	     217	       0
2020_03_29	    2663	      11	     384	       2
2020_03_30	    2829	      16	     166	       5
2020_03_31	    3002	      24	     173	       8
2020_04_01	    3308	      31	     306	       7
2020_04_02	    3589	      39	     281	       8
2020_04_03	    3858	      44	     269	       5
2020_04_04	    4190	      53	     332	       9
2020_04_05	    4472	      59	     282	       6
2020_04_06	    4587	      67	     115	       8
2020_04_07	    4822	      78	     235	      11
2020_04_08	    5017	      88	     195	      10
2020_04_09	    5312	      99	     295	      11
2020_04_10	    5569	     112	     257	      13
2020_04_11	    5732	     119	     163	       7
2020_04_12	    5902	     129	     170	      10
2020_04_13	    5991	     138	      89	       9
2020_04_14	    6059	     143	      68	       5
2020_04_15	    6141	     161	      82	      18
2020_04_16	    6303	     166	     162	       5
2020_04_17	    6433	     169	     130	       3
2020_04_18	    6549	     173	     116	       4
2020_04_19	    6654	     181	     105	       8
2020_04_20	    6787	     188	     133	       7
2020_04_21	    6914	     196	     127	       8
2020_04_22	    7041	     201	     127	       5
2020_04_23	    7136	     210	      95	       9
2020_04_24	    7188	     213	      52	       3
2020_04_25	    7273	     215	      85	       2
2020_04_26	    7352	     218	      79	       3
2020_04_27	    7404	     221	      52	       3
2020_04_28	    7449	     223	      45	       2
2020_04_29	    7504	     227	      55	       4
2020_04_30	    7579	     227	      75	       0
2020_05_01	    7682	     236	     103	       9
2020_05_02	    7737	     240	      55	       4
2020_05_03	    7755	     245	      18	       5
2020_05_04	    7781	     248	      26	       3
2020_05_05	    7819	     252	      38	       4
2020_05_06	    7896	     257	      77	       5
2020_05_07	    7974	     262	      78	       5
2020_05_08	    8031	     270	      57	       8
2020_05_09	    8077	     273	      46	       3
2020_05_10	    8095	     276	      18	       3
2020_05_11	    8123	     280	      28	       4
2020_05_12	    8176	     282	      53	       2
2020_05_13	    8221	     283	      45	       1
2020_05_14	    8269	     290	      48	       7
2020_05_15	    8351	     293	      82	       3
2020_05_16	    8406	     295	      55	       2
2020_05_17	    8455	     296	      49	       1
2020_05_18	    8475	     298	      20	       2
2020_05_19	    8586	     297	     111	      -1
2020_05_20	    8647	     302	      61	       5
2020_05_21	    8721	     304	      74	       2
2020_05_22	    8754	     306	      33	       2
2020_05_23	    8813	     312	      59	       6
2020_05_24	    8890	     314	      77	       2
2020_05_25	    8957	     315	      67	       1
2020_05_26	    9002	     317	      45	       2
2020_05_27	    9050	     317	      48	       0
2020_05_28	    9086	     317	      36	       0
2020_05_29	    9140	     319	      54	       2
2020_05_30	    9196	     319	      56	       0
2020_05_31	    9230	     319	      34	       0
2020_06_01	    9273	     320	      43	       1
2020_06_02	    9302	     321	      29	       1
2020_06_03	    9364	     323	      62	       2
2020_06_04	    9438	     324	      74	       1
2020_06_05	    9494	     326	      56	       2
2020_06_06	    9529	     327	      35	       1
2020_06_07	    9567	     327	      38	       0
2020_06_08	    9628	     327	      61	       0
2020_06_09	    9697	     328	      69	       1
2020_06_10	    9751	     328	      54	       0
2020_06_11	    9824	     330	      73	       2
2020_06_12	    9886	     329	      62	      -1
2020_06_13	    9938	     329	      52	       0
2020_06_14	    9991	     329	      53	       0
2020_06_15	   10024	     329	      33	       0
2020_06_16	   10064	     330	      40	       1
2020_06_17	   10111	     331	      47	       1
2020_06_18	   10162	     333	      51	       2
2020_06_19	   10230	     334	      68	       1
2020_06_20	   10460	     335	     230	       1
2020_06_21	   10448	     336	     -12	       1
2020_06_22	   10498	     336	      50	       0
2020_06_23	   10561	     336	      63	       0
2020_06_24	   10650	     339	      89	       3
2020_06_25	   10777	     343	     127	       4
2020_06_26	   10870	     345	      93	       2
2020_06_27	   11038	     349	     168	       4
2020_06_28	   11298	     347	     260	      -2
2020_06_29	   11603	     348	     305	       1
2020_06_30	   11805	     348	     202	       0
2020_07_01	   11954	     349	     149	       1
2020_07_02	   12046	     349	      92	       0
2020_07_03	   12178	     351	     132	       2
2020_07_04	   12319	     352	     141	       1
2020_07_05	   12440	     351	     121	      -1
2020_07_06	   12515	     348	      75	      -3
2020_07_07	   12566	     350	      51	       2
2020_07_08	   12685	     351	     119	       1
2020_07_09	   12814	     351	     129	       0
2020_07_10	   12919	     352	     105	       1
2020_07_11	   13062	     352	     143	       0
2020_07_12	   13115	     352	      53	       0
2020_07_13	   13174	     352	      59	       0
2020_07_14	   13238	     353	      64	       1
2020_07_15	   13341	     355	     103	       2
2020_07_16	   13475	     355	     134	       0
2020_07_17	   13612	     355	     137	       0
2020_07_18	   13742	     358	     130	       3
2020_07_19	   13855	     358	     113	       0
2020_07_20	   13945	     359	      90	       1
2020_07_21	   14098	     359	     153	       0
2020_07_22	   14324	     360	     226	       1
2020_07_23	   14570	     364	     246	       4
2020_07_24	   14800	     365	     230	       1
2020_07_25	   15081	     369	     281	       4
2020_07_26	   15081	     369	       0	       0
2020_07_27	   15324	     371	     243	       2
2020_07_28	   15516	     373	     192	       2
2020_07_29	   15799	     373	     283	       0
2020_07_30	   16093	     374	     294	       1
2020_07_31	   16342	     379	     249	       5
2020_08_01	   16574	     382	     232	       3
2020_08_02	   16699	     383	     125	       1
2020_08_03	   16800	     384	     101	       1
2020_08_04	   17008	     386	     208	       2
2020_08_05	   17286	     383	     278	      -3
2020_08_06	   17529	     388	     243	       5
2020_08_07	   17740	     390	     211	       2
2020_08_08	   18060	     389	     320	      -1
2020_08_09	   18235	     389	     175	       0
2020_08_10	   18355	     390	     120	       1
2020_08_11	   18494	     389	     139	      -1
2020_08_12	   18783	     391	     289	       2
2020_08_13	   19075	     391	     292	       0
2020_08_14	   19401	     391	     326	       0
2020_08_15	   19693	     394	     292	       3
2020_08_16	   19891	     395	     198	       1
2020_08_17	   20162	     397	     271	       2
2020_08_18	   20433	     399	     271	       2
2020_08_19	   20704	     401	     271	       2
2020_08_20	   20976	     404	     272	       3
2020_08_21	   21247	     406	     271	       2
2020_08_22	   21518	     408	     271	       2
2020_08_23	   21790	     411	     272	       3
2020_08_24	   22119	     412	     329	       1
2020_08_25	   22448	     413	     329	       1
2020_08_26	   22777	     415	     329	       2
2020_08_27	   23106	     416	     329	       1
2020_08_28	   23435	     418	     329	       2
2020_08_29	   23764	     419	     329	       1
2020_08_30	   24094	     421	     330	       2
2020_08_31	   24616	     422	     522	       1
2020_09_01	   25139	     423	     523	       1
2020_09_02	   25661	     425	     522	       2
2020_09_03	   26184	     426	     523	       1
2020_09_04	   26706	     428	     522	       2
2020_09_05	   27229	     429	     523	       1
2020_09_06	   27752	     431	     523	       2
2020_09_07	   28844	     434	    1092	       3
2020_09_08	   29937	     437	    1093	       3
2020_09_09	   31030	     440	    1093	       3
2020_09_10	   32122	     443	    1092	       3
2020_09_11	   33215	     446	    1093	       3
2020_09_12	   34308	     449	    1093	       3
2020_09_13	   35401	     453	    1093	       4
2020_09_14	   37244	     459	    1843	       6
2020_09_15	   39088	     466	    1844	       7
2020_09_16	   40931	     472	    1843	       6
2020_09_17	   42775	     479	    1844	       7
2020_09_18	   44618	     485	    1843	       6
2020_09_19	   46462	     492	    1844	       7
2020_09_20	   48306	     499	    1844	       7
2020_09_21	   50447	     512	    2141	      13
2020_09_22	   52588	     525	    2141	      13
2020_09_23	   54729	     538	    2141	      13
2020_09_24	   56870	     551	    2141	      13
2020_09_25	   59011	     564	    2141	      13
2020_09_26	   61152	     577	    2141	      13
2020_09_27	   63294	     591	    2142	      14
2020_09_28	   65767	     608	    2473	      17
2020_09_29	   68240	     625	    2473	      17
2020_09_30	   70713	     642	    2473	      17
2020_10_01	   73186	     659	    2473	      17
2020_10_02	   75659	     676	    2473	      17
2020_10_03	   78132	     693	    2473	      17
2020_10_04	   80605	     711	    2473	      18
2020_10_05	   84714	     738	    4109	      27
2020_10_06	   88824	     766	    4110	      28
2020_10_07	   92934	     794	    4110	      28
2020_10_08	   97044	     821	    4110	      27
2020_10_09	  101154	     849	    4110	      28
2020_10_10	  105264	     877	    4110	      28
2020_10_11	  109374	     905	    4110	      28
2020_10_12	  118589	     978	    9215	      73
2020_10_13	  127805	    1052	    9216	      74
2020_10_14	  137021	    1126	    9216	      74
2020_10_15	  146237	    1200	    9216	      74
2020_10_16	  155453	    1274	    9216	      74
2020_10_17	  164669	    1348	    9216	      74
2020_10_18	  173885	    1422	    9216	      74
2020_10_19	  187382	    1556	   13497	     134
2020_10_20	  200880	    1691	   13498	     135
2020_10_21	  214378	    1826	   13498	     135
2020_10_22	  227876	    1960	   13498	     134
2020_10_23	  241374	    2095	   13498	     135
2020_10_24	  254872	    2230	   13498	     135
2020_10_25	  268370	    2365	   13498	     135
2020_10_26	  277903	    2491	    9533	     126
2020_10_27	  287436	    2618	    9533	     127
2020_10_28	  296969	    2744	    9533	     126
2020_10_29	  306502	    2871	    9533	     127
2020_10_30	  316035	    2997	    9533	     126
2020_10_31	  325568	    3124	    9533	     127
2020_11_01	  335102	    3251	    9534	     127
2020_11_02	  345976	    3455	   10874	     204
2020_11_03	  356850	    3659	   10874	     204
2020_11_04	  367724	    3863	   10874	     204
2020_11_05	  378598	    4068	   10874	     205
2020_11_06	  389472	    4272	   10874	     204
2020_11_07	  400346	    4476	   10874	     204
2020_11_08	  411220	    4681	   10874	     205
2020_11_09	  417935	    4877	    6715	     196
2020_11_10	  424651	    5074	    6716	     197
2020_11_11	  431366	    5271	    6715	     197
2020_11_12	  438082	    5467	    6716	     196
2020_11_13	  444797	    5664	    6715	     197
2020_11_14	  451513	    5861	    6716	     197
2020_11_15	  458229	    6058	    6716	     197
2020_11_16	  462874	    6206	    4645	     148
2020_11_17	  467520	    6354	    4646	     148
2020_11_18	  472166	    6502	    4646	     148
2020_11_19	  476812	    6650	    4646	     148
2020_11_20	  481458	    6798	    4646	     148
2020_11_21	  486104	    6946	    4646	     148
2020_11_22	  490750	    7095	    4646	     149
2020_11_23	  494735	    7232	    3985	     137
2020_11_24	  498721	    7369	    3986	     137
2020_11_25	  502706	    7506	    3985	     137
2020_11_26	  506692	    7643	    3986	     137
2020_11_27	  510677	    7780	    3985	     137
2020_11_28	  514663	    7917	    3986	     137
2020_11_29	  518649	    8054	    3986	     137
2020_11_30	  522296	    8162	    3647	     108
2020_12_01	  525943	    8271	    3647	     109
2020_12_02	  529590	    8380	    3647	     109
2020_12_03	  533237	    8488	    3647	     108
2020_12_04	  536884	    8597	    3647	     109
2020_12_05	  540531	    8706	    3647	     109
2020_12_06	  544179	    8815	    3648	     109
2020_12_07	  549164	    8917	    4985	     102
2020_12_08	  554150	    9020	    4986	     103
2020_12_09	  559136	    9123	    4986	     103
2020_12_10	  564121	    9226	    4985	     103
2020_12_11	  569107	    9329	    4986	     103
2020_12_12	  574093	    9432	    4986	     103
2020_12_13	  579079	    9535	    4986	     103
2020_12_14	  585516	    9648	    6437	     113
2020_12_15	  591953	    9762	    6437	     114
2020_12_16	  598390	    9876	    6437	     114
2020_12_17	  604828	    9989	    6438	     113
2020_12_18	  611265	   10103	    6437	     114
2020_12_19	  617702	   10217	    6437	     114
2020_12_20	  624140	   10331	    6438	     114
2020_12_21	  630777	   10432	    6637	     101
2020_12_22	  637414	   10534	    6637	     102
2020_12_23	  644051	   10636	    6637	     102
2020_12_24	  650688	   10738	    6637	     102
2020_12_25	  657325	   10840	    6637	     102
2020_12_26	  663962	   10942	    6637	     102
2020_12_27	  670599	   11044	    6637	     102
2020_12_28	  680582	   11174	    9983	     130
2020_12_29	  690565	   11305	    9983	     131
2020_12_30	  700548	   11436	    9983	     131
2020_12_31	  710531	   11567	    9983	     131
2021_01_01	  720514	   11698	    9983	     131
2021_01_02	  730497	   11829	    9983	     131
2021_01_03	  740481	   11960	    9984	     131
2021_01_04	  753435	   12125	   12954	     165
2021_01_05	  766390	   12290	   12955	     165
2021_01_06	  779345	   12455	   12955	     165
2021_01_07	  792300	   12620	   12955	     165
2021_01_08	  805255	   12785	   12955	     165
2021_01_09	  818210	   12950	   12955	     165
2021_01_10	  831165	   13115	   12955	     165
2021_01_11	  839449	   13289	    8284	     174
2021_01_12	  847734	   13464	    8285	     175
2021_01_13	  856019	   13639	    8285	     175
2021_01_14	  864304	   13813	    8285	     174
2021_01_15	  872589	   13988	    8285	     175
2021_01_16	  880874	   14163	    8285	     175
2021_01_17	  889159	   14338	    8285	     175
2021_01_18	  896081	   14485	    6922	     147
2021_01_19	  903004	   14632	    6923	     147
2021_01_20	  909926	   14779	    6922	     147
2021_01_21	  916849	   14927	    6923	     148
2021_01_22	  923771	   15074	    6922	     147
2021_01_23	  930694	   15221	    6923	     147
2021_01_24	  937617	   15369	    6923	     148
2021_01_25	  944353	   15503	    6736	     134
2021_01_26	  951090	   15637	    6737	     134
2021_01_27	  957827	   15771	    6737	     134
2021_01_28	  964563	   15905	    6736	     134
2021_01_29	  971300	   16039	    6737	     134
2021_01_30	  978037	   16173	    6737	     134
2021_01_31	  984774	   16308	    6737	     135
2021_02_01	  991945	   16440	    7171	     132
2021_02_02	  999117	   16572	    7172	     132
2021_02_03	 1006288	   16705	    7171	     133
