#
# COVID-19 Country file (official WHO count)
# Country = Democratic Republic of the Congo
# Latitude = -4.0
# Population = 89505.201
# Territory = 2344858.0
# LEB = 60.7
# DPA = 809000
# DPA65 = 161800
# GDP = 508.0
# GDP_PPP = 868.0
# COVID-19 Mortality = 2.8
# First_Case = 2020_03_11
# First_Death = 2020_03_22
# Last_Case = 2020_03_22
# Last_Death = 2020_03_22
# Status as of 2020_08_23 = Community transmission
#
Date	Conf_Cases	Conf_Deaths
2020_03_11	1	0
2020_03_12	1	0
2020_03_13	1	0
2020_03_14	2	0
2020_03_15	2	0
2020_03_16	2	0
2020_03_17	3	0
2020_03_18	3	0
2020_03_19	7	0
2020_03_20	14	0
2020_03_21	14	0
2020_03_22	23	1
2020_03_23	30	2
2020_03_24	36	2
2020_03_25	45	2
2020_03_26	51	3
2020_03_27	54	4
2020_03_28	58	4
2020_03_29	68	6
2020_03_30	81	8
2020_03_31	98	8
2020_04_01	109	8
2020_04_02	123	11
2020_04_03	134	13
2020_04_04	134	13
2020_04_05	148	16
2020_04_06	161	18
2020_04_07	161	18
2020_04_08	183	20
2020_04_09	207	20
2020_04_10	215	20
2020_04_11	215	20
2020_04_12	223	20
2020_04_13	235	20
2020_04_14	241	20
2020_04_15	254	21
2020_04_16	267	22
2020_04_17	287	23
2020_04_18	287	23
2020_04_19	327	25
2020_04_20	332	25
2020_04_21	350	25
2020_04_22	359	25
2020_04_23	359	25
2020_04_24	394	25
2020_04_25	416	28
2020_04_26	442	28
2020_04_27	459	28
2020_04_28	471	30
2020_04_29	491	30
2020_04_30	500	31
2020_05_01	572	31
2020_05_02	604	32
2020_05_03	674	33
2020_05_04	682	34
2020_05_05	682	34
2020_05_06	705	34
2020_05_07	797	35
2020_05_08	897	36
2020_05_09	937	39
2020_05_10	991	41
2020_05_11	1024	41
2020_05_12	1102	44
2020_05_13	1169	50
2020_05_14	1242	50
2020_05_15	1298	50
2020_05_16	1369	60
2020_05_17	1454	60
2020_05_18	1454	60
2020_05_19	1537	60
2020_05_20	1730	60
2020_05_21	1834	60
2020_05_22	1944	62
2020_05_23	1944	62
2020_05_24	2140	62
2020_05_25	2140	62
2020_05_26	2304	66
2020_05_27	2402	67
2020_05_28	2659	68
2020_05_29	2832	68
2020_05_30	2832	68
2020_05_31	2965	68
2020_06_01	3048	71
2020_06_02	3194	71
2020_06_03	3325	71
2020_06_04	3494	74
2020_06_05	3643	77
2020_06_06	3763	80
2020_06_07	3877	81
2020_06_08	4015	84
2020_06_09	4105	87
2020_06_10	4258	90
2020_06_11	4389	96
2020_06_12	4514	97
2020_06_13	4636	100
2020_06_14	4723	105
2020_06_15	4777	106
2020_06_16	4777	106
2020_06_17	4973	111
2020_06_18	5099	114
2020_06_19	5282	116
2020_06_20	5476	121
2020_06_21	5671	124
2020_06_22	5825	129
2020_06_23	5924	134
2020_06_24	6026	134
2020_06_25	6212	141
2020_06_26	6410	141
2020_06_27	6551	148
2020_06_28	6689	152
2020_06_29	6826	157
2020_06_30	6938	166
2020_07_01	7038	169
2020_07_02	7121	174
2020_07_03	7188	175
2020_07_04	7310	178
2020_07_05	7378	181
2020_07_06	7410	181
2020_07_07	7431	181
2020_07_08	7659	182
2020_07_09	7736	183
2020_07_10	7845	188
2020_07_11	7904	188
2020_07_12	7970	188
2020_07_13	8032	188
2020_07_14	8074	189
2020_07_15	8134	189
2020_07_16	8162	191
2020_07_17	8198	192
2020_07_18	8248	192
2020_07_19	8249	192
2020_07_20	8402	193
2020_07_21	8442	193
2020_07_22	8533	195
2020_07_23	8625	196
2020_07_24	8625	196
2020_07_25	8625	196
2020_07_26	8625	196
2020_07_27	8830	203
2020_07_28	8843	207
2020_07_29	8872	207
2020_07_30	8930	212
2020_07_31	9009	214
2020_08_01	9069	214
2020_08_02	9069	214
2020_08_03	9114	214
2020_08_04	9132	214
2020_08_05	9177	214
2020_08_06	9252	214
2020_08_07	9308	214
2020_08_08	9354	218
2020_08_09	9435	218
2020_08_10	9453	224
2020_08_11	9488	224
2020_08_12	9498	225
2020_08_13	9537	225
2020_08_14	9588	234
2020_08_15	9604	238
2020_08_16	9637	239
2020_08_17	9661	240
2020_08_18	9685	241
2020_08_19	9709	242
2020_08_20	9733	243
2020_08_21	9757	244
2020_08_22	9781	245
2020_08_23	9810	251
