#
# COVID-19 Country file (official WHO count)
# Country = Denmark
# Latitude = 56.0
# Population = 5796.800
# Territory = 43094.0
# LEB = 80.9
# DPA = 57000
# DPA65 = 47880
# GDP = 59559.0
# GDP_PPP = 53649.0
# COVID-19 Mortality = 435.6
# First_Case = 2020_02_27
# Last_Case = 2021_06_13
# First_Death = 2020_03_16
# Last_Death = 2021_06_13
# Status as of 2021_06_13 = Community transmission
# Vaccine type = Moderna, Oxford/AstraZeneca, Pfizer/BioNTech
# Vaccine start = 2020_12_27
#
Date	Conf_Cases	Conf_Deaths	Daily_Cases	Daily_Deaths
2020_02_27	       1	       0	       1	       0
2020_02_28	       1	       0	       0	       0
2020_02_29	       2	       0	       1	       0
2020_03_01	       3	       0	       1	       0
2020_03_02	       4	       0	       1	       0
2020_03_03	       5	       0	       1	       0
2020_03_04	       8	       0	       3	       0
2020_03_05	      10	       0	       2	       0
2020_03_06	      18	       0	       8	       0
2020_03_07	      23	       0	       5	       0
2020_03_08	      31	       0	       8	       0
2020_03_09	      36	       0	       5	       0
2020_03_10	      90	       0	      54	       0
2020_03_11	     262	       0	     172	       0
2020_03_12	     615	       0	     353	       0
2020_03_13	     674	       0	      59	       0
2020_03_14	     801	       0	     127	       0
2020_03_15	     827	       0	      26	       0
2020_03_16	     898	       1	      71	       1
2020_03_17	     960	       4	      62	       3
2020_03_18	     977	       4	      17	       0
2020_03_19	    1044	       4	      67	       0
2020_03_20	    1132	       6	      88	       2
2020_03_21	    1255	       9	     123	       3
2020_03_22	    1326	      13	      71	       4
2020_03_23	    1395	      13	      69	       0
2020_03_24	    1460	      24	      65	      11
2020_03_25	    1591	      32	     131	       8
2020_03_26	    1724	      34	     133	       2
2020_03_27	    1877	      41	     153	       7
2020_03_28	    2046	      52	     169	      11
2020_03_29	    2201	      65	     155	      13
2020_03_30	    2395	      72	     194	       7
2020_03_31	    2577	      77	     182	       5
2020_04_01	    2860	      90	     283	      13
2020_04_02	    3107	     104	     247	      14
2020_04_03	    3386	     123	     279	      19
2020_04_04	    3757	     139	     371	      16
2020_04_05	    4077	     161	     320	      22
2020_04_06	    4369	     179	     292	      18
2020_04_07	    4681	     187	     312	       8
2020_04_08	    5071	     203	     390	      16
2020_04_09	    5402	     218	     331	      15
2020_04_10	    5635	     237	     233	      19
2020_04_11	    5819	     247	     184	      10
2020_04_12	    5996	     260	     177	      13
