#
# COVID-19 Country file (official WHO count)
# Country = Diamond Princess
# Latitude = 36.0
# Population = 3.750
# Territory = 0.0
# LEB = -999.0
# DPA = -999
# DPA65 = -999
# GDP = -999.0
# GDP_PPP = -999.0
# COVID-19 Mortality = 3466.7
# First_Case = 2020_02_06
# First_Death = 2020_02_20
# Last_Case = 2020_02_20
# Last_Death = 2020_02_20
# Status as of 2020_08_16 = Not applicable
#
Date	Conf_Cases	Conf_Deaths
2020_02_06	20	0
2020_02_07	61	0
2020_02_08	64	0
2020_02_09	64	0
2020_02_10	70	0
2020_02_11	135	0
2020_02_12	175	0
2020_02_13	174	0
2020_02_14	218	0
2020_02_15	218	0
2020_02_16	355	0
2020_02_17	454	0
2020_02_18	454	0
2020_02_19	542	0
2020_02_20	621	2
2020_02_21	634	2
2020_02_22	634	2
2020_02_23	634	2
2020_02_24	695	3
2020_02_25	691	3
2020_02_26	691	3
2020_02_27	705	4
2020_02_28	705	4
2020_02_29	705	6
2020_03_01	705	6
2020_03_02	706	6
2020_03_03	706	6
2020_03_04	706	6
2020_03_05	706	6
2020_03_06	696	6
2020_03_07	696	6
2020_03_08	696	7
2020_03_09	696	7
2020_03_10	696	7
2020_03_11	696	7
2020_03_12	696	7
2020_03_13	696	7
2020_03_14	697	7
2020_03_15	697	7
2020_03_16	712	7
2020_03_17	712	7
2020_03_18	712	7
2020_03_19	712	7
2020_03_20	712	7
2020_03_21	712	7
2020_03_22	712	7
2020_03_23	712	7
2020_03_24	712	7
2020_03_25	712	7
2020_03_26	712	7
2020_03_27	712	7
2020_03_28	712	7
2020_03_29	712	7
2020_03_30	712	7
2020_03_31	712	7
2020_04_01	712	7
2020_04_02	712	11
2020_04_03	712	11
2020_04_04	712	11
2020_04_05	712	11
2020_04_06	712	11
2020_04_07	712	11
2020_04_08	712	11
2020_04_09	712	11
2020_04_10	712	11
2020_04_11	712	11
2020_04_12	712	11
2020_04_13	712	12
2020_04_14	712	12
2020_04_15	712	12
2020_04_16	712	12
2020_04_17	712	13
2020_04_18	712	13
2020_04_19	712	13
2020_04_20	712	13
2020_04_21	712	13
2020_04_22	712	13
2020_04_23	712	13
2020_04_24	712	13
2020_04_25	712	13
2020_04_26	712	13
2020_04_27	712	13
2020_04_28	712	13
2020_04_29	712	13
2020_04_30	712	13
2020_05_01	712	13
2020_05_02	712	13
2020_05_03	712	13
2020_05_04	712	13
2020_05_05	712	13
2020_05_06	712	13
2020_05_07	712	13
2020_05_08	712	13
2020_05_09	712	13
2020_05_10	712	13
2020_05_11	712	13
2020_05_12	712	13
2020_05_13	712	13
2020_05_14	712	13
2020_05_15	712	13
2020_05_16	712	13
2020_05_17	712	13
2020_05_18	712	13
2020_05_19	712	13
2020_05_20	712	13
2020_05_21	712	13
2020_05_22	712	13
2020_05_23	712	13
2020_05_24	712	13
2020_05_25	712	13
2020_05_26	741	13
2020_05_27	741	13
2020_05_28	741	13
2020_05_29	741	13
2020_05_30	741	13
2020_05_31	741	13
2020_06_01	741	13
2020_06_02	741	13
2020_06_03	741	13
2020_06_04	741	13
2020_06_05	741	13
2020_06_06	741	13
2020_06_07	741	13
2020_06_08	741	13
2020_06_09	741	13
2020_06_10	741	13
2020_06_11	741	13
2020_06_12	741	13
2020_06_13	741	13
2020_06_14	741	13
2020_06_15	741	13
2020_06_16	741	13
2020_06_17	741	13
2020_06_18	741	13
2020_06_19	741	13
2020_06_20	741	13
2020_06_21	741	13
2020_06_22	741	13
2020_06_23	741	13
2020_06_24	741	13
2020_06_25	741	13
2020_06_26	741	13
2020_06_27	741	13
2020_06_28	741	13
2020_06_29	741	13
2020_06_30	741	13
2020_07_01	741	13
2020_07_02	741	13
2020_07_03	741	13
2020_07_04	741	13
2020_07_05	741	13
2020_07_06	741	13
2020_07_07	741	13
2020_07_08	741	13
2020_07_09	741	13
2020_07_10	741	13
2020_07_11	741	13
2020_07_12	741	13
2020_07_13	741	13
2020_07_14	741	13
2020_07_15	741	13
2020_07_16	741	13
2020_07_17	741	13
2020_07_18	741	13
2020_07_19	741	13
2020_07_20	741	13
2020_07_21	741	13
2020_07_22	741	13
2020_07_23	741	13
2020_07_24	741	13
2020_07_25	741	13
2020_07_26	741	13
2020_07_27	741	13
2020_07_28	741	13
2020_07_29	741	13
2020_07_30	741	13
2020_07_31	741	13
2020_08_01	741	13
2020_08_02	741	13
2020_08_03	741	13
2020_08_04	741	13
2020_08_05	741	13
2020_08_06	741	13
2020_08_07	741	13
2020_08_08	741	13
2020_08_09	741	13
2020_08_10	741	13
2020_08_11	741	13
2020_08_12	741	13
2020_08_13	741	13
2020_08_14	741	13
2020_08_15	741	13
2020_08_16	741	13
