#
# COVID-19 Country file (official WHO count)
# Country = Djibouti
# Latitude = 11.0
# Population = 999.899
# Territory = 23200.0
# LEB = 67.1
# DPA = 7000
# DPA65 = 2520
# GDP = 2649.0
# GDP_PPP = 4728.0
# COVID-19 Mortality = 60.0
# First_Case = 2020_03_19
# First_Death = 2020_04_10
# Last_Case = 2020_04_10
# Last_Death = 2020_04_10
# Status as of 2020_08_23 = Clusters of cases
#
Date	Conf_Cases	Conf_Deaths
2020_03_19	1	0
2020_03_20	1	0
2020_03_21	1	0
2020_03_22	1	0
2020_03_23	1	0
2020_03_24	3	0
2020_03_25	3	0
2020_03_26	12	0
2020_03_27	12	0
2020_03_28	13	0
2020_03_29	15	0
2020_03_30	19	0
2020_03_31	26	0
2020_04_01	31	0
2020_04_02	34	0
2020_04_03	41	0
2020_04_04	50	0
2020_04_05	51	0
2020_04_06	59	0
2020_04_07	90	0
2020_04_08	121	0
2020_04_09	135	0
2020_04_10	140	1
2020_04_11	150	1
2020_04_12	187	2
2020_04_13	215	2
2020_04_14	298	2
2020_04_15	363	2
2020_04_16	435	2
2020_04_17	591	2
2020_04_18	732	2
2020_04_19	732	2
2020_04_20	846	2
2020_04_21	846	2
2020_04_22	945	2
2020_04_23	974	2
2020_04_24	986	2
2020_04_25	999	2
2020_04_26	1008	2
2020_04_27	1023	2
2020_04_28	1035	2
2020_04_29	1072	2
2020_04_30	1077	2
2020_05_01	1089	2
2020_05_02	1097	2
2020_05_03	1112	2
2020_05_04	1112	2
2020_05_05	1116	2
2020_05_06	1120	2
2020_05_07	1124	3
2020_05_08	1133	3
2020_05_09	1135	3
2020_05_10	1189	3
2020_05_11	1210	3
2020_05_12	1227	3
2020_05_13	1256	3
2020_05_14	1268	3
2020_05_15	1284	3
2020_05_16	1309	4
2020_05_17	1331	4
2020_05_18	1401	4
2020_05_19	1518	7
2020_05_20	1618	7
2020_05_21	1828	9
2020_05_22	2047	10
2020_05_23	2270	10
2020_05_24	2270	10
2020_05_25	2270	10
2020_05_26	2468	14
2020_05_27	2468	14
2020_05_28	2697	18
2020_05_29	2914	20
2020_05_30	2914	20
2020_05_31	3194	22
2020_06_01	3354	24
2020_06_02	3569	24
2020_06_03	3779	25
2020_06_04	3935	26
2020_06_05	4054	26
2020_06_06	4123	26
2020_06_07	4169	26
2020_06_08	4207	28
2020_06_09	4278	31
2020_06_10	4331	34
2020_06_11	4373	34
2020_06_12	4398	37
2020_06_13	4441	38
2020_06_14	4449	41
2020_06_15	4465	43
2020_06_16	4501	43
2020_06_17	4539	43
2020_06_18	4545	43
2020_06_19	4557	43
2020_06_20	4565	45
2020_06_21	4565	45
2020_06_22	4582	45
2020_06_23	4599	48
2020_06_24	4617	49
2020_06_25	4630	52
2020_06_26	4635	52
2020_06_27	4643	52
2020_06_28	4643	52
2020_06_29	4643	52
2020_06_30	4656	53
2020_07_01	4682	54
2020_07_02	4704	55
2020_07_03	4715	55
2020_07_04	4736	55
2020_07_05	4736	55
2020_07_06	4792	55
2020_07_07	4822	55
2020_07_08	4878	55
2020_07_09	4889	55
2020_07_10	4955	56
2020_07_11	4968	56
2020_07_12	4968	56
2020_07_13	4972	56
2020_07_14	4977	56
2020_07_15	4979	56
2020_07_16	4985	56
2020_07_17	4993	56
2020_07_18	5003	56
2020_07_19	5003	56
2020_07_20	5011	56
2020_07_21	5020	56
2020_07_22	5027	56
2020_07_23	5030	58
2020_07_24	5031	58
2020_07_25	5039	58
2020_07_26	5039	58
2020_07_27	5050	58
2020_07_28	5059	58
2020_07_29	5068	58
2020_07_30	5081	58
2020_07_31	5081	58
2020_08_01	5081	58
2020_08_02	5081	58
2020_08_03	5161	59
2020_08_04	5240	59
2020_08_05	5248	59
2020_08_06	5330	59
2020_08_07	5334	59
2020_08_08	5338	59
2020_08_09	5338	59
2020_08_10	5344	59
2020_08_11	5347	59
2020_08_12	5348	59
2020_08_13	5358	59
2020_08_14	5358	59
2020_08_15	5367	59
2020_08_16	5367	59
2020_08_17	5369	59
2020_08_18	5371	59
2020_08_19	5373	59
2020_08_20	5375	59
2020_08_21	5377	59
2020_08_22	5379	59
2020_08_23	5382	60
