#
# COVID-19 Country file (official WHO count)
# Country = Dominican Republic
# Latitude = 18.0
# Population = 11108.358
# Territory = 48671.0
# LEB = 74.1
# DPA = 66000
# DPA65 = 32340
# GDP = 7911.0
# GDP_PPP = 18458.0
# COVID-19 Mortality = 139.9
# First_Case = 2020_03_02
# First_Death = 2020_03_17
# Last_Case = 2020_03_17
# Last_Death = 2020_03_17
# Status as of 2020_08_23 = Community transmission
#
Date	Conf_Cases	Conf_Deaths
2020_03_02	1	0
2020_03_03	1	0
2020_03_04	1	0
2020_03_05	1	0
2020_03_06	1	0
2020_03_07	1	0
2020_03_08	1	0
2020_03_09	1	0
2020_03_10	5	0
2020_03_11	5	0
2020_03_12	5	0
2020_03_13	5	0
2020_03_14	5	0
2020_03_15	5	0
2020_03_16	5	0
2020_03_17	21	1
2020_03_18	21	1
2020_03_19	21	1
2020_03_20	34	2
2020_03_21	72	2
2020_03_22	72	2
2020_03_23	72	2
2020_03_24	245	3
2020_03_25	312	6
2020_03_26	392	10
2020_03_27	488	10
2020_03_28	581	20
2020_03_29	581	20
2020_03_30	581	20
2020_03_31	901	42
2020_04_01	1109	51
2020_04_02	1284	57
2020_04_03	1380	60
2020_04_04	1488	68
2020_04_05	1488	68
2020_04_06	1488	68
2020_04_07	1828	86
2020_04_08	1956	98
2020_04_09	1956	98
2020_04_10	2349	118
2020_04_11	2349	118
2020_04_12	2620	126
2020_04_13	2967	173
2020_04_14	3167	177
2020_04_15	3286	183
2020_04_16	3614	189
2020_04_17	3755	196
2020_04_18	4126	200
2020_04_19	4335	217
2020_04_20	4680	226
2020_04_21	4964	235
2020_04_22	5044	245
2020_04_23	5300	260
2020_04_24	5543	265
2020_04_25	5749	267
2020_04_26	5926	273
2020_04_27	6135	278
2020_04_28	6293	282
2020_04_29	6416	286
2020_04_30	6652	293
2020_05_01	6972	301
2020_05_02	7288	313
2020_05_03	7578	326
2020_05_04	7954	333
2020_05_05	8235	346
2020_05_06	8480	354
2020_05_07	8807	362
2020_05_08	9095	373
2020_05_09	9376	380
2020_05_10	9882	385
2020_05_11	10347	388
2020_05_12	10634	393
2020_05_13	10900	402
2020_05_14	11196	409
2020_05_15	11320	422
2020_05_16	11739	424
2020_05_17	12110	428
2020_05_18	12314	428
2020_05_19	12725	434
2020_05_20	13223	441
2020_05_21	13477	446
2020_05_22	13657	448
2020_05_23	13989	456
2020_05_24	14422	458
2020_05_25	14801	458
2020_05_26	15073	460
2020_05_27	15264	468
2020_05_28	15723	474
2020_05_29	16068	485
2020_05_30	16531	488
2020_05_31	16908	498
2020_06_01	17285	502
2020_06_02	17572	502
2020_06_03	17752	515
2020_06_04	18040	516
2020_06_05	18319	520
2020_06_06	18708	525
2020_06_07	19195	536
2020_06_08	19600	538
2020_06_09	20126	539
2020_06_10	20415	544
2020_06_11	20808	550
2020_06_12	21437	561
2020_06_13	22008	568
2020_06_14	22572	577
2020_06_15	22962	592
2020_06_16	23271	605
2020_06_17	23686	615
2020_06_18	24105	633
2020_06_19	24645	635
2020_06_20	25068	647
2020_06_21	25778	655
2020_06_22	26677	662
2020_06_23	27370	669
2020_06_24	27936	675
2020_06_25	28631	691
2020_06_26	29141	698
2020_06_27	29764	712
2020_06_28	30619	718
2020_06_29	31373	726
2020_06_30	31816	733
2020_07_01	32568	747
2020_07_02	33387	754
2020_07_03	34197	765
2020_07_04	35148	775
2020_07_05	36184	786
2020_07_06	37425	794
2020_07_07	38128	804
2020_07_08	38430	821
2020_07_09	39588	829
2020_07_10	40790	842
2020_07_11	41915	864
2020_07_12	43114	880
2020_07_13	44532	897
2020_07_14	45506	903
2020_07_15	46305	910
2020_07_16	47671	929
2020_07_17	48743	941
2020_07_18	50113	942
2020_07_19	51519	971
2020_07_20	52855	981
2020_07_21	53956	993
2020_07_22	54797	999
2020_07_23	56043	1005
2020_07_24	57615	1006
2020_07_25	59077	1036
2020_07_26	59077	1036
2020_07_27	62908	1063
2020_07_28	64156	1083
2020_07_29	64690	1101
2020_07_30	66182	1123
2020_07_31	67915	1146
2020_08_01	69649	1160
2020_08_02	71415	1170
2020_08_03	72243	1178
2020_08_04	73117	1183
2020_08_05	74295	1213
2020_08_06	75660	1222
2020_08_07	76536	1246
2020_08_08	77709	1259
2020_08_09	78778	1289
2020_08_10	79732	1309
2020_08_11	80499	1328
2020_08_12	81094	1346
2020_08_13	82224	1371
2020_08_14	83134	1393
2020_08_15	84488	1409
2020_08_16	85545	1438
2020_08_17	86261	1454
2020_08_18	86977	1470
2020_08_19	87693	1486
2020_08_20	88409	1502
2020_08_21	89125	1518
2020_08_22	89841	1534
2020_08_23	90561	1554
