#
# COVID-19 Country file (official WHO count)
# Country = Egypt
# Latitude = 30.0
# Population = 102941.484
# Territory = 1002450.0
# LEB = 72.0
# DPA = 580000
# DPA65 = 319000
# GDP = 2532.0
# GDP_PPP = 13404.0
# COVID-19 Mortality = 151.4
# First_Case = 2020_02_15
# Last_Case = 2021_06_13
# First_Death = 2020_03_09
# Last_Death = 2021_06_13
# Status as of 2021_06_13 = Clusters of cases
# Vaccine type = Sinopharm/Beijing
# Vaccine start = NA
#
Date	Conf_Cases	Conf_Deaths	Daily_Cases	Daily_Deaths
2020_02_15	       1	       0	       1	       0
2020_02_16	       1	       0	       0	       0
2020_02_17	       1	       0	       0	       0
2020_02_18	       1	       0	       0	       0
2020_02_19	       1	       0	       0	       0
2020_02_20	       1	       0	       0	       0
2020_02_21	       1	       0	       0	       0
2020_02_22	       1	       0	       0	       0
2020_02_23	       1	       0	       0	       0
2020_02_24	       1	       0	       0	       0
2020_02_25	       1	       0	       0	       0
2020_02_26	       1	       0	       0	       0
2020_02_27	       1	       0	       0	       0
2020_02_28	       1	       0	       0	       0
2020_02_29	       1	       0	       0	       0
2020_03_01	       1	       0	       0	       0
2020_03_02	       2	       0	       1	       0
2020_03_03	       2	       0	       0	       0
2020_03_04	       2	       0	       0	       0
2020_03_05	       2	       0	       0	       0
2020_03_06	       3	       0	       1	       0
2020_03_07	       3	       0	       0	       0
2020_03_08	      48	       0	      45	       0
2020_03_09	      55	       1	       7	       1
2020_03_10	      59	       1	       4	       0
2020_03_11	      59	       1	       0	       0
2020_03_12	      67	       1	       8	       0
2020_03_13	      67	       1	       0	       0
2020_03_14	      93	       2	      26	       1
2020_03_15	      93	       2	       0	       0
2020_03_16	     126	       2	      33	       0
2020_03_17	     166	       4	      40	       2
2020_03_18	     166	       4	       0	       0
2020_03_19	     196	       6	      30	       2
2020_03_20	     210	       6	      14	       0
2020_03_21	     256	       7	      46	       1
2020_03_22	     285	       8	      29	       1
2020_03_23	     327	      14	      42	       6
2020_03_24	     366	      19	      39	       5
2020_03_25	     402	      20	      36	       1
2020_03_26	     456	      21	      54	       1
2020_03_27	     495	      24	      39	       3
2020_03_28	     536	      30	      41	       6
2020_03_29	     576	      36	      40	       6
2020_03_30	     609	      40	      33	       4
2020_03_31	     656	      41	      47	       1
2020_04_01	     710	      46	      54	       5
2020_04_02	     779	      52	      69	       6
2020_04_03	     865	      58	      86	       6
2020_04_04	     985	      66	     120	       8
2020_04_05	    1070	      71	      85	       5
2020_04_06	    1173	      78	     103	       7
2020_04_07	    1322	      85	     149	       7
2020_04_08	    1450	      94	     128	       9
2020_04_09	    1560	     103	     110	       9
2020_04_10	    1699	     118	     139	      15
2020_04_11	    1794	     135	      95	      17
2020_04_12	    1939	     146	     145	      11
2020_04_13	    2065	     159	     126	      13
2020_04_14	    2190	     164	     125	       5
2020_04_15	    2350	     178	     160	      14
2020_04_16	    2505	     183	     155	       5
2020_04_17	    2673	     196	     168	      13
2020_04_18	    2844	     205	     171	       9
2020_04_19	    3032	     224	     188	      19
2020_04_20	    3144	     239	     112	      15
2020_04_21	    3333	     250	     189	      11
2020_04_22	    3490	     264	     157	      14
2020_04_23	    3659	     276	     169	      12
2020_04_24	    3891	     287	     232	      11
2020_04_25	    4092	     294	     201	       7
2020_04_26	    4319	     307	     227	      13
2020_04_27	    4534	     317	     215	      10
2020_04_28	    4782	     337	     248	      20
2020_04_29	    5042	     359	     260	      22
2020_04_30	    5268	     380	     226	      21
2020_05_01	    5537	     392	     269	      12
2020_05_02	    5895	     406	     358	      14
2020_05_03	    6193	     415	     298	       9
2020_05_04	    6465	     429	     272	      14
2020_05_05	    6813	     436	     348	       7
2020_05_06	    7201	     452	     388	      16
2020_05_07	    7588	     469	     387	      17
2020_05_08	    7981	     482	     393	      13
2020_05_09	    8476	     503	     495	      21
2020_05_10	    8964	     514	     488	      11
2020_05_11	    9400	     525	     436	      11
2020_05_12	    9746	     533	     346	       8
2020_05_13	   10093	     544	     347	      11
2020_05_14	   10431	     556	     338	      12
2020_05_15	   10829	     571	     398	      15
2020_05_16	   11228	     592	     399	      21
