#
# COVID-19 Country file (official WHO count)
# Country = Equatorial Guinea
# Latitude = 4.0
# Population = 1406.280
# Territory = 28051.0
# LEB = 58.7
# DPA = 12000
# DPA65 = 2280
# GDP = 9680.0
# GDP_PPP = 25868.0
# COVID-19 Mortality = 85.3
# First_Case = 2020_03_15
# Last_Case = 2021_06_13
# First_Death = 2020_04_23
# Last_Death = 2021_06_13
# Status as of 2021_06_13 = Community transmission
# Vaccine type = Sinopharm/Beijing
# Vaccine start = 2021_03_16
#
Date	Conf_Cases	Conf_Deaths	Daily_Cases	Daily_Deaths
2020_03_15	       1	       0	       1	       0
2020_03_16	       1	       0	       0	       0
2020_03_17	       1	       0	       0	       0
2020_03_18	       1	       0	       0	       0
2020_03_19	       3	       0	       2	       0
2020_03_20	       4	       0	       1	       0
2020_03_21	       4	       0	       0	       0
2020_03_22	       6	       0	       2	       0
2020_03_23	       6	       0	       0	       0
2020_03_24	       6	       0	       0	       0
2020_03_25	       6	       0	       0	       0
2020_03_26	       6	       0	       0	       0
2020_03_27	       6	       0	       0	       0
2020_03_28	       6	       0	       0	       0
2020_03_29	       6	       0	       0	       0
2020_03_30	      13	       0	       7	       0
2020_03_31	      14	       0	       1	       0
2020_04_01	      14	       0	       0	       0
2020_04_02	      14	       0	       0	       0
2020_04_03	      15	       0	       1	       0
2020_04_04	      15	       0	       0	       0
2020_04_05	      16	       0	       1	       0
2020_04_06	      16	       0	       0	       0
2020_04_07	      16	       0	       0	       0
2020_04_08	      16	       0	       0	       0
2020_04_09	      16	       0	       0	       0
2020_04_10	      18	       0	       2	       0
2020_04_11	      18	       0	       0	       0
2020_04_12	      18	       0	       0	       0
2020_04_13	      18	       0	       0	       0
2020_04_14	      21	       0	       3	       0
2020_04_15	      41	       0	      20	       0
2020_04_16	      51	       0	      10	       0
2020_04_17	      51	       0	       0	       0
2020_04_18	      51	       0	       0	       0
2020_04_19	      79	       0	      28	       0
2020_04_20	      79	       0	       0	       0
2020_04_21	      79	       0	       0	       0
2020_04_22	      79	       0	       0	       0
2020_04_23	      84	       1	       5	       1
2020_04_24	      84	       1	       0	       0
2020_04_25	     212	       1	     128	       0
2020_04_26	     258	       1	      46	       0
2020_04_27	     258	       1	       0	       0
2020_04_28	     258	       1	       0	       0
2020_04_29	     315	       1	      57	       0
2020_04_30	     315	       1	       0	       0
2020_05_01	     315	       2	       0	       1
2020_05_02	     315	       2	       0	       0
2020_05_03	     315	       2	       0	       0
2020_05_04	     315	       2	       0	       0
2020_05_05	     315	       2	       0	       0
2020_05_06	     439	       4	     124	       2
2020_05_07	     439	       4	       0	       0
2020_05_08	     439	       4	       0	       0
2020_05_09	     439	       4	       0	       0
2020_05_10	     439	       4	       0	       0
2020_05_11	     439	       4	       0	       0
2020_05_12	     439	       4	       0	       0
2020_05_13	     522	       6	      83	       2
2020_05_14	     583	       7	      61	       1
2020_05_15	     594	       7	      11	       0
2020_05_16	     594	       7	       0	       0
2020_05_17	     690	       7	      96	       0
2020_05_18	     719	       7	      29	       0
2020_05_19	     825	       7	     106	       0
2020_05_20	     890	       7	      65	       0
2020_05_21	     903	      10	      13	       3
2020_05_22	     960	      11	      57	       1
2020_05_23	     960	      11	       0	       0
2020_05_24	    1043	      12	      83	       1
2020_05_25	    1043	      12	       0	       0
2020_05_26	    1043	      12	       0	       0
2020_05_27	    1043	      12	       0	       0
2020_05_28	    1043	      12	       0	       0
2020_05_29	    1043	      12	       0	       0
2020_05_30	    1043	      12	       0	       0
2020_05_31	    1043	      12	       0	       0
2020_06_01	    1043	      12	       0	       0
2020_06_02	    1043	      12	       0	       0
2020_06_03	    1043	      12	       0	       0
2020_06_04	    1043	      12	       0	       0
2020_06_05	    1043	      12	       0	       0
2020_06_06	    1043	      12	       0	       0
2020_06_07	    1043	      12	       0	       0
2020_06_08	    1043	      12	       0	       0
2020_06_09	    1043	      12	       0	       0
2020_06_10	    1043	      12	       0	       0
2020_06_11	    1043	      12	       0	       0
2020_06_12	    1043	      12	       0	       0
2020_06_13	    1043	      12	       0	       0
2020_06_14	    1043	      12	       0	       0
2020_06_15	    1043	      12	       0	       0
2020_06_16	    1043	      12	       0	       0
2020_06_17	    1043	      12	       0	       0
2020_06_18	    1043	      12	       0	       0
2020_06_19	    1043	      12	       0	       0
2020_06_20	    1043	      12	       0	       0
2020_06_21	    1043	      12	       0	       0
2020_06_22	    1043	      12	       0	       0
2020_06_23	    1043	      12	       0	       0
2020_06_24	    1043	      12	       0	       0
2020_06_25	    1043	      12	       0	       0
2020_06_26	    1043	      12	       0	       0
2020_06_27	    1043	      12	       0	       0
2020_06_28	    1043	      12	       0	       0
2020_06_29	    1043	      12	       0	       0
2020_06_30	    1043	      12	       0	       0
2020_07_01	    1043	      12	       0	       0
2020_07_02	    1043	      12	       0	       0
2020_07_03	    1043	      12	       0	       0
2020_07_04	    1043	      12	       0	       0
