#
# COVID-19 Country file (official WHO count)
# Country = Estonia
# Latitude = 59.0
# Population = 1300.559
# Territory = 45227.0
# LEB = 78.7
# DPA = 16000
# DPA65 = 12800
# GDP = 22527.0
# GDP_PPP = 35027.0
# COVID-19 Mortality = 973.4
# First_Case = 2020_02_27
# Last_Case = 2021_06_13
# First_Death = 2020_03_26
# Last_Death = 2021_06_13
# Status as of 2021_06_13 = Clusters of cases
# Vaccine type = Moderna, Oxford/AstraZeneca, Pfizer/BioNTech
# Vaccine start = 2021_01_28
#
Date	Conf_Cases	Conf_Deaths	Daily_Cases	Daily_Deaths
2020_02_27	       1	       0	       1	       0
2020_02_28	       1	       0	       0	       0
2020_02_29	       1	       0	       0	       0
2020_03_01	       1	       0	       0	       0
2020_03_02	       1	       0	       0	       0
2020_03_03	       1	       0	       0	       0
2020_03_04	       2	       0	       1	       0
2020_03_05	       2	       0	       0	       0
2020_03_06	       3	       0	       1	       0
2020_03_07	      10	       0	       7	       0
2020_03_08	      10	       0	       0	       0
2020_03_09	      10	       0	       0	       0
2020_03_10	      10	       0	       0	       0
2020_03_11	      13	       0	       3	       0
2020_03_12	      13	       0	       0	       0
2020_03_13	      13	       0	       0	       0
2020_03_14	      79	       0	      66	       0
2020_03_15	      79	       0	       0	       0
2020_03_16	     205	       0	     126	       0
2020_03_17	     205	       0	       0	       0
2020_03_18	     225	       0	      20	       0
2020_03_19	     258	       0	      33	       0
2020_03_20	     267	       0	       9	       0
2020_03_21	     283	       0	      16	       0
2020_03_22	     306	       0	      23	       0
2020_03_23	     326	       0	      20	       0
2020_03_24	     352	       0	      26	       0
2020_03_25	     369	       0	      17	       0
2020_03_26	     404	       1	      35	       1
2020_03_27	     538	       1	     134	       0
2020_03_28	     575	       1	      37	       0
2020_03_29	     640	       1	      65	       0
2020_03_30	     679	       3	      39	       2
2020_03_31	     715	       3	      36	       0
2020_04_01	     745	       4	      30	       1
2020_04_02	     779	       5	      34	       1
2020_04_03	     858	      11	      79	       6
2020_04_04	     961	      12	     103	       1
2020_04_05	    1018	      13	      57	       1
2020_04_06	    1097	      15	      79	       2
2020_04_07	    1108	      19	      11	       4
2020_04_08	    1149	      21	      41	       2
2020_04_09	    1185	      24	      36	       3
2020_04_10	    1207	      24	      22	       0
2020_04_11	    1258	      24	      51	       0
2020_04_12	    1304	      24	      46	       0
2020_04_13	    1309	      25	       5	       1
