#
# COVID-19 Country file (official WHO count)
# Country = Eswatini
# Latitude = -26.0
# Population = 1439.295
# Territory = 17364.0
# LEB = 60.2
# DPA = 10000
# DPA65 = 2900
# GDP = 3849.0
# GDP_PPP = 10559.0
# COVID-19 Mortality = 469.7
# First_Case = 2020_03_15
# Last_Case = 2021_06_13
# First_Death = 2020_04_17
# Last_Death = 2021_06_13
# Status as of 2021_06_13 = Community transmission
# Vaccine type = Unknown
# Vaccine start = NA
#
Date	Conf_Cases	Conf_Deaths	Daily_Cases	Daily_Deaths
2020_03_15	       1	       0	       1	       0
2020_03_16	       1	       0	       0	       0
2020_03_17	       1	       0	       0	       0
2020_03_18	       1	       0	       0	       0
2020_03_19	       1	       0	       0	       0
2020_03_20	       1	       0	       0	       0
2020_03_21	       1	       0	       0	       0
2020_03_22	       1	       0	       0	       0
2020_03_23	       4	       0	       3	       0
2020_03_24	       4	       0	       0	       0
2020_03_25	       4	       0	       0	       0
2020_03_26	       4	       0	       0	       0
2020_03_27	       6	       0	       2	       0
2020_03_28	       9	       0	       3	       0
2020_03_29	       9	       0	       0	       0
2020_03_30	       9	       0	       0	       0
2020_03_31	       9	       0	       0	       0
2020_04_01	       9	       0	       0	       0
2020_04_02	       9	       0	       0	       0
2020_04_03	       9	       0	       0	       0
2020_04_04	       9	       0	       0	       0
2020_04_05	       9	       0	       0	       0
2020_04_06	       9	       0	       0	       0
2020_04_07	       9	       0	       0	       0
2020_04_08	      10	       0	       1	       0
2020_04_09	      12	       0	       2	       0
2020_04_10	      12	       0	       0	       0
2020_04_11	      12	       0	       0	       0
2020_04_12	      12	       0	       0	       0
2020_04_13	      14	       0	       2	       0
2020_04_14	      14	       0	       0	       0
2020_04_15	      15	       0	       1	       0
2020_04_16	      16	       0	       1	       0
2020_04_17	      16	       1	       0	       1
2020_04_18	      19	       1	       3	       0
2020_04_19	      22	       1	       3	       0
2020_04_20	      22	       1	       0	       0
2020_04_21	      24	       1	       2	       0
2020_04_22	      24	       1	       0	       0
2020_04_23	      31	       1	       7	       0
2020_04_24	      31	       1	       0	       0
2020_04_25	      40	       1	       9	       0
2020_04_26	      56	       1	      16	       0
2020_04_27	      59	       1	       3	       0
2020_04_28	      65	       1	       6	       0
2020_04_29	      71	       1	       6	       0
2020_04_30	      91	       1	      20	       0
2020_05_01	     100	       1	       9	       0
2020_05_02	     106	       1	       6	       0
2020_05_03	     108	       1	       2	       0
2020_05_04	     112	       1	       4	       0
2020_05_05	     116	       1	       4	       0
2020_05_06	     119	       1	       3	       0
2020_05_07	     123	       2	       4	       1
2020_05_08	     153	       2	      30	       0
2020_05_09	     159	       2	       6	       0
2020_05_10	     163	       2	       4	       0
2020_05_11	     172	       2	       9	       0
2020_05_12	     175	       2	       3	       0
2020_05_13	     184	       2	       9	       0
2020_05_14	     187	       2	       3	       0
2020_05_15	     187	       2	       0	       0
2020_05_16	     190	       2	       3	       0
2020_05_17	     202	       2	      12	       0
2020_05_18	     203	       2	       1	       0
2020_05_19	     205	       2	       2	       0
2020_05_20	     208	       2	       3	       0
2020_05_21	     217	       2	       9	       0
2020_05_22	     220	       2	       3	       0
2020_05_23	     225	       2	       5	       0
2020_05_24	     238	       2	      13	       0
2020_05_25	     250	       2	      12	       0
2020_05_26	     256	       2	       6	       0
2020_05_27	     261	       2	       5	       0
2020_05_28	     272	       2	      11	       0
2020_05_29	     279	       2	       7	       0
2020_05_30	     279	       2	       0	       0
2020_05_31	     283	       2	       4	       0
2020_06_01	     285	       2	       2	       0
2020_06_02	     293	       3	       8	       1
2020_06_03	     294	       3	       1	       0
2020_06_04	     295	       3	       1	       0
2020_06_05	     300	       3	       5	       0
2020_06_06	     305	       3	       5	       0
2020_06_07	     322	       3	      17	       0
2020_06_08	     333	       3	      11	       0
2020_06_09	     340	       3	       7	       0
2020_06_10	     371	       3	      31	       0
2020_06_11	     398	       3	      27	       0
2020_06_12	     449	       3	      51	       0
2020_06_13	     472	       3	      23	       0
2020_06_14	     486	       3	      14	       0
2020_06_15	     490	       4	       4	       1
2020_06_16	     506	       4	      16	       0
2020_06_17	     520	       4	      14	       0
2020_06_18	     563	       4	      43	       0
2020_06_19	     586	       4	      23	       0
2020_06_20	     623	       4	      37	       0
2020_06_21	     627	       5	       4	       1
2020_06_22	     635	       5	       8	       0
2020_06_23	     643	       6	       8	       1
2020_06_24	     674	       7	      31	       1
2020_06_25	     690	       7	      16	       0
2020_06_26	     706	       8	      16	       1
2020_06_27	     731	       8	      25	       0
2020_06_28	     745	       8	      14	       0
2020_06_29	     781	      11	      36	       3
2020_06_30	     795	      11	      14	       0
2020_07_01	     812	      11	      17	       0
2020_07_02	     840	      11	      28	       0
2020_07_03	     873	      11	      33	       0
2020_07_04	     909	      13	      36	       2
2020_07_05	     954	      13	      45	       0
2020_07_06	     988	      13	      34	       0
2020_07_07	    1011	      13	      23	       0
