#
# COVID-19 Country file (official WHO count)
# Country = Ethiopia
# Latitude = 9.0
# Population = 112759.070
# Territory = 1104300.0
# LEB = 66.6
# DPA = 721000
# DPA65 = 216300
# GDP = 815.0
# GDP_PPP = 2275.0
# COVID-19 Mortality = 5.9
# First_Case = 2020_03_14
# First_Death = 2020_04_06
# Last_Case = 2020_04_06
# Last_Death = 2020_04_06
# Status as of 2020_08_23 = Community transmission
#
Date	Conf_Cases	Conf_Deaths
2020_03_14	1	0
2020_03_15	1	0
2020_03_16	1	0
2020_03_17	5	0
2020_03_18	5	0
2020_03_19	6	0
2020_03_20	9	0
2020_03_21	9	0
2020_03_22	9	0
2020_03_23	11	0
2020_03_24	11	0
2020_03_25	12	0
2020_03_26	12	0
2020_03_27	12	0
2020_03_28	16	0
2020_03_29	16	0
2020_03_30	21	0
2020_03_31	23	0
2020_04_01	26	0
2020_04_02	26	0
2020_04_03	31	0
2020_04_04	35	0
2020_04_05	38	0
2020_04_06	43	1
2020_04_07	43	1
2020_04_08	52	1
2020_04_09	55	2
2020_04_10	56	2
2020_04_11	65	2
2020_04_12	69	3
2020_04_13	71	3
2020_04_14	74	3
2020_04_15	82	3
2020_04_16	85	3
2020_04_17	92	3
2020_04_18	96	3
2020_04_19	105	3
2020_04_20	108	3
2020_04_21	111	3
2020_04_22	114	3
2020_04_23	116	3
2020_04_24	116	3
2020_04_25	117	3
2020_04_26	122	3
2020_04_27	123	3
2020_04_28	124	3
2020_04_29	126	3
2020_04_30	130	3
2020_05_01	131	3
2020_05_02	133	3
2020_05_03	133	3
2020_05_04	135	3
2020_05_05	140	3
2020_05_06	145	4
2020_05_07	162	4
2020_05_08	191	4
2020_05_09	194	4
2020_05_10	210	5
2020_05_11	239	5
2020_05_12	250	5
2020_05_13	261	5
2020_05_14	263	5
2020_05_15	272	5
2020_05_16	287	5
2020_05_17	306	5
2020_05_18	317	5
2020_05_19	352	5
2020_05_20	365	5
2020_05_21	389	5
2020_05_22	399	5
2020_05_23	433	5
2020_05_24	494	5
2020_05_25	582	5
2020_05_26	655	5
2020_05_27	701	6
2020_05_28	731	6
2020_05_29	831	7
2020_05_30	968	8
2020_05_31	1063	8
2020_06_01	1172	11
2020_06_02	1257	12
2020_06_03	1344	14
2020_06_04	1486	17
2020_06_05	1636	18
2020_06_06	1805	19
2020_06_07	1934	20
2020_06_08	2020	27
2020_06_09	2156	27
2020_06_10	2336	32
2020_06_11	2506	35
2020_06_12	2670	40
2020_06_13	2915	47
2020_06_14	3166	55
2020_06_15	3345	57
2020_06_16	3521	60
2020_06_17	3630	61
2020_06_18	3759	63
2020_06_19	3954	65
2020_06_20	4070	72
2020_06_21	4469	72
2020_06_22	4532	74
2020_06_23	4663	75
2020_06_24	4848	75
2020_06_25	5034	78
2020_06_26	5175	81
2020_06_27	5425	89
2020_06_28	5570	94
2020_06_29	5689	98
2020_06_30	5846	103
2020_07_01	5846	103
2020_07_02	6048	107
2020_07_03	6163	109
2020_07_04	6217	114
2020_07_05	6386	116
2020_07_06	6386	116
2020_07_07	6666	119
2020_07_08	6774	120
2020_07_09	6973	120
2020_07_10	7120	124
2020_07_11	7402	124
2020_07_12	7560	127
2020_07_13	7766	128
2020_07_14	7969	139
2020_07_15	8181	146
2020_07_16	8475	148
2020_07_17	8803	150
2020_07_18	9147	163
2020_07_19	9503	167
2020_07_20	10207	170
2020_07_21	10511	173
2020_07_22	11072	180
2020_07_23	11524	188
2020_07_24	11933	197
2020_07_25	12693	200
2020_07_26	12693	200
2020_07_27	13968	223
2020_07_28	14547	228
2020_07_29	15200	239
2020_07_30	15810	253
2020_07_31	16615	263
2020_08_01	17530	274
2020_08_02	17999	284
2020_08_03	18706	310
2020_08_04	19289	336
2020_08_05	19875	343
2020_08_06	20336	356
2020_08_07	20900	365
2020_08_08	21452	380
2020_08_09	22253	390
2020_08_10	22818	407
2020_08_11	23591	420
2020_08_12	24175	440
2020_08_13	25136	463
2020_08_14	26204	479
2020_08_15	27242	492
2020_08_16	28894	509
2020_08_17	30342	530
2020_08_18	31790	551
2020_08_19	33238	572
2020_08_20	34686	593
2020_08_21	36134	614
2020_08_22	37582	635
2020_08_23	39033	662
