#
# COVID-19 Country file (official WHO count)
# Country = Faroe Islands
# Latitude = 62.0
# Population = 49.896
# Territory = 1393.0
# LEB = -999.0
# DPA = -999
# DPA65 = -999
# GDP = 55823.0
# GDP_PPP = 40000.0
# COVID-19 Mortality = 20.0
# First_Case = 2020_03_08
# Last_Case = 2021_06_13
# First_Death = 2021_01_10
# Last_Death = 2021_01_10
# Status as of 2021_06_13 = Sporadic cases
# Vaccine type = Unknown
# Vaccine start = NA
#
Date	Conf_Cases	Conf_Deaths	Daily_Cases	Daily_Deaths
2020_03_08	       1	       0	       1	       0
2020_03_09	       2	       0	       1	       0
2020_03_10	       2	       0	       0	       0
2020_03_11	       2	       0	       0	       0
2020_03_12	       2	       0	       0	       0
2020_03_13	       2	       0	       0	       0
2020_03_14	       3	       0	       1	       0
2020_03_15	       9	       0	       6	       0
2020_03_16	      11	       0	       2	       0
2020_03_17	      47	       0	      36	       0
2020_03_18	      47	       0	       0	       0
2020_03_19	      58	       0	      11	       0
2020_03_20	      72	       0	      14	       0
2020_03_21	      80	       0	       8	       0
2020_03_22	      92	       0	      12	       0
2020_03_23	     115	       0	      23	       0
2020_03_24	     118	       0	       3	       0
2020_03_25	     122	       0	       4	       0
2020_03_26	     132	       0	      10	       0
2020_03_27	     140	       0	       8	       0
2020_03_28	     144	       0	       4	       0
2020_03_29	     155	       0	      11	       0
2020_03_30	     159	       0	       4	       0
2020_03_31	     168	       0	       9	       0
2020_04_01	     169	       0	       1	       0
2020_04_02	     173	       0	       4	       0
2020_04_03	     177	       0	       4	       0
2020_04_04	     179	       0	       2	       0
2020_04_05	     181	       0	       2	       0
2020_04_06	     181	       0	       0	       0
2020_04_07	     181	       0	       0	       0
2020_04_08	     184	       0	       3	       0
2020_04_09	     184	       0	       0	       0
2020_04_10	     184	       0	       0	       0
2020_04_11	     184	       0	       0	       0
2020_04_12	     184	       0	       0	       0
2020_04_13	     184	       0	       0	       0
2020_04_14	     184	       0	       0	       0
2020_04_15	     184	       0	       0	       0
