#
# COVID-19 Country file (official WHO count)
# Country = Finland
# Latitude = 60.0
# Population = 5580.127
# Territory = 338424.0
# LEB = 81.9
# DPA = 54000
# DPA65 = 45360
# GDP = 48230.0
# GDP_PPP = 47322.0
# COVID-19 Mortality = 59.9
# First_Case = 2020_01_30
# First_Death = 2020_03_22
# Last_Case = 2020_03_22
# Last_Death = 2020_03_22
# Status as of 2020_08_23 = Community transmission
#
Date	Conf_Cases	Conf_Deaths
2020_01_30	1	0
2020_01_31	1	0
2020_02_01	1	0
2020_02_02	1	0
2020_02_03	1	0
2020_02_04	1	0
2020_02_05	1	0
2020_02_06	1	0
2020_02_07	1	0
2020_02_08	1	0
2020_02_09	1	0
2020_02_10	1	0
2020_02_11	1	0
2020_02_12	1	0
2020_02_13	1	0
2020_02_14	1	0
2020_02_15	1	0
2020_02_16	1	0
2020_02_17	1	0
2020_02_18	1	0
2020_02_19	1	0
2020_02_20	1	0
2020_02_21	1	0
2020_02_22	1	0
2020_02_23	1	0
2020_02_24	1	0
2020_02_25	1	0
2020_02_26	1	0
2020_02_27	2	0
2020_02_28	2	0
2020_02_29	2	0
2020_03_01	2	0
2020_03_02	6	0
2020_03_03	7	0
2020_03_04	7	0
2020_03_05	7	0
2020_03_06	12	0
2020_03_07	19	0
2020_03_08	19	0
2020_03_09	30	0
2020_03_10	40	0
2020_03_11	40	0
2020_03_12	40	0
2020_03_13	109	0
2020_03_14	109	0
2020_03_15	210	0
2020_03_16	267	0
2020_03_17	272	0
2020_03_18	319	0
2020_03_19	359	0
2020_03_20	369	0
2020_03_21	450	0
2020_03_22	521	1
2020_03_23	626	1
2020_03_24	700	1
2020_03_25	792	1
2020_03_26	880	3
2020_03_27	958	4
2020_03_28	1025	7
2020_03_29	1218	9
2020_03_30	1218	11
2020_03_31	1313	13
2020_04_01	1384	17
2020_04_02	1446	17
2020_04_03	1518	19
2020_04_04	1615	20
2020_04_05	1882	25
2020_04_06	1927	28
2020_04_07	2176	28
2020_04_08	2308	34
2020_04_09	2487	40
2020_04_10	2605	42
2020_04_11	2769	48
2020_04_12	2905	49
2020_04_13	2974	56
2020_04_14	3064	59
2020_04_15	3161	64
2020_04_16	3237	72
2020_04_17	3369	75
2020_04_18	3489	82
2020_04_19	3681	90
2020_04_20	3783	94
2020_04_21	3868	98
2020_04_22	4014	141
2020_04_23	4129	149
2020_04_24	4284	172
2020_04_25	4395	177
2020_04_26	4475	186
2020_04_27	4576	190
2020_04_28	4695	193
2020_04_29	4740	199
2020_04_30	4906	206
2020_05_01	4995	211
2020_05_02	5051	218
2020_05_03	5179	220
2020_05_04	5254	230
2020_05_05	5327	240
2020_05_06	5412	246
2020_05_07	5573	252
2020_05_08	5673	255
2020_05_09	5738	260
2020_05_10	5880	265
2020_05_11	5962	267
2020_05_12	5984	271
2020_05_13	6003	275
2020_05_14	6054	284
2020_05_15	6145	287
2020_05_16	6228	293
2020_05_17	6286	297
2020_05_18	6347	298
2020_05_19	6380	300
2020_05_20	6399	301
2020_05_21	6443	304
2020_05_22	6493	306
2020_05_23	6537	306
2020_05_24	6568	306
2020_05_25	6579	307
2020_05_26	6599	308
2020_05_27	6628	312
2020_05_28	6692	313
2020_05_29	6743	313
2020_05_30	6776	314
2020_05_31	6826	316
2020_06_01	6859	320
2020_06_02	6885	320
2020_06_03	6887	320
2020_06_04	6911	321
2020_06_05	6911	322
2020_06_06	6941	322
2020_06_07	6964	322
2020_06_08	6981	323
2020_06_09	7001	323
2020_06_10	7025	324
2020_06_11	7040	324
2020_06_12	7064	325
2020_06_13	7073	325
2020_06_14	7087	325
2020_06_15	7104	326
2020_06_16	7108	326
2020_06_17	7112	326
2020_06_18	7117	326
2020_06_19	7117	326
2020_06_20	7133	326
2020_06_21	7142	326
2020_06_22	7143	326
2020_06_23	7144	327
2020_06_24	7155	327
2020_06_25	7167	327
2020_06_26	7172	327
2020_06_27	7191	328
2020_06_28	7191	328
2020_06_29	7191	328
2020_06_30	7209	328
2020_07_01	7214	328
2020_07_02	7236	328
2020_07_03	7241	328
2020_07_04	7242	329
2020_07_05	7248	329
2020_07_06	7253	329
2020_07_07	7257	329
2020_07_08	7262	329
2020_07_09	7265	329
2020_07_10	7273	329
2020_07_11	7279	329
2020_07_12	7279	329
2020_07_13	7294	329
2020_07_14	7295	329
2020_07_15	7301	329
2020_07_16	7296	328
2020_07_17	7293	328
2020_07_18	7301	328
2020_07_19	7318	328
2020_07_20	7338	328
2020_07_21	7340	328
2020_07_22	7351	328
2020_07_23	7362	328
2020_07_24	7372	328
2020_07_25	7380	329
2020_07_26	7380	329
2020_07_27	7393	329
2020_07_28	7398	329
2020_07_29	7404	329
2020_07_30	7414	329
2020_07_31	7423	329
2020_08_01	7432	329
2020_08_02	7443	329
2020_08_03	7453	329
2020_08_04	7466	329
2020_08_05	7483	331
2020_08_06	7512	331
2020_08_07	7532	331
2020_08_08	7554	331
2020_08_09	7568	331
2020_08_10	7584	331
2020_08_11	7601	333
2020_08_12	7623	333
2020_08_13	7642	333
2020_08_14	7683	333
2020_08_15	7700	333
2020_08_16	7720	333
2020_08_17	7741	333
2020_08_18	7762	333
2020_08_19	7783	333
2020_08_20	7804	333
2020_08_21	7825	333
2020_08_22	7846	333
2020_08_23	7871	334
