#
# COVID-19 Country file (official WHO count)
# Country = French Guiana
# Latitude = 5.0
# Population = 303.982
# Territory = 83534.0
# LEB = 80.0
# DPA = 1000
# DPA65 = 600
# GDP = -999.0
# GDP_PPP = -999.0
# COVID-19 Mortality = 437.5
# First_Case = 2020_03_08
# Last_Case = 2021_06_13
# First_Death = 2020_04_21
# Last_Death = 2021_06_13
# Status as of 2021_06_13 = Community transmission
# Vaccine type = Unknown
# Vaccine start = NA
#
Date	Conf_Cases	Conf_Deaths	Daily_Cases	Daily_Deaths
2020_03_08	       5	       0	       5	       0
2020_03_09	       5	       0	       0	       0
2020_03_10	       5	       0	       0	       0
2020_03_11	       5	       0	       0	       0
2020_03_12	       5	       0	       0	       0
2020_03_13	       6	       0	       1	       0
2020_03_14	       6	       0	       0	       0
2020_03_15	       7	       0	       1	       0
2020_03_16	       7	       0	       0	       0
2020_03_17	       7	       0	       0	       0
2020_03_18	       7	       0	       0	       0
2020_03_19	      11	       0	       4	       0
2020_03_20	      15	       0	       4	       0
2020_03_21	      15	       0	       0	       0
2020_03_22	      15	       0	       0	       0
2020_03_23	      18	       0	       3	       0
2020_03_24	      20	       0	       2	       0
2020_03_25	      23	       0	       3	       0
2020_03_26	      28	       0	       5	       0
2020_03_27	      28	       0	       0	       0
2020_03_28	      31	       0	       3	       0
2020_03_29	      31	       0	       0	       0
2020_03_30	      31	       0	       0	       0
2020_03_31	      43	       0	      12	       0
2020_04_01	      46	       0	       3	       0
2020_04_02	      51	       0	       5	       0
2020_04_03	      55	       0	       4	       0
2020_04_04	      57	       0	       2	       0
2020_04_05	      62	       0	       5	       0
2020_04_06	      66	       0	       4	       0
2020_04_07	      68	       0	       2	       0
2020_04_08	      72	       0	       4	       0
2020_04_09	      77	       0	       5	       0
2020_04_10	      83	       0	       6	       0
2020_04_11	      84	       0	       1	       0
2020_04_12	      86	       0	       2	       0
2020_04_13	      86	       0	       0	       0
2020_04_14	      88	       0	       2	       0
2020_04_15	      88	       0	       0	       0
2020_04_16	      95	       0	       7	       0
2020_04_17	      96	       0	       1	       0
2020_04_18	      96	       0	       0	       0
2020_04_19	      96	       0	       0	       0
2020_04_20	      96	       0	       0	       0
2020_04_21	      97	       1	       1	       1
2020_04_22	      97	       1	       0	       0
2020_04_23	      97	       1	       0	       0
2020_04_24	     107	       1	      10	       0
2020_04_25	     109	       1	       2	       0
2020_04_26	     109	       1	       0	       0
2020_04_27	     109	       1	       0	       0
2020_04_28	     111	       1	       2	       0
2020_04_29	     124	       1	      13	       0
2020_04_30	     125	       1	       1	       0
2020_05_01	     126	       1	       1	       0
2020_05_02	     128	       1	       2	       0
2020_05_03	     128	       1	       0	       0
2020_05_04	     128	       1	       0	       0
2020_05_05	     133	       1	       5	       0
2020_05_06	     133	       1	       0	       0
2020_05_07	     138	       1	       5	       0
2020_05_08	     138	       1	       0	       0
2020_05_09	     141	       1	       3	       0
2020_05_10	     141	       1	       0	       0
2020_05_11	     144	       1	       3	       0
2020_05_12	     144	       1	       0	       0
2020_05_13	     146	       1	       2	       0
2020_05_14	     153	       1	       7	       0
2020_05_15	     164	       1	      11	       0
2020_05_16	     184	       1	      20	       0
2020_05_17	     189	       1	       5	       0
2020_05_18	     197	       1	       8	       0
2020_05_19	     197	       1	       0	       0
2020_05_20	     210	       1	      13	       0
2020_05_21	     218	       1	       8	       0
2020_05_22	     237	       1	      19	       0
2020_05_23	     249	       1	      12	       0
2020_05_24	     261	       1	      12	       0
2020_05_25	     279	       1	      18	       0
2020_05_26	     328	       1	      49	       0
2020_05_27	     353	       1	      25	       0
2020_05_28	     384	       1	      31	       0
2020_05_29	     409	       1	      25	       0
2020_05_30	     436	       1	      27	       0
2020_05_31	     436	       1	       0	       0
2020_06_01	     477	       1	      41	       0
2020_06_02	     499	       1	      22	       0
2020_06_03	     517	       1	      18	       0
2020_06_04	     533	       1	      16	       0
2020_06_05	     556	       1	      23	       0
2020_06_06	     589	       1	      33	       0
2020_06_07	     639	       1	      50	       0
2020_06_08	     689	       1	      50	       0
2020_06_09	     729	       2	      40	       1
2020_06_10	     773	       2	      44	       0
2020_06_11	     865	       2	      92	       0
2020_06_12	     917	       2	      52	       0
2020_06_13	    1043	       2	     126	       0
2020_06_14	    1161	       2	     118	       0
2020_06_15	    1255	       3	      94	       1
2020_06_16	    1326	       3	      71	       0
2020_06_17	    1421	       5	      95	       2
2020_06_18	    1554	       5	     133	       0
2020_06_19	    1758	       5	     204	       0
2020_06_20	    1969	       5	     211	       0
2020_06_21	    2163	       5	     194	       0
2020_06_22	    2441	       6	     278	       1
2020_06_23	    2458	       8	      17	       2
2020_06_24	    2593	       8	     135	       0
2020_06_25	    2827	       9	     234	       1
2020_06_26	    3033	      10	     206	       1
2020_06_27	    3270	      11	     237	       1
2020_06_28	    3461	      12	     191	       1
2020_06_29	    3461	      12	       0	       0
2020_06_30	    3774	      15	     313	       3
2020_07_01	    4004	      15	     230	       0
2020_07_02	    4268	      16	     264	       1
2020_07_03	    4444	      16	     176	       0
2020_07_04	    4558	      16	     114	       0
2020_07_05	    4913	      16	     355	       0
2020_07_06	    4913	      16	       0	       0
2020_07_07	    5054	      20	     141	       4
2020_07_08	    5178	      21	     124	       1
2020_07_09	    5459	      22	     281	       1
2020_07_10	    5558	      22	      99	       0
2020_07_11	    5704	      23	     146	       1
2020_07_12	    5949	      26	     245	       3
2020_07_13	    5949	      26	       0	       0
2020_07_14	    6170	      29	     221	       3
2020_07_15	    6229	      31	      59	       2
2020_07_16	    6299	      33	      70	       2
2020_07_17	    6393	      34	      94	       1
2020_07_18	    6509	      34	     116	       0
2020_07_19	    6655	      37	     146	       3
2020_07_20	    6655	      37	       0	       0
2020_07_21	    6745	      38	      90	       1
2020_07_22	    6851	      39	     106	       1
