#
# COVID-19 Country file (official WHO count)
# Country = French Polynesia
# Latitude = -18.0
# Population = 290.744
# Territory = 4167.0
# LEB = 77.7
# DPA = 2000
# DPA65 = 1320
# GDP = 17066.0
# GDP_PPP = 17000.0
# COVID-19 Mortality = 0.0
# First_Case = 2020_03_12
# Last_Case = 2020_08_23
# Status as of 2020_08_23 = Sporadic cases
#
Date	Conf_Cases	Conf_Deaths
2020_03_12	1	0
2020_03_13	1	0
2020_03_14	1	0
2020_03_15	3	0
2020_03_16	3	0
2020_03_17	3	0
2020_03_18	3	0
2020_03_19	3	0
2020_03_20	11	0
2020_03_21	11	0
2020_03_22	15	0
2020_03_23	17	0
2020_03_24	18	0
2020_03_25	25	0
2020_03_26	25	0
2020_03_27	30	0
2020_03_28	30	0
2020_03_29	34	0
2020_03_30	35	0
2020_03_31	36	0
2020_04_01	37	0
2020_04_02	37	0
2020_04_03	37	0
2020_04_04	39	0
2020_04_05	40	0
2020_04_06	41	0
2020_04_07	42	0
2020_04_08	47	0
2020_04_09	51	0
2020_04_10	51	0
2020_04_11	51	0
2020_04_12	51	0
2020_04_13	53	0
2020_04_14	55	0
2020_04_15	55	0
2020_04_16	55	0
2020_04_17	55	0
2020_04_18	55	0
2020_04_19	55	0
2020_04_20	55	0
2020_04_21	56	0
2020_04_22	57	0
2020_04_23	57	0
2020_04_24	57	0
2020_04_25	57	0
2020_04_26	57	0
2020_04_27	57	0
2020_04_28	58	0
2020_04_29	58	0
2020_04_30	58	0
2020_05_01	58	0
2020_05_02	58	0
2020_05_03	58	0
2020_05_04	58	0
2020_05_05	58	0
2020_05_06	60	0
2020_05_07	60	0
2020_05_08	60	0
2020_05_09	60	0
2020_05_10	60	0
2020_05_11	60	0
2020_05_12	60	0
2020_05_13	60	0
2020_05_14	60	0
2020_05_15	60	0
2020_05_16	60	0
2020_05_17	60	0
2020_05_18	60	0
2020_05_19	60	0
2020_05_20	60	0
2020_05_21	60	0
2020_05_22	60	0
2020_05_23	89	0
2020_05_24	89	0
2020_05_25	89	0
2020_05_26	60	0
2020_05_27	60	0
2020_05_28	60	0
2020_05_29	60	0
2020_05_30	60	0
2020_05_31	60	0
2020_06_01	60	0
2020_06_02	60	0
2020_06_03	60	0
2020_06_04	60	0
2020_06_05	60	0
2020_06_06	60	0
2020_06_07	60	0
2020_06_08	60	0
2020_06_09	60	0
2020_06_10	60	0
2020_06_11	60	0
2020_06_12	60	0
2020_06_13	60	0
2020_06_14	60	0
2020_06_15	60	0
2020_06_16	60	0
2020_06_17	60	0
2020_06_18	60	0
2020_06_19	60	0
2020_06_20	60	0
2020_06_21	60	0
2020_06_22	60	0
2020_06_23	60	0
2020_06_24	60	0
2020_06_25	60	0
2020_06_26	60	0
2020_06_27	60	0
2020_06_28	62	0
2020_06_29	62	0
2020_06_30	62	0
2020_07_01	62	0
2020_07_02	62	0
2020_07_03	62	0
2020_07_04	62	0
2020_07_05	62	0
2020_07_06	62	0
2020_07_07	62	0
2020_07_08	62	0
2020_07_09	62	0
2020_07_10	62	0
2020_07_11	62	0
2020_07_12	62	0
2020_07_13	62	0
2020_07_14	62	0
2020_07_15	62	0
2020_07_16	62	0
2020_07_17	62	0
2020_07_18	62	0
2020_07_19	62	0
2020_07_20	62	0
2020_07_21	62	0
2020_07_22	62	0
2020_07_23	62	0
2020_07_24	62	0
2020_07_25	62	0
2020_07_26	62	0
2020_07_27	62	0
2020_07_28	62	0
2020_07_29	62	0
2020_07_30	62	0
2020_07_31	62	0
2020_08_01	62	0
2020_08_02	62	0
2020_08_03	62	0
2020_08_04	62	0
2020_08_05	64	0
2020_08_06	64	0
2020_08_07	64	0
2020_08_08	69	0
2020_08_09	69	0
2020_08_10	69	0
2020_08_11	69	0
2020_08_12	112	0
2020_08_13	139	0
2020_08_14	139	0
2020_08_15	166	0
2020_08_16	166	0
2020_08_17	184	0
2020_08_18	202	0
2020_08_19	220	0
2020_08_20	238	0
2020_08_21	256	0
2020_08_22	274	0
2020_08_23	298	0
