#
# COVID-19 Country file (official WHO count)
# Country = Gabon
# Latitude = 0.0
# Population = 2151.289
# Territory = 267668.0
# LEB = 66.5
# DPA = 15000
# DPA65 = 5250
# GDP = 7762.0
# GDP_PPP = 19005.0
# COVID-19 Mortality = 72.5
# First_Case = 2020_03_14
# Last_Case = 2021_06_13
# First_Death = 2020_03_21
# Last_Death = 2021_06_13
# Status as of 2021_06_13 = Community transmission
# Vaccine type = Unknown
# Vaccine start = NA
#
Date	Conf_Cases	Conf_Deaths	Daily_Cases	Daily_Deaths
2020_03_14	       1	       0	       1	       0
2020_03_15	       1	       0	       0	       0
2020_03_16	       1	       0	       0	       0
2020_03_17	       1	       0	       0	       0
2020_03_18	       1	       0	       0	       0
2020_03_19	       3	       0	       2	       0
2020_03_20	       3	       0	       0	       0
2020_03_21	       3	       1	       0	       1
2020_03_22	       3	       1	       0	       0
2020_03_23	       6	       1	       3	       0
2020_03_24	       6	       1	       0	       0
2020_03_25	       6	       1	       0	       0
2020_03_26	       6	       1	       0	       0
2020_03_27	       6	       1	       0	       0
2020_03_28	       7	       1	       1	       0
2020_03_29	       7	       1	       0	       0
2020_03_30	       7	       1	       0	       0
2020_03_31	       7	       1	       0	       0
2020_04_01	       7	       1	       0	       0
2020_04_02	       7	       1	       0	       0
2020_04_03	      18	       1	      11	       0
2020_04_04	      21	       1	       3	       0
2020_04_05	      21	       1	       0	       0
2020_04_06	      21	       1	       0	       0
2020_04_07	      21	       1	       0	       0
2020_04_08	      24	       1	       3	       0
2020_04_09	      24	       1	       0	       0
2020_04_10	      44	       1	      20	       0
2020_04_11	      44	       1	       0	       0
2020_04_12	      49	       1	       5	       0
2020_04_13	      57	       1	       8	       0
2020_04_14	      57	       1	       0	       0
2020_04_15	      80	       1	      23	       0
2020_04_16	      87	       1	       7	       0
2020_04_17	      95	       1	       8	       0
2020_04_18	      95	       1	       0	       0
2020_04_19	     108	       1	      13	       0
2020_04_20	     109	       1	       1	       0
2020_04_21	     120	       1	      11	       0
2020_04_22	     156	       1	      36	       0
2020_04_23	     166	       1	      10	       0
2020_04_24	     166	       2	       0	       1
2020_04_25	     172	       3	       6	       1
2020_04_26	     176	       3	       4	       0
2020_04_27	     176	       3	       0	       0
2020_04_28	     176	       3	       0	       0
2020_04_29	     238	       3	      62	       0
2020_04_30	     276	       3	      38	       0
2020_05_01	     276	       3	       0	       0
2020_05_02	     308	       4	      32	       1
2020_05_03	     335	       5	      27	       1
2020_05_04	     335	       5	       0	       0
2020_05_05	     367	       6	      32	       1
2020_05_06	     397	       6	      30	       0
2020_05_07	     397	       6	       0	       0
2020_05_08	     504	       8	     107	       2
2020_05_09	     620	       8	     116	       0
2020_05_10	     661	       8	      41	       0
2020_05_11	     661	       8	       0	       0
2020_05_12	     802	       9	     141	       1
2020_05_13	     863	       9	      61	       0
2020_05_14	    1004	       9	     141	       0
2020_05_15	    1104	      10	     100	       1
2020_05_16	    1209	      10	     105	       0
2020_05_17	    1320	      11	     111	       1
2020_05_18	    1320	      11	       0	       0
2020_05_19	    1432	      11	     112	       0
2020_05_20	    1502	      12	      70	       1
2020_05_21	    1567	      12	      65	       0
2020_05_22	    1567	      12	       0	       0
2020_05_23	    1728	      12	     161	       0
2020_05_24	    1934	      12	     206	       0
2020_05_25	    1934	      12	       0	       0
2020_05_26	    2135	      14	     201	       2
2020_05_27	    2238	      14	     103	       0
2020_05_28	    2319	      14	      81	       0
2020_05_29	    2431	      14	     112	       0
2020_05_30	    2613	      15	     182	       1
2020_05_31	    2613	      15	       0	       0
2020_06_01	    2655	      17	      42	       2
2020_06_02	    2655	      17	       0	       0
2020_06_03	    2803	      20	     148	       3
