#
# COVID-19 Country file (official WHO count)
# Country = Georgia
# Latitude = 42.0
# Population = 3898.529
# Territory = 69700.0
# LEB = 73.8
# DPA = 51000
# DPA65 = 37740
# GDP = 4294.0
# GDP_PPP = 11935.0
# COVID-19 Mortality = 1294.8
# First_Case = 2020_02_27
# Last_Case = 2021_06_13
# First_Death = 2020_04_05
# Last_Death = 2021_06_13
# Status as of 2021_06_13 = Community transmission
# Vaccine type = Unknown
# Vaccine start = NA
#
Date	Conf_Cases	Conf_Deaths	Daily_Cases	Daily_Deaths
2020_02_27	       1	       0	       1	       0
2020_02_28	       1	       0	       0	       0
2020_02_29	       2	       0	       1	       0
2020_03_01	       3	       0	       1	       0
2020_03_02	       3	       0	       0	       0
2020_03_03	       3	       0	       0	       0
2020_03_04	       3	       0	       0	       0
2020_03_05	       3	       0	       0	       0
2020_03_06	       9	       0	       6	       0
2020_03_07	       9	       0	       0	       0
2020_03_08	      12	       0	       3	       0
2020_03_09	      13	       0	       1	       0
2020_03_10	      15	       0	       2	       0
2020_03_11	      23	       0	       8	       0
2020_03_12	      23	       0	       0	       0
2020_03_13	      25	       0	       2	       0
2020_03_14	      25	       0	       0	       0
2020_03_15	      30	       0	       5	       0
2020_03_16	      33	       0	       3	       0
2020_03_17	      33	       0	       0	       0
2020_03_18	      34	       0	       1	       0
2020_03_19	      38	       0	       4	       0
2020_03_20	      38	       0	       0	       0
2020_03_21	      43	       0	       5	       0
2020_03_22	      49	       0	       6	       0
2020_03_23	      54	       0	       5	       0
2020_03_24	      67	       0	      13	       0
2020_03_25	      73	       0	       6	       0
2020_03_26	      77	       0	       4	       0
2020_03_27	      81	       0	       4	       0
2020_03_28	      85	       0	       4	       0
2020_03_29	      90	       0	       5	       0
2020_03_30	      98	       0	       8	       0
2020_03_31	     103	       0	       5	       0
2020_04_01	     115	       0	      12	       0
2020_04_02	     121	       0	       6	       0
2020_04_03	     148	       0	      27	       0
2020_04_04	     157	       0	       9	       0
2020_04_05	     170	       1	      13	       1
2020_04_06	     188	       2	      18	       1
2020_04_07	     195	       2	       7	       0
2020_04_08	     208	       3	      13	       1
2020_04_09	     214	       3	       6	       0
2020_04_10	     230	       3	      16	       0
2020_04_11	     233	       3	       3	       0
2020_04_12	     252	       3	      19	       0
2020_04_13	     266	       3	      14	       0
2020_04_14	     296	       3	      30	       0
2020_04_15	     306	       3	      10	       0
