#
# COVID-19 Country file (official WHO count)
# Country = Germany
# Latitude = 53.0
# Population = 82540.450
# Territory = 357114.0
# LEB = 81.3
# DPA = 944000
# DPA65 = 802400
# GDP = 46381.0
# GDP_PPP = 52860.0
# COVID-19 Mortality = 1088.4
# First_Case = 2020_01_28
# Last_Case = 2021_06_13
# First_Death = 2020_03_10
# Last_Death = 2021_06_13
# Status as of 2021_06_13 = Community transmission
# Vaccine type = Moderna, Oxford/AstraZeneca, Pfizer/BioNTech
# Vaccine start = 2020_12_27
#
Date	Conf_Cases	Conf_Deaths	Daily_Cases	Daily_Deaths
2020_01_28	       1	       0	       1	       0
2020_01_29	       4	       0	       3	       0
2020_01_30	       4	       0	       0	       0
2020_01_31	       5	       0	       1	       0
2020_02_01	       7	       0	       2	       0
2020_02_02	       8	       0	       1	       0
2020_02_03	      10	       0	       2	       0
2020_02_04	      12	       0	       2	       0
2020_02_05	      12	       0	       0	       0
2020_02_06	      12	       0	       0	       0
2020_02_07	      13	       0	       1	       0
2020_02_08	      14	       0	       1	       0
2020_02_09	      14	       0	       0	       0
2020_02_10	      14	       0	       0	       0
2020_02_11	      14	       0	       0	       0
2020_02_12	      16	       0	       2	       0
2020_02_13	      16	       0	       0	       0
2020_02_14	      16	       0	       0	       0
2020_02_15	      16	       0	       0	       0
2020_02_16	      16	       0	       0	       0
2020_02_17	      16	       0	       0	       0
2020_02_18	      16	       0	       0	       0
2020_02_19	      16	       0	       0	       0
2020_02_20	      16	       0	       0	       0
2020_02_21	      16	       0	       0	       0
2020_02_22	      16	       0	       0	       0
2020_02_23	      16	       0	       0	       0
2020_02_24	      16	       0	       0	       0
2020_02_25	      16	       0	       0	       0
2020_02_26	      18	       0	       2	       0
2020_02_27	      21	       0	       3	       0
2020_02_28	      26	       0	       5	       0
2020_02_29	      57	       0	      31	       0
2020_03_01	      57	       0	       0	       0
2020_03_02	     129	       0	      72	       0
2020_03_03	     157	       0	      28	       0
2020_03_04	     196	       0	      39	       0
2020_03_05	     262	       0	      66	       0
2020_03_06	     534	       0	     272	       0
2020_03_07	     639	       0	     105	       0
2020_03_08	     795	       0	     156	       0
2020_03_09	    1112	       0	     317	       0
2020_03_10	    1139	       2	      27	       2
2020_03_11	    1296	       2	     157	       0
2020_03_12	    1567	       3	     271	       1
2020_03_13	    2369	       6	     802	       3
2020_03_14	    3062	       6	     693	       0
2020_03_15	    3795	       8	     733	       2
