#
# COVID-19 Country file (official WHO count)
# Country = Guadeloupe
# Latitude = 16.0
# Population = 448.427
# Territory = 1628.0
# LEB = 82.1
# DPA = 3000
# DPA65 = 2370
# GDP = -999.0
# GDP_PPP = -999.0
# COVID-19 Mortality = 591.0
# First_Case = 2020_03_14
# Last_Case = 2021_06_13
# First_Death = 2020_03_28
# Last_Death = 2021_06_13
# Status as of 2021_06_13 = Community transmission
# Vaccine type = Unknown
# Vaccine start = NA
#
Date	Conf_Cases	Conf_Deaths	Daily_Cases	Daily_Deaths
2020_03_14	       1	       0	       1	       0
2020_03_15	       3	       0	       2	       0
2020_03_16	       6	       0	       3	       0
2020_03_17	      18	       0	      12	       0
2020_03_18	      18	       0	       0	       0
2020_03_19	      33	       0	      15	       0
2020_03_20	      45	       0	      12	       0
2020_03_21	      51	       0	       6	       0
2020_03_22	      51	       0	       0	       0
2020_03_23	      56	       0	       5	       0
2020_03_24	      62	       0	       6	       0
2020_03_25	      73	       0	      11	       0
2020_03_26	      76	       0	       3	       0
2020_03_27	      76	       0	       0	       0
2020_03_28	      96	       2	      20	       2
2020_03_29	      96	       2	       0	       0
2020_03_30	      96	       2	       0	       0
2020_03_31	     106	       4	      10	       2
2020_04_01	     114	       5	       8	       1
2020_04_02	     125	       6	      11	       1
2020_04_03	     128	       6	       3	       0
2020_04_04	     130	       7	       2	       1
2020_04_05	     130	       7	       0	       0
2020_04_06	     134	       7	       4	       0
2020_04_07	     135	       7	       1	       0
2020_04_08	     139	       7	       4	       0
2020_04_09	     139	       8	       0	       1
2020_04_10	     141	       8	       2	       0
2020_04_11	     143	       8	       2	       0
2020_04_12	     143	       8	       0	       0
2020_04_13	     143	       8	       0	       0
2020_04_14	     143	       8	       0	       0
2020_04_15	     145	       8	       2	       0
2020_04_16	     145	       8	       0	       0
2020_04_17	     145	       8	       0	       0
2020_04_18	     145	       8	       0	       0
2020_04_19	     145	      11	       0	       3
2020_04_20	     148	      11	       3	       0
2020_04_21	     148	      11	       0	       0
2020_04_22	     148	      12	       0	       1
2020_04_23	     148	      12	       0	       0
2020_04_24	     148	      12	       0	       0
2020_04_25	     149	      12	       1	       0
2020_04_26	     149	      12	       0	       0
2020_04_27	     149	      13	       0	       1
2020_04_28	     149	      10	       0	      -3
2020_04_29	     149	      11	       0	       1
2020_04_30	     151	      11	       2	       0
2020_05_01	     152	      12	       1	       1
2020_05_02	     152	      12	       0	       0
2020_05_03	     152	      12	       0	       0
2020_05_04	     152	      12	       0	       0
2020_05_05	     152	      12	       0	       0
2020_05_06	     152	      13	       0	       1
2020_05_07	     153	      13	       1	       0
2020_05_08	     153	      13	       0	       0
2020_05_09	     154	      13	       1	       0
2020_05_10	     154	      13	       0	       0
2020_05_11	     154	      13	       0	       0
2020_05_12	     154	      13	       0	       0
2020_05_13	     155	      13	       1	       0
2020_05_14	     155	      13	       0	       0
2020_05_15	     155	      13	       0	       0
2020_05_16	     155	      13	       0	       0
2020_05_17	     155	      13	       0	       0
2020_05_18	     155	      13	       0	       0
2020_05_19	     155	      13	       0	       0
2020_05_20	     155	      13	       0	       0
2020_05_21	     155	      13	       0	       0
2020_05_22	     155	      13	       0	       0
2020_05_23	     155	      13	       0	       0
2020_05_24	     156	      13	       1	       0
2020_05_25	     156	      13	       0	       0
2020_05_26	     161	      14	       5	       1
2020_05_27	     161	      14	       0	       0
2020_05_28	     161	      14	       0	       0
2020_05_29	     161	      14	       0	       0
