#
# COVID-19 Country file (official WHO count)
# Country = Guam
# Latitude = 13.0
# Population = 168.727
# Territory = 549.0
# LEB = 80.1
# DPA = 1000
# DPA65 = 740
# GDP = 35713.0
# GDP_PPP = 30500.0
# COVID-19 Mortality = 823.8
# First_Case = 2020_03_17
# Last_Case = 2021_06_13
# First_Death = 2020_03_23
# Last_Death = 2021_05_09
# Status as of 2021_06_13 = Clusters of cases
# Vaccine type = Unknown
# Vaccine start = NA
#
Date	Conf_Cases	Conf_Deaths	Daily_Cases	Daily_Deaths
2020_03_17	       3	       0	       3	       0
2020_03_18	       3	       0	       0	       0
2020_03_19	       5	       0	       2	       0
2020_03_20	      12	       0	       7	       0
2020_03_21	      14	       0	       2	       0
2020_03_22	      15	       0	       1	       0
2020_03_23	      27	       1	      12	       1
2020_03_24	      29	       1	       2	       0
2020_03_25	      32	       1	       3	       0
2020_03_26	      37	       1	       5	       0
2020_03_27	      45	       1	       8	       0
2020_03_28	      51	       1	       6	       0
2020_03_29	      56	       1	       5	       0
2020_03_30	      56	       1	       0	       0
2020_03_31	      58	       1	       2	       0
2020_04_01	      69	       2	      11	       1
2020_04_02	      77	       3	       8	       1
2020_04_03	      82	       3	       5	       0
2020_04_04	      84	       3	       2	       0
2020_04_05	      93	       4	       9	       1
2020_04_06	     112	       4	      19	       0
2020_04_07	     113	       4	       1	       0
2020_04_08	     121	       4	       8	       0
2020_04_09	     125	       4	       4	       0
2020_04_10	     128	       4	       3	       0
2020_04_11	     130	       4	       2	       0
2020_04_12	     133	       5	       3	       1
2020_04_13	     133	       5	       0	       0
2020_04_14	     134	       5	       1	       0
2020_04_15	     135	       5	       1	       0
2020_04_16	     135	       5	       0	       0
2020_04_17	     135	       5	       0	       0
2020_04_18	     135	       5	       0	       0
2020_04_19	     136	       5	       1	       0
2020_04_20	     133	       5	      -3	       0
2020_04_21	     133	       5	       0	       0
2020_04_22	     133	       5	       0	       0
2020_04_23	     133	       5	       0	       0
2020_04_24	     135	       5	       2	       0
2020_04_25	     136	       5	       1	       0
2020_04_26	     137	       5	       1	       0
2020_04_27	     137	       5	       0	       0
2020_04_28	     138	       5	       1	       0
2020_04_29	     140	       5	       2	       0
2020_04_30	     141	       5	       1	       0
2020_05_01	     142	       5	       1	       0
2020_05_02	     142	       5	       0	       0
2020_05_03	     144	       5	       2	       0
2020_05_04	     146	       5	       2	       0
2020_05_05	     145	       5	      -1	       0
2020_05_06	     145	       5	       0	       0
2020_05_07	     147	       5	       2	       0
2020_05_08	     147	       5	       0	       0
2020_05_09	     147	       5	       0	       0
2020_05_10	     147	       5	       0	       0
2020_05_11	     147	       5	       0	       0
2020_05_12	     147	       5	       0	       0
2020_05_13	     148	       5	       1	       0
2020_05_14	     148	       5	       0	       0
2020_05_15	     149	       5	       1	       0
2020_05_16	     149	       5	       0	       0
2020_05_17	     149	       5	       0	       0
2020_05_18	     149	       5	       0	       0
2020_05_19	     149	       5	       0	       0
2020_05_20	     149	       5	       0	       0
2020_05_21	     160	       5	      11	       0
2020_05_22	     160	       5	       0	       0
2020_05_23	     160	       5	       0	       0
2020_05_24	     161	       5	       1	       0
2020_05_25	     161	       5	       0	       0
2020_05_26	     161	       5	       0	       0
2020_05_27	     163	       5	       2	       0
2020_05_28	     164	       5	       1	       0
2020_05_29	     165	       5	       1	       0
2020_05_30	     165	       5	       0	       0
2020_05_31	     166	       5	       1	       0
2020_06_01	     166	       5	       0	       0
2020_06_02	     167	       5	       1	       0
2020_06_03	     169	       5	       2	       0
2020_06_04	     170	       5	       1	       0
2020_06_05	     171	       5	       1	       0
2020_06_06	     171	       5	       0	       0
2020_06_07	     171	       5	       0	       0
2020_06_08	     171	       5	       0	       0
2020_06_09	     171	       5	       0	       0
2020_06_10	     172	       5	       1	       0
2020_06_11	     174	       5	       2	       0
2020_06_12	     174	       5	       0	       0
2020_06_13	     176	       5	       2	       0
2020_06_14	     177	       5	       1	       0
2020_06_15	     177	       5	       0	       0
2020_06_16	     178	       5	       1	       0
2020_06_17	     178	       5	       0	       0
2020_06_18	     180	       5	       2	       0
2020_06_19	     185	       5	       5	       0
2020_06_20	     192	       5	       7	       0
2020_06_21	     214	       5	      22	       0
2020_06_22	     214	       5	       0	       0
2020_06_23	     216	       5	       2	       0
2020_06_24	     217	       5	       1	       0
2020_06_25	     223	       5	       6	       0
2020_06_26	     237	       5	      14	       0
2020_06_27	     240	       5	       3	       0
