#
# COVID-19 Country file (official WHO count)
# Country = Guatemala
# Latitude = 15.0
# Population = 17910.812
# Territory = 108889.0
# LEB = 74.3
# DPA = 83000
# DPA65 = 35690
# GDP = 4545.0
# GDP_PPP = 8557.0
# COVID-19 Mortality = 469.9
# First_Case = 2020_03_16
# Last_Case = 2021_06_13
# First_Death = 2020_03_16
# Last_Death = 2021_06_13
# Status as of 2021_06_13 = Community transmission
# Vaccine type = Moderna
# Vaccine start = 2021_02_25
#
Date	Conf_Cases	Conf_Deaths	Daily_Cases	Daily_Deaths
2020_03_16	       1	       1	       1	       1
2020_03_17	       1	       1	       0	       0
2020_03_18	       6	       1	       5	       0
2020_03_19	       6	       1	       0	       0
2020_03_20	       9	       1	       3	       0
2020_03_21	      12	       1	       3	       0
2020_03_22	      12	       1	       0	       0
2020_03_23	      18	       1	       6	       0
2020_03_24	      20	       1	       2	       0
2020_03_25	      21	       1	       1	       0
2020_03_26	      24	       1	       3	       0
2020_03_27	      24	       1	       0	       0
2020_03_28	      25	       1	       1	       0
2020_03_29	      32	       1	       7	       0
2020_03_30	      34	       1	       2	       0
2020_03_31	      36	       1	       2	       0
2020_04_01	      36	       1	       0	       0
2020_04_02	      39	       1	       3	       0
2020_04_03	      47	       1	       8	       0
2020_04_04	      50	       1	       3	       0
2020_04_05	      50	       1	       0	       0
2020_04_06	      61	       2	      11	       1
2020_04_07	      70	       3	       9	       1
2020_04_08	      77	       3	       7	       0
2020_04_09	      87	       3	      10	       0
2020_04_10	      95	       3	       8	       0
2020_04_11	     126	       3	      31	       0
2020_04_12	     137	       3	      11	       0
2020_04_13	     153	       3	      16	       0
2020_04_14	     156	       5	       3	       2
2020_04_15	     167	       5	      11	       0
2020_04_16	     180	       5	      13	       0
2020_04_17	     196	       5	      16	       0
2020_04_18	     214	       7	      18	       2
2020_04_19	     235	       7	      21	       0
2020_04_20	     257	       7	      22	       0
2020_04_21	     289	       7	      32	       0
2020_04_22	     294	       9	       5	       2
2020_04_23	     316	       8	      22	      -1
2020_04_24	     342	      10	      26	       2
2020_04_25	     384	      11	      42	       1
2020_04_26	     430	      13	      46	       2
2020_04_27	     473	      15	      43	       2
2020_04_28	     500	      15	      27	       0
2020_04_29	     530	      15	      30	       0
2020_04_30	     557	      16	      27	       1
2020_05_01	     585	      16	      28	       0
2020_05_02	     599	      16	      14	       0
2020_05_03	     644	      18	      45	       2
2020_05_04	     688	      19	      44	       1
2020_05_05	     703	      17	      15	      -2
2020_05_06	     730	      19	      27	       2
2020_05_07	     763	      19	      33	       0
2020_05_08	     798	      21	      35	       2
2020_05_09	     832	      23	      34	       2
2020_05_10	     900	      24	      68	       1
2020_05_11	     967	      24	      67	       0
2020_05_12	    1052	      26	      85	       2
2020_05_13	    1114	      26	      62	       0
2020_05_14	    1199	      27	      85	       1
2020_05_15	    1342	      29	     143	       2
2020_05_16	    1518	      29	     176	       0
2020_05_17	    1643	      30	     125	       1
2020_05_18	    1763	      33	     120	       3
2020_05_19	    1912	      35	     149	       2
2020_05_20	    2001	      38	      89	       3
2020_05_21	    2133	      43	     132	       5
2020_05_22	    2265	      45	     132	       2
2020_05_23	    2512	      48	     247	       3
2020_05_24	    2743	      53	     231	       5
2020_05_25	    3054	      57	     311	       4
2020_05_26	    3424	      58	     370	       1
2020_05_27	    3760	      59	     336	       1
2020_05_28	    3954	      63	     194	       4
2020_05_29	    4145	      68	     191	       5
2020_05_30	    4348	      80	     203	      12
2020_05_31	    4607	      90	     259	      10
2020_06_01	    4739	     102	     132	      12
2020_06_02	    5087	     108	     348	       6
2020_06_03	    5336	     116	     249	       8
2020_06_04	    5586	     123	     250	       7
2020_06_05	    5760	     143	     174	      20
2020_06_06	    6154	     158	     394	      15
2020_06_07	    6485	     216	     331	      58
2020_06_08	    6792	     230	     307	      14
2020_06_09	    7055	     252	     263	      22
2020_06_10	    7502	     267	     447	      15
2020_06_11	    7866	     289	     364	      22
2020_06_12	    8221	     316	     355	      27
2020_06_13	    8561	     334	     340	      18
2020_06_14	    8982	     351	     421	      17
2020_06_15	    9491	     367	     509	      16
2020_06_16	    9845	     384	     354	      17
2020_06_17	   10272	     399	     427	      15
2020_06_18	   10706	     418	     434	      19
2020_06_19	   11251	     432	     545	      14
2020_06_20	   11868	     449	     617	      17
2020_06_21	   12509	     483	     641	      34
2020_06_22	   12755	     514	     246	      31
2020_06_23	   13145	     531	     390	      17
2020_06_24	   13769	     547	     624	      16
2020_06_25	   14540	     582	     771	      35
2020_06_26	   14819	     601	     279	      19
2020_06_27	   15619	     623	     800	      22
2020_06_28	   15828	     672	     209	      49
2020_06_29	   16397	     706	     569	      34
2020_06_30	   16930	     727	     533	      21
2020_07_01	   17409	     746	     479	      19
2020_07_02	   18096	     773	     687	      27
2020_07_03	   19011	     817	     915	      44
2020_07_04	   20072	     843	    1061	      26
2020_07_05	   21293	     880	    1221	      37
2020_07_06	   22501	     920	    1208	      40
2020_07_07	   23248	     947	     747	      27
2020_07_08	   23972	     981	     724	      34
2020_07_09	   24787	    1004	     815	      23
2020_07_10	   25411	    1053	     624	      49
2020_07_11	   26658	    1092	    1247	      39
2020_07_12	   27619	    1139	     961	      47
2020_07_13	   28598	    1172	     979	      33
2020_07_14	   29355	    1219	     757	      47
2020_07_15	   29742	    1244	     387	      25
2020_07_16	   30872	    1302	    1130	      58
2020_07_17	   32074	    1350	    1202	      48
2020_07_18	   32939	    1404	     865	      54
2020_07_19	   33809	    1443	     870	      39
2020_07_20	   38042	    1449	    4233	       6
2020_07_21	   39039	    1502	     997	      53
2020_07_22	   40229	    1531	    1190	      29
2020_07_23	   41135	    1573	     906	      42
2020_07_24	   42192	    1632	    1057	      59
2020_07_25	   43283	    1669	    1091	      37
2020_07_26	   43283	    1669	       0	       0
2020_07_27	   45053	    1734	    1770	      65
2020_07_28	   45059	    1761	       6	      27
2020_07_29	   46451	    1782	    1392	      21
2020_07_30	   47605	    1835	    1154	      53
2020_07_31	   48826	    1867	    1221	      32
2020_08_01	   49789	    1924	     963	      57
2020_08_02	   50979	    1957	    1190	      33
2020_08_03	   51306	    1995	     327	      38
2020_08_04	   51542	    2013	     236	      18
2020_08_05	   52365	    2037	     823	      24
2020_08_06	   53509	    2072	    1144	      35
2020_08_07	   54339	    2119	     830	      47
2020_08_08	   55270	    2168	     931	      49
2020_08_09	   56189	    2197	     919	      29
2020_08_10	   56605	    2211	     416	      14
2020_08_11	   56987	    2222	     382	      11
2020_08_12	   57966	    2233	     979	      11
2020_08_13	   59089	    2267	    1123	      34
2020_08_14	   60284	    2296	    1195	      29
2020_08_15	   61428	    2341	    1144	      45
2020_08_16	   62313	    2355	     885	      14
2020_08_17	   63104	    2387	     791	      32
2020_08_18	   63896	    2419	     792	      32
2020_08_19	   64688	    2451	     792	      32
2020_08_20	   65480	    2483	     792	      32
2020_08_21	   66272	    2515	     792	      32
2020_08_22	   67064	    2547	     792	      32
2020_08_23	   67856	    2580	     792	      33
2020_08_24	   68687	    2601	     831	      21
2020_08_25	   69519	    2622	     832	      21
2020_08_26	   70351	    2643	     832	      21
2020_08_27	   71183	    2664	     832	      21
2020_08_28	   72015	    2685	     832	      21
2020_08_29	   72847	    2706	     832	      21
2020_08_30	   73679	    2728	     832	      22
2020_08_31	   74222	    2744	     543	      16
2020_09_01	   74765	    2761	     543	      17
2020_09_02	   75308	    2778	     543	      17
2020_09_03	   75851	    2794	     543	      16
2020_09_04	   76394	    2811	     543	      17
2020_09_05	   76937	    2828	     543	      17
2020_09_06	   77481	    2845	     544	      17
2020_09_07	   78077	    2859	     596	      14
2020_09_08	   78674	    2874	     597	      15
2020_09_09	   79271	    2889	     597	      15
2020_09_10	   79867	    2904	     596	      15
2020_09_11	   80464	    2919	     597	      15
2020_09_12	   81061	    2934	     597	      15
2020_09_13	   81658	    2949	     597	      15
2020_09_14	   82157	    2971	     499	      22
2020_09_15	   82656	    2993	     499	      22
2020_09_16	   83155	    3015	     499	      22
2020_09_17	   83654	    3038	     499	      23
2020_09_18	   84153	    3060	     499	      22
2020_09_19	   84652	    3082	     499	      22
2020_09_20	   85152	    3105	     500	      23
2020_09_21	   85802	    3120	     650	      15
2020_09_22	   86452	    3135	     650	      15
2020_09_23	   87102	    3151	     650	      16
2020_09_24	   87752	    3166	     650	      15
2020_09_25	   88402	    3182	     650	      16
2020_09_26	   89052	    3197	     650	      15
2020_09_27	   89702	    3213	     650	      16
2020_09_28	   90280	    3223	     578	      10
2020_09_29	   90858	    3233	     578	      10
2020_09_30	   91436	    3243	     578	      10
