#
# COVID-19 Country file (official WHO count)
# Country = Guernsey
# Latitude = 46.0
# Population = 62.792
# Territory = 65.0
# LEB = -999.0
# DPA = 370
# DPA65 = 322
# GDP = 74463.0
# GDP_PPP = 52500.0
# COVID-19 Mortality = 270.7
# First_Case = 2020_03_10
# Last_Case = 2021_06_13
# First_Death = 2020_04_01
# Last_Death = 2021_06_06
# Status as of 2021_06_13 = Community transmission
# Vaccine type = Pfizer/BioNTech
# Vaccine start = 2021_01_24
#
Date	Conf_Cases	Conf_Deaths	Daily_Cases	Daily_Deaths
2020_03_10	       1	       0	       1	       0
2020_03_11	       1	       0	       0	       0
2020_03_12	       1	       0	       0	       0
2020_03_13	       1	       0	       0	       0
2020_03_14	       1	       0	       0	       0
2020_03_15	       1	       0	       0	       0
2020_03_16	       1	       0	       0	       0
2020_03_17	       1	       0	       0	       0
2020_03_18	       1	       0	       0	       0
2020_03_19	       1	       0	       0	       0
2020_03_20	       1	       0	       0	       0
2020_03_21	       1	       0	       0	       0
2020_03_22	       1	       0	       0	       0
2020_03_23	      17	       0	      16	       0
2020_03_24	      20	       0	       3	       0
2020_03_25	      23	       0	       3	       0
2020_03_26	      30	       0	       7	       0
2020_03_27	      34	       0	       4	       0
2020_03_28	      36	       0	       2	       0
2020_03_29	      39	       0	       3	       0
2020_03_30	      39	       0	       0	       0
2020_03_31	      45	       0	       6	       0
2020_04_01	      60	       1	      15	       1
2020_04_02	      78	       1	      18	       0
2020_04_03	      91	       1	      13	       0
2020_04_04	     114	       2	      23	       1
2020_04_05	     136	       2	      22	       0
2020_04_06	     154	       3	      18	       1
2020_04_07	     154	       3	       0	       0
2020_04_08	     166	       4	      12	       1
2020_04_09	     166	       4	       0	       0
2020_04_10	     181	       5	      15	       1
2020_04_11	     191	       5	      10	       0
2020_04_12	     200	       6	       9	       1
2020_04_13	     209	       6	       9	       0
2020_04_14	     218	       6	       9	       0
2020_04_15	     219	       6	       1	       0
2020_04_16	     223	       7	       4	       1
2020_04_17	     228	       8	       5	       1
2020_04_18	     234	       9	       6	       1
2020_04_19	     236	       9	       2	       0
2020_04_20	     239	       9	       3	       0
2020_04_21	     239	       9	       0	       0
2020_04_22	     239	      10	       0	       1
2020_04_23	     241	      10	       2	       0
2020_04_24	     243	      10	       2	       0
2020_04_25	     245	      10	       2	       0
2020_04_26	     245	      11	       0	       1
2020_04_27	     245	      12	       0	       1
2020_04_28	     247	      13	       2	       1
2020_04_29	     247	      13	       0	       0
2020_04_30	     247	      13	       0	       0
2020_05_01	     251	      13	       4	       0
2020_05_02	     251	      13	       0	       0
2020_05_03	     252	      13	       1	       0
2020_05_04	     252	      13	       0	       0
2020_05_05	     252	      13	       0	       0
2020_05_06	     252	      13	       0	       0
2020_05_07	     252	      13	       0	       0
2020_05_08	     252	      13	       0	       0
2020_05_09	     252	      13	       0	       0
2020_05_10	     252	      13	       0	       0
2020_05_11	     252	      13	       0	       0
2020_05_12	     252	      13	       0	       0
2020_05_13	     252	      13	       0	       0
2020_05_14	     252	      13	       0	       0
2020_05_15	     252	      13	       0	       0
2020_05_16	     252	      13	       0	       0
2020_05_17	     252	      13	       0	       0
2020_05_18	     252	      13	       0	       0
2020_05_19	     252	      13	       0	       0
2020_05_20	     252	      13	       0	       0
2020_05_21	     252	      13	       0	       0
2020_05_22	     252	      13	       0	       0
2020_05_23	     252	      13	       0	       0
2020_05_24	     252	      13	       0	       0
2020_05_25	     252	      13	       0	       0
2020_05_26	     252	      13	       0	       0
2020_05_27	     252	      13	       0	       0
2020_05_28	     252	      13	       0	       0
2020_05_29	     252	      13	       0	       0
2020_05_30	     252	      13	       0	       0
2020_05_31	     252	      13	       0	       0
2020_06_01	     252	      13	       0	       0
2020_06_02	     252	      13	       0	       0
2020_06_03	     252	      13	       0	       0
2020_06_04	     252	      13	       0	       0
2020_06_05	     252	      13	       0	       0
2020_06_06	     252	      13	       0	       0
2020_06_07	     252	      13	       0	       0
2020_06_08	     252	      13	       0	       0
2020_06_09	     252	      13	       0	       0
2020_06_10	     252	      13	       0	       0
2020_06_11	     252	      13	       0	       0
2020_06_12	     252	      13	       0	       0
2020_06_13	     252	      13	       0	       0
2020_06_14	     252	      13	       0	       0
2020_06_15	     252	      13	       0	       0
2020_06_16	     252	      13	       0	       0
2020_06_17	     252	      13	       0	       0
2020_06_18	     252	      13	       0	       0
2020_06_19	     252	      13	       0	       0
2020_06_20	     252	      13	       0	       0
2020_06_21	     252	      13	       0	       0
2020_06_22	     252	      13	       0	       0
2020_06_23	     252	      13	       0	       0
2020_06_24	     252	      13	       0	       0
2020_06_25	     252	      13	       0	       0
2020_06_26	     252	      13	       0	       0
2020_06_27	     252	      13	       0	       0
2020_06_28	     252	      13	       0	       0
2020_06_29	     252	      13	       0	       0
2020_06_30	     252	      13	       0	       0
2020_07_01	     252	      13	       0	       0
2020_07_02	     252	      13	       0	       0
2020_07_03	     252	      13	       0	       0
2020_07_04	     252	      13	       0	       0
2020_07_05	     252	      13	       0	       0
2020_07_06	     252	      13	       0	       0
2020_07_07	     252	      13	       0	       0
2020_07_08	     252	      13	       0	       0
2020_07_09	     252	      13	       0	       0
2020_07_10	     252	      13	       0	       0
2020_07_11	     252	      13	       0	       0
2020_07_12	     252	      13	       0	       0
2020_07_13	     252	      13	       0	       0
2020_07_14	     252	      13	       0	       0
2020_07_15	     252	      13	       0	       0
2020_07_16	     252	      13	       0	       0
2020_07_17	     252	      13	       0	       0
2020_07_18	     252	      13	       0	       0
2020_07_19	     252	      13	       0	       0
2020_07_20	     252	      13	       0	       0
2020_07_21	     252	      13	       0	       0
2020_07_22	     252	      13	       0	       0
2020_07_23	     252	      13	       0	       0
2020_07_24	     252	      13	       0	       0
2020_07_25	     252	      13	       0	       0
2020_07_26	     252	      13	       0	       0
2020_07_27	     252	      13	       0	       0
2020_07_28	     252	      13	       0	       0
2020_07_29	     252	      13	       0	       0
2020_07_30	     252	      13	       0	       0
2020_07_31	     252	      13	       0	       0
2020_08_01	     252	      13	       0	       0
2020_08_02	     252	      13	       0	       0
2020_08_03	     252	      13	       0	       0
2020_08_04	     252	      13	       0	       0
2020_08_05	     252	      13	       0	       0
2020_08_06	     252	      13	       0	       0
2020_08_07	     252	      13	       0	       0
2020_08_08	     252	      13	       0	       0
2020_08_09	     252	      13	       0	       0
2020_08_10	     252	      13	       0	       0
2020_08_11	     252	      13	       0	       0
2020_08_12	     252	      13	       0	       0
2020_08_13	     252	      13	       0	       0
2020_08_14	     252	      13	       0	       0
2020_08_15	     252	      13	       0	       0
2020_08_16	     252	      13	       0	       0
2020_08_17	     252	      13	       0	       0
2020_08_18	     252	      13	       0	       0
2020_08_19	     252	      13	       0	       0
2020_08_20	     252	      13	       0	       0
2020_08_21	     252	      13	       0	       0
2020_08_22	     252	      13	       0	       0
2020_08_23	     252	      13	       0	       0
2020_08_24	     252	      13	       0	       0
2020_08_25	     252	      13	       0	       0
2020_08_26	     252	      13	       0	       0
2020_08_27	     252	      13	       0	       0
2020_08_28	     252	      13	       0	       0
2020_08_29	     252	      13	       0	       0
2020_08_30	     252	      13	       0	       0
2020_08_31	     252	      13	       0	       0
2020_09_01	     252	      13	       0	       0
2020_09_02	     252	      13	       0	       0
2020_09_03	     252	      13	       0	       0
2020_09_04	     252	      13	       0	       0
2020_09_05	     252	      13	       0	       0
2020_09_06	     252	      13	       0	       0
2020_09_07	     252	      13	       0	       0
2020_09_08	     252	      13	       0	       0
2020_09_09	     252	      13	       0	       0
2020_09_10	     252	      13	       0	       0
2020_09_11	     252	      13	       0	       0
2020_09_12	     252	      13	       0	       0
2020_09_13	     253	      13	       1	       0
2020_09_14	     253	      13	       0	       0
2020_09_15	     253	      13	       0	       0
2020_09_16	     253	      13	       0	       0
2020_09_17	     253	      13	       0	       0
2020_09_18	     253	      13	       0	       0
2020_09_19	     253	      13	       0	       0
2020_09_20	     254	      13	       1	       0
2020_09_21	     254	      13	       0	       0
2020_09_22	     254	      13	       0	       0
2020_09_23	     254	      13	       0	       0
2020_09_24	     255	      13	       1	       0
2020_09_25	     255	      13	       0	       0
2020_09_26	     255	      13	       0	       0
2020_09_27	     256	      13	       1	       0
2020_09_28	     256	      13	       0	       0
2020_09_29	     256	      13	       0	       0
2020_09_30	     256	      13	       0	       0
2020_10_01	     256	      13	       0	       0
2020_10_02	     256	      13	       0	       0
2020_10_03	     256	      13	       0	       0
2020_10_04	     256	      13	       0	       0
2020_10_05	     256	      13	       0	       0
2020_10_06	     256	      13	       0	       0
2020_10_07	     256	      13	       0	       0
2020_10_08	     257	      13	       1	       0
2020_10_09	     257	      13	       0	       0
2020_10_10	     257	      13	       0	       0
2020_10_11	     258	      13	       1	       0
2020_10_12	     258	      13	       0	       0
2020_10_13	     258	      13	       0	       0
2020_10_14	     258	      13	       0	       0
2020_10_15	     258	      13	       0	       0
2020_10_16	     258	      13	       0	       0
2020_10_17	     258	      13	       0	       0
2020_10_18	     258	      13	       0	       0
2020_10_19	     259	      13	       1	       0
2020_10_20	     260	      13	       1	       0
2020_10_21	     261	      13	       1	       0
2020_10_22	     262	      13	       1	       0
2020_10_23	     263	      13	       1	       0
2020_10_24	     264	      13	       1	       0
2020_10_25	     266	      13	       2	       0
2020_10_26	     266	      13	       0	       0
2020_10_27	     266	      13	       0	       0
2020_10_28	     266	      13	       0	       0
2020_10_29	     266	      13	       0	       0
2020_10_30	     266	      13	       0	       0
2020_10_31	     266	      13	       0	       0
2020_11_01	     267	      13	       1	       0
2020_11_02	     268	      13	       1	       0
2020_11_03	     270	      13	       2	       0
2020_11_04	     271	      13	       1	       0
2020_11_05	     273	      13	       2	       0
2020_11_06	     274	      13	       1	       0
2020_11_07	     276	      13	       2	       0
2020_11_08	     278	      13	       2	       0
2020_11_09	     278	      13	       0	       0
2020_11_10	     279	      13	       1	       0
2020_11_11	     279	      13	       0	       0
2020_11_12	     280	      13	       1	       0
2020_11_13	     280	      13	       0	       0
2020_11_14	     281	      13	       1	       0
2020_11_15	     282	      13	       1	       0
2020_11_16	     282	      13	       0	       0
2020_11_17	     282	      13	       0	       0
2020_11_18	     282	      13	       0	       0
2020_11_19	     282	      13	       0	       0
2020_11_20	     282	      13	       0	       0
2020_11_21	     282	      13	       0	       0
2020_11_22	     283	      13	       1	       0
2020_11_23	     283	      13	       0	       0
2020_11_24	     283	      13	       0	       0
2020_11_25	     284	      13	       1	       0
2020_11_26	     284	      13	       0	       0
2020_11_27	     285	      13	       1	       0
2020_11_28	     285	      13	       0	       0
2020_11_29	     286	      13	       1	       0
2020_11_30	     286	      13	       0	       0
2020_12_01	     286	      13	       0	       0
2020_12_02	     286	      13	       0	       0
2020_12_03	     287	      13	       1	       0
2020_12_04	     287	      13	       0	       0
2020_12_05	     287	      13	       0	       0
2020_12_06	     288	      13	       1	       0
2020_12_07	     288	      13	       0	       0
2020_12_08	     288	      13	       0	       0
2020_12_09	     288	      13	       0	       0
2020_12_10	     288	      13	       0	       0
2020_12_11	     288	      13	       0	       0
2020_12_12	     288	      13	       0	       0
2020_12_13	     289	      13	       1	       0
2020_12_14	     289	      13	       0	       0
2020_12_15	     289	      13	       0	       0
2020_12_16	     289	      13	       0	       0
2020_12_17	     290	      13	       1	       0
2020_12_18	     290	      13	       0	       0
2020_12_19	     290	      13	       0	       0
2020_12_20	     291	      13	       1	       0
2020_12_21	     291	      13	       0	       0
2020_12_22	     292	      13	       1	       0
2020_12_23	     293	      13	       1	       0
2020_12_24	     294	      13	       1	       0
2020_12_25	     295	      13	       1	       0
2020_12_26	     296	      13	       1	       0
2020_12_27	     297	      13	       1	       0
2020_12_28	     297	      13	       0	       0
2020_12_29	     297	      13	       0	       0
2020_12_30	     297	      13	       0	       0
2020_12_31	     298	      13	       1	       0
2021_01_01	     298	      13	       0	       0
2021_01_02	     298	      13	       0	       0
2021_01_03	     299	      13	       1	       0
2021_01_04	     299	      13	       0	       0
2021_01_05	     299	      13	       0	       0
2021_01_06	     300	      13	       1	       0
2021_01_07	     300	      13	       0	       0
2021_01_08	     301	      13	       1	       0
2021_01_09	     301	      13	       0	       0
2021_01_10	     302	      13	       1	       0
2021_01_11	     303	      13	       1	       0
2021_01_12	     304	      13	       1	       0
2021_01_13	     305	      13	       1	       0
2021_01_14	     306	      13	       1	       0
2021_01_15	     307	      13	       1	       0
2021_01_16	     308	      13	       1	       0
2021_01_17	     309	      13	       1	       0
2021_01_18	     309	      13	       0	       0
2021_01_19	     309	      13	       0	       0
2021_01_20	     309	      13	       0	       0
2021_01_21	     309	      13	       0	       0
2021_01_22	     309	      13	       0	       0
2021_01_23	     309	      13	       0	       0
2021_01_24	     310	      13	       1	       0
2021_01_25	     329	      13	      19	       0
2021_01_26	     349	      13	      20	       0
2021_01_27	     369	      13	      20	       0
2021_01_28	     389	      13	      20	       0
2021_01_29	     409	      13	      20	       0
2021_01_30	     429	      13	      20	       0
2021_01_31	     449	      13	      20	       0
2021_02_01	     483	      13	      34	       0
2021_02_02	     517	      13	      34	       0
2021_02_03	     551	      13	      34	       0
2021_02_04	     586	      13	      35	       0
2021_02_05	     620	      13	      34	       0
2021_02_06	     654	      13	      34	       0
2021_02_07	     689	      13	      35	       0
2021_02_08	     702	      13	      13	       0
2021_02_09	     715	      13	      13	       0
2021_02_10	     728	      13	      13	       0
2021_02_11	     742	      13	      14	       0
2021_02_12	     755	      13	      13	       0
2021_02_13	     768	      13	      13	       0
2021_02_14	     782	      13	      14	       0
2021_02_15	     786	      13	       4	       0
2021_02_16	     790	      13	       4	       0
2021_02_17	     794	      13	       4	       0
2021_02_18	     798	      13	       4	       0
2021_02_19	     802	      13	       4	       0
2021_02_20	     806	      13	       4	       0
2021_02_21	     810	      14	       4	       1
2021_02_22	     811	      14	       1	       0
2021_02_23	     812	      14	       1	       0
2021_02_24	     813	      14	       1	       0
2021_02_25	     815	      14	       2	       0
2021_02_26	     816	      14	       1	       0
2021_02_27	     817	      14	       1	       0
2021_02_28	     819	      14	       2	       0
2021_03_01	     819	      14	       0	       0
2021_03_02	     819	      14	       0	       0
2021_03_03	     819	      14	       0	       0
2021_03_04	     820	      14	       1	       0
2021_03_05	     820	      14	       0	       0
2021_03_06	     820	      14	       0	       0
2021_03_07	     821	      14	       1	       0
2021_03_08	     821	      14	       0	       0
2021_03_09	     821	      14	       0	       0
2021_03_10	     821	      14	       0	       0
2021_03_11	     821	      14	       0	       0
2021_03_12	     821	      14	       0	       0
2021_03_13	     821	      14	       0	       0
2021_03_14	     821	      14	       0	       0
2021_03_15	     821	      14	       0	       0
2021_03_16	     821	      14	       0	       0
2021_03_17	     821	      14	       0	       0
