#
# COVID-19 Country file (official WHO count)
# Country = Guinea-Bissau
# Latitude = 12.0
# Population = 2000.694
# Territory = 36125.0
# LEB = 58.3
# DPA = 18000
# DPA65 = 3960
# GDP = 766.0
# GDP_PPP = 1904.0
# COVID-19 Mortality = 34.5
# First_Case = 2020_03_26
# Last_Case = 2021_06_13
# First_Death = 2020_04_27
# Last_Death = 2021_06_13
# Status as of 2021_06_13 = Community transmission
# Vaccine type = Unknown
# Vaccine start = NA
#
Date	Conf_Cases	Conf_Deaths	Daily_Cases	Daily_Deaths
2020_03_26	       2	       0	       2	       0
2020_03_27	       2	       0	       0	       0
2020_03_28	       2	       0	       0	       0
2020_03_29	       2	       0	       0	       0
2020_03_30	       2	       0	       0	       0
2020_03_31	       2	       0	       0	       0
2020_04_01	       9	       0	       7	       0
2020_04_02	       9	       0	       0	       0
2020_04_03	       9	       0	       0	       0
2020_04_04	      15	       0	       6	       0
2020_04_05	      18	       0	       3	       0
2020_04_06	      18	       0	       0	       0
2020_04_07	      33	       0	      15	       0
2020_04_08	      33	       0	       0	       0
2020_04_09	      33	       0	       0	       0
2020_04_10	      35	       0	       2	       0
2020_04_11	      35	       0	       0	       0
2020_04_12	      38	       0	       3	       0
2020_04_13	      39	       0	       1	       0
2020_04_14	      39	       0	       0	       0
2020_04_15	      40	       0	       1	       0
2020_04_16	      43	       0	       3	       0
2020_04_17	      46	       0	       3	       0
2020_04_18	      50	       0	       4	       0
2020_04_19	      50	       0	       0	       0
2020_04_20	      50	       0	       0	       0
2020_04_21	      50	       0	       0	       0
2020_04_22	      50	       0	       0	       0
2020_04_23	      50	       0	       0	       0
2020_04_24	      52	       0	       2	       0
2020_04_25	      52	       0	       0	       0
2020_04_26	      52	       0	       0	       0
2020_04_27	      53	       1	       1	       1
2020_04_28	      73	       1	      20	       0
2020_04_29	      73	       1	       0	       0
2020_04_30	      77	       1	       4	       0
2020_05_01	     201	       1	     124	       0
2020_05_02	     257	       1	      56	       0
2020_05_03	     260	       1	       3	       0
2020_05_04	     292	       2	      32	       1
2020_05_05	     292	       2	       0	       0
2020_05_06	     292	       2	       0	       0
2020_05_07	     508	       2	     216	       0
2020_05_08	     508	       2	       0	       0
2020_05_09	     508	       2	       0	       0
2020_05_10	     642	       3	     134	       1
2020_05_11	     642	       3	       0	       0
2020_05_12	     761	       3	     119	       0
2020_05_13	     820	       3	      59	       0
2020_05_14	     836	       3	      16	       0
2020_05_15	     913	       3	      77	       0
2020_05_16	     913	       3	       0	       0
2020_05_17	     913	       3	       0	       0
2020_05_18	     990	       4	      77	       1
2020_05_19	    1038	       6	      48	       2
