#
# COVID-19 Country file (official WHO count)
# Country = Guinea
# Latitude = 9.0
# Population = 13750.826
# Territory = 245857.0
# LEB = 61.6
# DPA = 105000
# DPA65 = 27300
# GDP = 888.0
# GDP_PPP = 2360.0
# COVID-19 Mortality = 3.9
# First_Case = 2020_03_14
# First_Death = 2020_04_16
# Last_Case = 2020_04_16
# Last_Death = 2020_04_16
# Status as of 2020_08_23 = Community transmission
#
Date	Conf_Cases	Conf_Deaths
2020_03_14	1	0
2020_03_15	1	0
2020_03_16	1	0
2020_03_17	1	0
2020_03_18	1	0
2020_03_19	1	0
2020_03_20	2	0
2020_03_21	2	0
2020_03_22	2	0
2020_03_23	2	0
2020_03_24	4	0
2020_03_25	4	0
2020_03_26	4	0
2020_03_27	5	0
2020_03_28	8	0
2020_03_29	8	0
2020_03_30	16	0
2020_03_31	16	0
2020_04_01	16	0
2020_04_02	30	0
2020_04_03	52	0
2020_04_04	52	0
2020_04_05	111	0
2020_04_06	111	0
2020_04_07	111	0
2020_04_08	144	0
2020_04_09	164	0
2020_04_10	194	0
2020_04_11	194	0
2020_04_12	250	0
2020_04_13	250	0
2020_04_14	319	0
2020_04_15	363	0
2020_04_16	404	1
2020_04_17	438	1
2020_04_18	438	1
2020_04_19	477	3
2020_04_20	477	3
2020_04_21	622	5
2020_04_22	688	6
2020_04_23	761	6
2020_04_24	862	6
2020_04_25	954	6
2020_04_26	996	7
2020_04_27	1094	7
2020_04_28	1163	7
2020_04_29	1240	7
2020_04_30	1351	7
2020_05_01	1495	7
2020_05_02	1537	7
2020_05_03	1586	7
2020_05_04	1650	7
2020_05_05	1710	9
2020_05_06	1811	10
2020_05_07	1856	11
2020_05_08	1927	11
2020_05_09	2009	11
2020_05_10	2042	11
2020_05_11	2146	11
2020_05_12	2146	11
2020_05_13	2298	11
2020_05_14	2372	14
2020_05_15	2473	14
2020_05_16	2531	15
2020_05_17	2658	16
2020_05_18	2727	16
2020_05_19	2796	16
2020_05_20	2863	18
2020_05_21	2927	19
2020_05_22	3067	19
2020_05_23	3114	19
2020_05_24	3176	20
2020_05_25	3275	20
2020_05_26	3322	20
2020_05_27	3358	20
2020_05_28	3446	21
2020_05_29	3553	22
2020_05_30	3656	22
2020_05_31	3706	23
2020_06_01	3771	23
2020_06_02	3844	23
2020_06_03	3886	23
2020_06_04	3933	23
2020_06_05	3991	23
2020_06_06	4060	23
2020_06_07	4117	23
2020_06_08	4165	23
2020_06_09	4216	23
2020_06_10	4258	23
2020_06_11	4291	23
2020_06_12	4372	23
2020_06_13	4426	24
2020_06_14	4484	25
2020_06_15	4534	25
2020_06_16	4572	26
2020_06_17	4639	26
2020_06_18	4668	26
2020_06_19	4841	26
2020_06_20	4904	27
2020_06_21	4960	27
2020_06_22	4998	27
2020_06_23	4988	27
2020_06_24	5104	29
2020_06_25	5174	29
2020_06_26	5211	29
2020_06_27	5260	29
2020_06_28	5291	30
2020_06_29	5342	31
2020_06_30	5351	31
2020_07_01	5391	33
2020_07_02	5404	33
2020_07_03	5450	46
2020_07_04	5521	33
2020_07_05	5570	34
2020_07_06	5610	34
2020_07_07	5610	34
2020_07_08	5636	34
2020_07_09	5697	34
2020_07_10	5881	36
2020_07_11	5969	37
2020_07_12	6044	37
2020_07_13	6141	37
2020_07_14	6170	38
2020_07_15	6200	38
2020_07_16	6276	38
2020_07_17	6359	39
2020_07_18	6430	39
2020_07_19	6491	39
2020_07_20	6544	39
2020_07_21	6590	40
2020_07_22	6625	41
2020_07_23	6747	41
2020_07_24	6806	42
2020_07_25	6867	42
2020_07_26	6867	42
2020_07_27	7008	43
2020_07_28	7055	45
2020_07_29	7126	46
2020_07_30	7183	46
2020_07_31	7242	46
2020_08_01	7308	46
2020_08_02	7308	46
2020_08_03	7364	46
2020_08_04	7418	46
2020_08_05	7489	48
2020_08_06	7575	49
2020_08_07	7664	49
2020_08_08	7777	50
2020_08_09	7875	50
2020_08_10	7930	50
2020_08_11	7952	50
2020_08_12	8018	50
2020_08_13	8116	50
2020_08_14	8198	50
2020_08_15	8260	50
2020_08_16	8343	50
2020_08_17	8432	50
2020_08_18	8521	50
2020_08_19	8610	50
2020_08_20	8699	50
2020_08_21	8788	50
2020_08_22	8877	50
2020_08_23	8967	53
