#
# COVID-19 Country file (official WHO count)
# Country = Guyana
# Latitude = 7.0
# Population = 790.782
# Territory = 214969.0
# LEB = 69.9
# DPA = 6000
# DPA65 = 2340
# GDP = 4929.0
# GDP_PPP = 11368.0
# COVID-19 Mortality = 529.9
# First_Case = 2020_03_13
# Last_Case = 2021_06_13
# First_Death = 2020_03_13
# Last_Death = 2021_06_13
# Status as of 2021_06_13 = Community transmission
# Vaccine type = Oxford/AstraZeneca
# Vaccine start = 2021_02_11
#
Date	Conf_Cases	Conf_Deaths	Daily_Cases	Daily_Deaths
2020_03_13	       1	       1	       1	       1
2020_03_14	       6	       1	       5	       0
2020_03_15	       1	       1	      -5	       0
2020_03_16	       4	       1	       3	       0
2020_03_17	       4	       1	       0	       0
2020_03_18	       4	       1	       0	       0
2020_03_19	       4	       1	       0	       0
2020_03_20	       5	       1	       1	       0
2020_03_21	       5	       1	       0	       0
2020_03_22	       5	       1	       0	       0
2020_03_23	       5	       1	       0	       0
2020_03_24	       5	       1	       0	       0
2020_03_25	       5	       1	       0	       0
2020_03_26	       5	       1	       0	       0
2020_03_27	       5	       1	       0	       0
2020_03_28	       5	       1	       0	       0
2020_03_29	       5	       1	       0	       0
2020_03_30	       5	       1	       0	       0
2020_03_31	       8	       1	       3	       0
2020_04_01	      12	       2	       4	       1
2020_04_02	      19	       2	       7	       0
2020_04_03	      19	       4	       0	       2
2020_04_04	      19	       4	       0	       0
2020_04_05	      23	       4	       4	       0
2020_04_06	      24	       4	       1	       0
2020_04_07	      29	       4	       5	       0
2020_04_08	      31	       5	       2	       1
2020_04_09	      33	       5	       2	       0
2020_04_10	      37	       6	       4	       1
2020_04_11	      37	       6	       0	       0
2020_04_12	      37	       6	       0	       0
2020_04_13	      37	       6	       0	       0
2020_04_14	      47	       6	      10	       0
2020_04_15	      47	       6	       0	       0
2020_04_16	      48	       6	       1	       0
2020_04_17	      55	       6	       7	       0
2020_04_18	      57	       6	       2	       0
2020_04_19	      63	       6	       6	       0
2020_04_20	      63	       7	       0	       1
2020_04_21	      65	       7	       2	       0
2020_04_22	      66	       7	       1	       0
2020_04_23	      67	       7	       1	       0
2020_04_24	      67	       7	       0	       0
2020_04_25	      70	       7	       3	       0
2020_04_26	      73	       7	       3	       0
2020_04_27	      74	       8	       1	       1
2020_04_28	      74	       8	       0	       0
2020_04_29	      74	       8	       0	       0
2020_04_30	      75	       8	       1	       0
2020_05_01	      78	       8	       3	       0
2020_05_02	      82	       9	       4	       1
2020_05_03	      82	       9	       0	       0
2020_05_04	      82	       9	       0	       0
2020_05_05	      82	       9	       0	       0
2020_05_06	      92	       9	      10	       0
2020_05_07	      93	      10	       1	       1
2020_05_08	      93	      10	       0	       0
2020_05_09	      93	      10	       0	       0
2020_05_10	      93	      10	       0	       0
2020_05_11	      97	      10	       4	       0
2020_05_12	     104	      10	       7	       0
2020_05_13	     109	      10	       5	       0
2020_05_14	     113	      10	       4	       0
2020_05_15	     113	      10	       0	       0
2020_05_16	     113	      10	       0	       0
2020_05_17	     116	      10	       3	       0
2020_05_18	     117	      10	       1	       0
2020_05_19	     117	      10	       0	       0
2020_05_20	     124	      10	       7	       0
2020_05_21	     125	      10	       1	       0
2020_05_22	     125	      10	       0	       0
2020_05_23	     127	      10	       2	       0
2020_05_24	     127	      10	       0	       0
2020_05_25	     127	      10	       0	       0
2020_05_26	     135	      10	       8	       0
2020_05_27	     137	      11	       2	       1
2020_05_28	     139	      11	       2	       0
2020_05_29	     139	      11	       0	       0
2020_05_30	     150	      11	      11	       0
2020_05_31	     150	      11	       0	       0
2020_06_01	     152	      12	       2	       1
2020_06_02	     153	      12	       1	       0
2020_06_03	     153	      12	       0	       0
2020_06_04	     153	      12	       0	       0
2020_06_05	     153	      12	       0	       0
2020_06_06	     153	      12	       0	       0
2020_06_07	     153	      12	       0	       0
2020_06_08	     154	      12	       1	       0
2020_06_09	     154	      12	       0	       0
2020_06_10	     154	      12	       0	       0
2020_06_11	     156	      12	       2	       0
2020_06_12	     156	      12	       0	       0
2020_06_13	     158	      12	       2	       0
2020_06_14	     159	      12	       1	       0
2020_06_15	     159	      12	       0	       0
2020_06_16	     159	      12	       0	       0
2020_06_17	     159	      12	       0	       0
2020_06_18	     171	      12	      12	       0
