#
# COVID-19 Country file (official WHO count)
# Country = Holy See
# Latitude = 42.0
# Population = 0.801
# Territory = 0.3
# LEB = -999.0
# DPA = -999
# DPA65 = -999
# GDP = -999.0
# GDP_PPP = -999.0
# COVID-19 Mortality = 0.0
# First_Case = 2020_03_07
# Last_Case = 2020_08_23
# Status as of 2020_08_23 = Sporadic cases
#
Date	Conf_Cases	Conf_Deaths
2020_03_07	1	0
2020_03_08	1	0
2020_03_09	1	0
2020_03_10	1	0
2020_03_11	1	0
2020_03_12	1	0
2020_03_13	1	0
2020_03_14	1	0
2020_03_15	1	0
2020_03_16	1	0
2020_03_17	1	0
2020_03_18	1	0
2020_03_19	1	0
2020_03_20	1	0
2020_03_21	1	0
2020_03_22	1	0
2020_03_23	1	0
2020_03_24	1	0
2020_03_25	1	0
2020_03_26	4	0
2020_03_27	4	0
2020_03_28	4	0
2020_03_29	4	0
2020_03_30	6	0
2020_03_31	6	0
2020_04_01	6	0
2020_04_02	6	0
2020_04_03	7	0
2020_04_04	7	0
2020_04_05	7	0
2020_04_06	7	0
2020_04_07	7	0
2020_04_08	7	0
2020_04_09	8	0
2020_04_10	8	0
2020_04_11	8	0
2020_04_12	8	0
2020_04_13	8	0
2020_04_14	8	0
2020_04_15	8	0
2020_04_16	8	0
2020_04_17	8	0
2020_04_18	8	0
2020_04_19	8	0
2020_04_20	8	0
2020_04_21	9	0
2020_04_22	9	0
2020_04_23	9	0
2020_04_24	9	0
2020_04_25	9	0
2020_04_26	9	0
2020_04_27	9	0
2020_04_28	9	0
2020_04_29	10	0
2020_04_30	10	0
2020_05_01	11	0
2020_05_02	11	0
2020_05_03	11	0
2020_05_04	11	0
2020_05_05	11	0
2020_05_06	11	0
2020_05_07	12	0
2020_05_08	12	0
2020_05_09	12	0
2020_05_10	12	0
2020_05_11	12	0
2020_05_12	12	0
2020_05_13	12	0
2020_05_14	12	0
2020_05_15	12	0
2020_05_16	12	0
2020_05_17	12	0
2020_05_18	12	0
2020_05_19	12	0
2020_05_20	12	0
2020_05_21	12	0
2020_05_22	12	0
2020_05_23	12	0
2020_05_24	12	0
2020_05_25	12	0
2020_05_26	12	0
2020_05_27	12	0
2020_05_28	12	0
2020_05_29	12	0
2020_05_30	12	0
2020_05_31	12	0
2020_06_01	12	0
2020_06_02	12	0
2020_06_03	12	0
2020_06_04	12	0
2020_06_05	12	0
2020_06_06	12	0
2020_06_07	12	0
2020_06_08	12	0
2020_06_09	12	0
2020_06_10	12	0
2020_06_11	12	0
2020_06_12	12	0
2020_06_13	12	0
2020_06_14	12	0
2020_06_15	12	0
2020_06_16	12	0
2020_06_17	12	0
2020_06_18	12	0
2020_06_19	12	0
2020_06_20	12	0
2020_06_21	12	0
2020_06_22	12	0
2020_06_23	12	0
2020_06_24	12	0
2020_06_25	12	0
2020_06_26	12	0
2020_06_27	12	0
2020_06_28	12	0
2020_06_29	12	0
2020_06_30	12	0
2020_07_01	12	0
2020_07_02	12	0
2020_07_03	12	0
2020_07_04	12	0
2020_07_05	12	0
2020_07_06	12	0
2020_07_07	12	0
2020_07_08	12	0
2020_07_09	12	0
2020_07_10	12	0
2020_07_11	12	0
2020_07_12	12	0
2020_07_13	12	0
2020_07_14	12	0
2020_07_15	12	0
2020_07_16	12	0
2020_07_17	12	0
2020_07_18	12	0
2020_07_19	12	0
2020_07_20	12	0
2020_07_21	12	0
2020_07_22	12	0
2020_07_23	12	0
2020_07_24	12	0
2020_07_25	12	0
2020_07_26	12	0
2020_07_27	12	0
2020_07_28	12	0
2020_07_29	12	0
2020_07_30	12	0
2020_07_31	12	0
2020_08_01	12	0
2020_08_02	12	0
2020_08_03	12	0
2020_08_04	12	0
2020_08_05	12	0
2020_08_06	12	0
2020_08_07	12	0
2020_08_08	12	0
2020_08_09	12	0
2020_08_10	12	0
2020_08_11	12	0
2020_08_12	12	0
2020_08_13	12	0
2020_08_14	12	0
2020_08_15	12	0
2020_08_16	12	0
2020_08_17	12	0
2020_08_18	12	0
2020_08_19	12	0
2020_08_20	12	0
2020_08_21	12	0
2020_08_22	12	0
2020_08_23	12	0
