#
# COVID-19 Country file (official WHO count)
# Country = Honduras
# Latitude = 14.0
# Population = 9719.265
# Territory = 112492.0
# LEB = 75.3
# DPA = 43000
# DPA65 = 18920
# GDP = 2509.0
# GDP_PPP = 5413.0
# COVID-19 Mortality = 679.0
# First_Case = 2020_03_12
# Last_Case = 2021_06_13
# First_Death = 2020_03_27
# Last_Death = 2021_06_13
# Status as of 2021_06_13 = Community transmission
# Vaccine type = Moderna, Oxford/AstraZeneca
# Vaccine start = 2021_02_28
#
Date	Conf_Cases	Conf_Deaths	Daily_Cases	Daily_Deaths
2020_03_12	       2	       0	       2	       0
2020_03_13	       2	       0	       0	       0
2020_03_14	       2	       0	       0	       0
2020_03_15	       2	       0	       0	       0
2020_03_16	       2	       0	       0	       0
2020_03_17	       8	       0	       6	       0
2020_03_18	       8	       0	       0	       0
2020_03_19	       9	       0	       1	       0
2020_03_20	      12	       0	       3	       0
2020_03_21	      24	       0	      12	       0
2020_03_22	      24	       0	       0	       0
2020_03_23	      26	       0	       2	       0
2020_03_24	      30	       0	       4	       0
2020_03_25	      30	       0	       0	       0
2020_03_26	      52	       0	      22	       0
2020_03_27	      52	       1	       0	       1
2020_03_28	      67	       1	      15	       0
2020_03_29	      67	       1	       0	       0
2020_03_30	     110	       2	      43	       1
2020_03_31	     139	       2	      29	       0
2020_04_01	     139	       2	       0	       0
2020_04_02	     172	      10	      33	       8
2020_04_03	     219	      14	      47	       4
2020_04_04	     222	      15	       3	       1
2020_04_05	     264	      15	      42	       0
2020_04_06	     268	      22	       4	       7
2020_04_07	     298	      22	      30	       0
2020_04_08	     305	      22	       7	       0
2020_04_09	     312	      22	       7	       0
2020_04_10	     343	      23	      31	       1
2020_04_11	     382	      23	      39	       0
2020_04_12	     392	      24	      10	       1
2020_04_13	     393	      25	       1	       1
2020_04_14	     397	      25	       4	       0
2020_04_15	     407	      26	      10	       1
2020_04_16	     419	      31	      12	       5
2020_04_17	     426	      35	       7	       4
2020_04_18	     442	      41	      16	       6
2020_04_19	     457	      46	      15	       5
2020_04_20	     472	      46	      15	       0
2020_04_21	     477	      46	       5	       0
2020_04_22	     494	      46	      17	       0
2020_04_23	     510	      46	      16	       0
2020_04_24	     519	      47	       9	       1
2020_04_25	     562	      47	      43	       0
2020_04_26	     591	      55	      29	       8
2020_04_27	     627	      59	      36	       4
2020_04_28	     661	      61	      34	       2
2020_04_29	     702	      64	      41	       3
2020_04_30	     738	      66	      36	       2
2020_05_01	     771	      71	      33	       5
2020_05_02	     804	      75	      33	       4
2020_05_03	     899	      75	      95	       0
2020_05_04	    1010	      76	     111	       1
2020_05_05	    1055	      82	      45	       6
2020_05_06	    1178	      89	     123	       7
2020_05_07	    1270	      93	      92	       4
2020_05_08	    1461	      99	     191	       6
2020_05_09	    1685	     105	     224	       6
2020_05_10	    1771	     107	      86	       2
2020_05_11	    1830	     108	      59	       1
2020_05_12	    1972	     108	     142	       0
2020_05_13	    2100	     116	     128	       8
2020_05_14	    2080	     121	     -20	       5
2020_05_15	    2255	     123	     175	       2
2020_05_16	    2318	     133	      63	      10
2020_05_17	    2460	     134	     142	       1
2020_05_18	    2565	     138	     105	       4
2020_05_19	    2646	     142	      81	       4
2020_05_20	    2798	     146	     152	       4
2020_05_21	    2955	     147	     157	       1
2020_05_22	    3100	     151	     145	       4
2020_05_23	    3204	     156	     104	       5
2020_05_24	    3477	     167	     273	      11
2020_05_25	    3743	     174	     266	       7
2020_05_26	    3950	     180	     207	       6
2020_05_27	    4189	     182	     239	       2
2020_05_28	    4401	     188	     212	       6
2020_05_29	    4640	     194	     239	       6
2020_05_30	    4752	     196	     112	       2
2020_05_31	    4886	     199	     134	       3
2020_06_01	    5094	     201	     208	       2
2020_06_02	    5202	     212	     108	      11
2020_06_03	    5362	     217	     160	       5
2020_06_04	    5527	     225	     165	       8
2020_06_05	    5690	     234	     163	       9
2020_06_06	    5880	     243	     190	       9
2020_06_07	    5971	     248	      91	       5
2020_06_08	    6155	     250	     184	       2
2020_06_09	    6327	     258	     172	       8
2020_06_10	    6450	     262	     123	       4
2020_06_11	    6935	     271	     485	       9
2020_06_12	    7360	     290	     425	      19
2020_06_13	    7669	     294	     309	       4
2020_06_14	    8132	     306	     463	      12
2020_06_15	    8455	     310	     323	       4
2020_06_16	    8858	     312	     403	       2
2020_06_17	    9178	     322	     320	      10
2020_06_18	    9656	     330	     478	       8
2020_06_19	   10299	     336	     643	       6
2020_06_20	   10739	     343	     440	       7
2020_06_21	   11258	     349	     519	       6
2020_06_22	   12306	     358	    1048	       9
2020_06_23	   12825	     363	     519	       5
2020_06_24	   13356	     395	     531	      32
2020_06_25	   13943	     405	     587	      10
2020_06_26	   14571	     417	     628	      12
2020_06_27	   15366	     426	     795	       9
2020_06_28	   15994	     471	     628	      45
2020_06_29	   17007	     479	    1013	       8
2020_06_30	   18082	     479	    1075	       0
2020_07_01	   18818	     485	     736	       6
2020_07_02	   19558	     497	     740	      12
2020_07_03	   20262	     542	     704	      45
2020_07_04	   21120	     591	     858	      49
2020_07_05	   22116	     605	     996	      14
2020_07_06	   22921	     629	     805	      24
2020_07_07	   23943	     639	    1022	      10
2020_07_08	   24665	     656	     722	      17
2020_07_09	   25428	     677	     763	      21
2020_07_10	   25978	     694	     550	      17
2020_07_11	   26384	     704	     406	      10
2020_07_12	   27053	     750	     669	      46
2020_07_13	   27583	     771	     530	      21
2020_07_14	   28090	     774	     507	       3
2020_07_15	   28579	     789	     489	      15
2020_07_16	   29106	     807	     527	      18
2020_07_17	   30036	     825	     930	      18
2020_07_18	   30867	     835	     831	      10
