#
# COVID-19 Country file (official WHO count)
# Country = India
# Latitude = 29.0
# Population = 1383197.753
# Territory = 3287263.0
# LEB = 69.7
# DPA = 9926000
# DPA65 = 4863740
# GDP = 2035.0
# GDP_PPP = 7997.0
# COVID-19 Mortality = 267.8
# First_Case = 2020_01_30
# Last_Case = 2021_06_13
# First_Death = 2020_03_13
# Last_Death = 2021_06_13
# Status as of 2021_06_13 = Clusters of cases
# Vaccine type = Covaxin, Oxford/AstraZeneca
# Vaccine start = 2021_01_15
#
Date	Conf_Cases	Conf_Deaths	Daily_Cases	Daily_Deaths
2020_01_30	       1	       0	       1	       0
2020_01_31	       1	       0	       0	       0
2020_02_01	       1	       0	       0	       0
2020_02_02	       2	       0	       1	       0
2020_02_03	       3	       0	       1	       0
2020_02_04	       3	       0	       0	       0
2020_02_05	       3	       0	       0	       0
2020_02_06	       3	       0	       0	       0
2020_02_07	       3	       0	       0	       0
2020_02_08	       3	       0	       0	       0
2020_02_09	       3	       0	       0	       0
2020_02_10	       3	       0	       0	       0
2020_02_11	       3	       0	       0	       0
2020_02_12	       3	       0	       0	       0
2020_02_13	       3	       0	       0	       0
2020_02_14	       3	       0	       0	       0
2020_02_15	       3	       0	       0	       0
2020_02_16	       3	       0	       0	       0
2020_02_17	       3	       0	       0	       0
2020_02_18	       3	       0	       0	       0
2020_02_19	       3	       0	       0	       0
2020_02_20	       3	       0	       0	       0
2020_02_21	       3	       0	       0	       0
2020_02_22	       3	       0	       0	       0
2020_02_23	       3	       0	       0	       0
2020_02_24	       3	       0	       0	       0
2020_02_25	       3	       0	       0	       0
2020_02_26	       3	       0	       0	       0
2020_02_27	       3	       0	       0	       0
2020_02_28	       3	       0	       0	       0
2020_02_29	       3	       0	       0	       0
2020_03_01	       3	       0	       0	       0
2020_03_02	       3	       0	       0	       0
2020_03_03	       5	       0	       2	       0
2020_03_04	       6	       0	       1	       0
2020_03_05	      29	       0	      23	       0
2020_03_06	      30	       0	       1	       0
2020_03_07	      31	       0	       1	       0
2020_03_08	      34	       0	       3	       0
2020_03_09	      43	       0	       9	       0
2020_03_10	      44	       0	       1	       0
2020_03_11	      60	       0	      16	       0
