#
# COVID-19 Country file (official WHO count)
# Country = Iran (Islamic Republic of)
# Latitude = 36.0
# Population = 83587.129
# Territory = 1648195.0
# LEB = 76.7
# DPA = 401000
# DPA65 = 280700
# GDP = 5605.0
# GDP_PPP = 18916.0
# COVID-19 Mortality = 245.3
# First_Case = 2020_02_20
# First_Death = 2020_02_20
# Last_Case = 2020_02_20
# Last_Death = 2020_02_20
# Status as of 2020_08_23 = Community transmission
#
Date	Conf_Cases	Conf_Deaths
2020_02_20	2	2
2020_02_21	3	2
2020_02_22	18	4
2020_02_23	28	5
2020_02_24	43	8
2020_02_25	61	12
2020_02_26	95	15
2020_02_27	141	22
2020_02_28	245	26
2020_02_29	388	34
2020_03_01	593	43
2020_03_02	978	54
2020_03_03	1501	66
2020_03_04	2336	77
2020_03_05	2922	92
2020_03_06	3513	107
2020_03_07	4747	124
2020_03_08	5823	145
2020_03_09	6566	194
2020_03_10	7161	237
2020_03_11	8042	291
2020_03_12	9000	354
2020_03_13	10075	429
2020_03_14	11364	514
2020_03_15	12729	608
2020_03_16	14991	853
2020_03_17	14991	853
2020_03_18	16169	988
2020_03_19	17361	1135
2020_03_20	18407	1284
2020_03_21	19644	1433
2020_03_22	20610	1556
2020_03_23	21638	1685
2020_03_24	23049	1812
2020_03_25	24811	1934
2020_03_26	27017	2077
2020_03_27	29406	2234
2020_03_28	32332	2378
2020_03_29	35408	2517
2020_03_30	38309	2640
2020_03_31	41495	2757
2020_04_01	44606	2898
2020_04_02	47593	3036
2020_04_03	50468	3160
2020_04_04	53183	3294
2020_04_05	55743	3452
2020_04_06	58226	3603
2020_04_07	60500	3739
2020_04_08	62589	3872
2020_04_09	64586	3993
2020_04_10	66220	4110
2020_04_11	68192	4232
2020_04_12	70029	4357
2020_04_13	71686	4474
2020_04_14	73303	4585
2020_04_15	74877	4683
2020_04_16	76389	4777
2020_04_17	77995	4869
2020_04_18	79494	4958
2020_04_19	80868	5031
2020_04_20	82211	5118
2020_04_21	83505	5209
2020_04_22	84802	5297
2020_04_23	85996	5391
2020_04_24	87026	5481
2020_04_25	88194	5574
2020_04_26	89328	5650
2020_04_27	90481	5710
2020_04_28	91472	5806
2020_04_29	92584	5877
2020_04_30	93657	5957
2020_05_01	94640	6028
2020_05_02	95646	6091
2020_05_03	96448	6156
2020_05_04	97424	6203
2020_05_05	98647	6277
2020_05_06	99970	6340
2020_05_07	101650	6418
2020_05_08	103135	6486
2020_05_09	104691	6541
2020_05_10	106220	6589
2020_05_11	107603	6640
2020_05_12	109286	6685
2020_05_13	110767	6733
2020_05_14	112725	6783
2020_05_15	114533	6854
2020_05_16	116635	6902
2020_05_17	118392	6937
2020_05_18	120198	6988
2020_05_19	122492	7057
2020_05_20	124603	7119
2020_05_21	126949	7183
2020_05_22	129341	7249
2020_05_23	131652	7300
2020_05_24	133521	7359
2020_05_25	135701	7417
2020_05_26	137724	7451
2020_05_27	139511	7508
2020_05_28	141591	7564
2020_05_29	143849	7627
2020_05_30	146668	7677
2020_05_31	148950	7734
2020_06_01	151466	7797
2020_06_02	154445	7878
2020_06_03	157562	7942
2020_06_04	160696	8012
2020_06_05	164270	8071
2020_06_06	167156	8134
2020_06_07	169425	8209
2020_06_08	171789	8281
2020_06_09	173832	8351
2020_06_10	175927	8425
2020_06_11	177938	8506
2020_06_12	180176	8584
2020_06_13	182545	8659
2020_06_14	184955	8730
2020_06_15	187427	8837
2020_06_16	189876	8950
2020_06_17	192439	9065
2020_06_18	195051	9185
2020_06_19	197647	9272
2020_06_20	200262	9392
2020_06_21	202584	9507
2020_06_22	204952	9623
2020_06_23	207525	9742
2020_06_24	209970	9863
2020_06_25	212501	9996
2020_06_26	215096	10130
2020_06_27	217724	10239
2020_06_28	220180	10364
2020_06_29	222669	10508
2020_06_30	225205	10670
2020_07_01	227662	10817
2020_07_02	230211	10958
2020_07_03	232863	11106
2020_07_04	235429	11260
2020_07_05	237878	11408
2020_07_06	240438	11571
2020_07_07	243051	11731
2020_07_08	245688	11931
2020_07_09	248379	12084
2020_07_10	250458	12305
2020_07_11	252720	12447
2020_07_12	255117	12635
2020_07_13	257303	12829
2020_07_14	259652	13032
2020_07_15	262173	13211
2020_07_16	264561	13410
2020_07_17	267061	13608
2020_07_18	269440	13791
2020_07_19	271606	13979
2020_07_20	273788	14188
2020_07_21	276202	14405
2020_07_22	278827	14634
2020_07_23	281413	14853
2020_07_24	284034	15074
2020_07_25	286523	15289
2020_07_26	286523	15289
2020_07_27	291172	15700
2020_07_28	293606	15912
2020_07_29	296273	16147
2020_07_30	298909	16343
2020_07_31	301530	16569
2020_08_01	304204	16766
2020_08_02	306752	16982
2020_08_03	309437	17190
2020_08_04	312035	17405
2020_08_05	314786	17617
2020_08_06	317483	17802
2020_08_07	320117	17976
2020_08_08	322567	18132
2020_08_09	324692	18264
2020_08_10	326712	18427
2020_08_11	328844	18616
2020_08_12	331189	18800
2020_08_13	333699	18988
2020_08_14	336324	19162
2020_08_15	338825	19331
2020_08_16	341070	19492
2020_08_17	343316	19636
2020_08_18	345562	19780
2020_08_19	347808	19924
2020_08_20	350054	20068
2020_08_21	352300	20212
2020_08_22	354546	20356
2020_08_23	356792	20502
