#
# COVID-19 Country file (official WHO count)
# Country = Iraq
# Latitude = 33.0
# Population = 41502.885
# Territory = 438317.0
# LEB = 70.6
# DPA = 186000
# DPA65 = 78120
# GDP = 5443.0
# GDP_PPP = 17730.0
# COVID-19 Mortality = 402.1
# First_Case = 2020_02_25
# Last_Case = 2021_06_13
# First_Death = 2020_03_05
# Last_Death = 2021_06_13
# Status as of 2021_06_13 = Community transmission
# Vaccine type = Unknown
# Vaccine start = NA
#
Date	Conf_Cases	Conf_Deaths	Daily_Cases	Daily_Deaths
2020_02_25	       1	       0	       1	       0
2020_02_26	       5	       0	       4	       0
2020_02_27	       6	       0	       1	       0
2020_02_28	       7	       0	       1	       0
2020_02_29	       8	       0	       1	       0
2020_03_01	      13	       0	       5	       0
2020_03_02	      19	       0	       6	       0
2020_03_03	      26	       0	       7	       0
2020_03_04	      31	       0	       5	       0
2020_03_05	      36	       2	       5	       2
2020_03_06	      36	       2	       0	       0
2020_03_07	      44	       4	       8	       2
2020_03_08	      54	       4	      10	       0
2020_03_09	      60	       6	       6	       2
2020_03_10	      61	       6	       1	       0
2020_03_11	      61	       6	       0	       0
2020_03_12	      70	       7	       9	       1
2020_03_13	      70	       7	       0	       0
2020_03_14	      93	       9	      23	       2
2020_03_15	      93	       9	       0	       0
2020_03_16	     124	       9	      31	       0
2020_03_17	     124	       9	       0	       0
2020_03_18	     154	      11	      30	       2
2020_03_19	     164	      12	      10	       1
2020_03_20	     177	      12	      13	       0
2020_03_21	     193	      14	      16	       2
2020_03_22	     214	      17	      21	       3
2020_03_23	     233	      20	      19	       3
2020_03_24	     266	      23	      33	       3
2020_03_25	     316	      27	      50	       4
2020_03_26	     346	      29	      30	       2
2020_03_27	     382	      36	      36	       7
2020_03_28	     458	      40	      76	       4
2020_03_29	     506	      42	      48	       2
2020_03_30	     547	      42	      41	       0
2020_03_31	     630	      46	      83	       4
2020_04_01	     694	      50	      64	       4
2020_04_02	     728	      52	      34	       2
2020_04_03	     772	      54	      44	       2
2020_04_04	     820	      54	      48	       0
2020_04_05	     878	      56	      58	       2
2020_04_06	     961	      61	      83	       5
2020_04_07	    1031	      64	      70	       3
2020_04_08	    1122	      65	      91	       1
2020_04_09	    1202	      69	      80	       4
2020_04_10	    1232	      69	      30	       0
2020_04_11	    1280	      71	      48	       2
2020_04_12	    1318	      72	      38	       1
2020_04_13	    1352	      76	      34	       4
2020_04_14	    1378	      78	      26	       2
2020_04_15	    1400	      78	      22	       0
2020_04_16	    1415	      79	      15	       1
2020_04_17	    1434	      80	      19	       1
2020_04_18	    1482	      81	      48	       1
2020_04_19	    1513	      82	      31	       1
2020_04_20	    1539	      82	      26	       0
2020_04_21	    1574	      82	      35	       0
2020_04_22	    1602	      83	      28	       1
2020_04_23	    1631	      83	      29	       0
2020_04_24	    1677	      83	      46	       0
2020_04_25	    1708	      86	      31	       3
2020_04_26	    1763	      86	      55	       0
2020_04_27	    1820	      87	      57	       1
2020_04_28	    1847	      88	      27	       1
2020_04_29	    1928	      90	      81	       2
2020_04_30	    2003	      92	      75	       2
2020_05_01	    2085	      93	      82	       1
2020_05_02	    2153	      94	      68	       1
2020_05_03	    2219	      95	      66	       1
2020_05_04	    2219	      95	       0	       0
2020_05_05	    2346	      98	     127	       3
2020_05_06	    2431	     102	      85	       4
2020_05_07	    2480	     102	      49	       0
2020_05_08	    2543	     102	      63	       0
2020_05_09	    2603	     104	      60	       2
2020_05_10	    2679	     107	      76	       3
2020_05_11	    2767	     109	      88	       2
2020_05_12	    2818	     110	      51	       1
2020_05_13	    2913	     112	      95	       2
2020_05_14	    3032	     115	     119	       3
2020_05_15	    3143	     115	     111	       0
2020_05_16	    3193	     117	      50	       2
2020_05_17	    3260	     121	      67	       4
2020_05_18	    3404	     123	     144	       2
2020_05_19	    3554	     127	     150	       4
2020_05_20	    3611	     131	      57	       4
