#
# COVID-19 Country file (official WHO count)
# Country = Ireland
# Latitude = 53.0
# Population = 4887.992
# Territory = 70273.0
# LEB = 82.3
# DPA = 30000
# DPA65 = 24000
# GDP = 75394.0
# GDP_PPP = 80930.0
# COVID-19 Mortality = 363.5
# First_Case = 2020_03_01
# First_Death = 2020_03_12
# Last_Case = 2020_03_12
# Last_Death = 2020_03_12
# Status as of 2020_08_23 = Clusters of cases
#
Date	Conf_Cases	Conf_Deaths
2020_03_01	1	0
2020_03_02	1	0
2020_03_03	1	0
2020_03_04	2	0
2020_03_05	2	0
2020_03_06	14	0
2020_03_07	18	0
2020_03_08	19	0
2020_03_09	21	0
2020_03_10	24	0
2020_03_11	34	0
2020_03_12	43	1
2020_03_13	70	1
2020_03_14	90	1
2020_03_15	129	2
2020_03_16	169	2
2020_03_17	223	2
2020_03_18	292	2
2020_03_19	292	2
2020_03_20	557	3
2020_03_21	683	3
2020_03_22	785	3
2020_03_23	906	4
2020_03_24	1125	6
2020_03_25	1329	7
2020_03_26	1564	9
2020_03_27	1819	19
2020_03_28	2121	22
2020_03_29	2415	36
2020_03_30	2615	46
2020_03_31	2910	54
2020_04_01	3235	71
2020_04_02	3447	85
2020_04_03	3849	98
2020_04_04	4273	120
2020_04_05	4604	137
2020_04_06	5111	158
2020_04_07	5364	174
2020_04_08	5709	210
2020_04_09	6224	235
2020_04_10	7393	263
2020_04_11	8089	287
2020_04_12	8928	320
2020_04_13	9655	334
2020_04_14	10647	365
2020_04_15	11479	406
2020_04_16	12547	444
2020_04_17	13271	486
2020_04_18	13980	530
2020_04_19	14758	571
2020_04_20	15251	610
2020_04_21	15652	687
2020_04_22	16040	730
2020_04_23	16671	769
2020_04_24	17607	794
2020_04_25	18184	829
2020_04_26	18561	1063
2020_04_27	19262	1087
2020_04_28	19648	1102
2020_04_29	19877	1159
2020_04_30	20253	1190
2020_05_01	20612	1232
2020_05_02	20833	1265
2020_05_03	21176	1265
2020_05_04	21506	1303
2020_05_05	21722	1319
2020_05_06	21983	1339
2020_05_07	22248	1375
2020_05_08	22385	1403
2020_05_09	22541	1429
2020_05_10	22760	1446
2020_05_11	22996	1458
2020_05_12	23135	1467
2020_05_13	23242	1488
2020_05_14	23401	1497
2020_05_15	23827	1506
2020_05_16	23956	1518
2020_05_17	24048	1533
2020_05_18	24112	1543
2020_05_19	24200	1547
2020_05_20	24251	1561
2020_05_21	24315	1571
2020_05_22	24391	1583
2020_05_23	24506	1592
2020_05_24	24582	1604
2020_05_25	24639	1608
2020_05_26	24698	1606
2020_05_27	24735	1615
2020_05_28	24803	1631
2020_05_29	24841	1639
2020_05_30	24876	1645
2020_05_31	24929	1651
2020_06_01	24990	1652
2020_06_02	25062	1650
2020_06_03	25066	1658
2020_06_04	25111	1659
2020_06_05	25142	1664
2020_06_06	25163	1670
2020_06_07	25183	1670
2020_06_08	25201	1679
2020_06_09	25207	1683
2020_06_10	25215	1691
2020_06_11	25231	1695
2020_06_12	25238	1703
2020_06_13	25250	1705
2020_06_14	25295	1705
2020_06_15	25303	1706
2020_06_16	25321	1706
2020_06_17	25334	1709
2020_06_18	25341	1710
2020_06_19	25355	1714
2020_06_20	25368	1714
2020_06_21	25374	1715
2020_06_22	25379	1715
2020_06_23	25383	1717
2020_06_24	25391	1720
2020_06_25	25396	1726
2020_06_26	25405	1727
2020_06_27	25414	1730
2020_06_28	25437	1734
2020_06_29	25439	1735
2020_06_30	25462	1735
2020_07_01	25473	1736
2020_07_02	25477	1738
2020_07_03	25489	1738
2020_07_04	25498	1740
2020_07_05	25509	1741
2020_07_06	25527	1741
2020_07_07	25531	1741
2020_07_08	25538	1743
2020_07_09	25542	1743
2020_07_10	25565	1743
2020_07_11	25589	1744
2020_07_12	25611	1746
2020_07_13	25628	1746
2020_07_14	25638	1746
2020_07_15	25670	1746
2020_07_16	25683	1748
2020_07_17	25698	1749
2020_07_18	25730	1752
2020_07_19	25750	1753
2020_07_20	25760	1753
2020_07_21	25766	1753
2020_07_22	25802	1753
2020_07_23	25819	1754
2020_07_24	25826	1763
2020_07_25	25845	1763
2020_07_26	25845	1763
2020_07_27	25881	1764
2020_07_28	25892	1764
2020_07_29	25929	1764
2020_07_30	25942	1764
2020_07_31	26027	1763
2020_08_01	26065	1763
2020_08_02	26109	1763
2020_08_03	26162	1763
2020_08_04	26208	1763
2020_08_05	26253	1763
2020_08_06	26303	1763
2020_08_07	26372	1768
2020_08_08	26470	1772
2020_08_09	26644	1772
2020_08_10	26712	1772
2020_08_11	26768	1772
2020_08_12	26801	1773
2020_08_13	26838	1774
2020_08_14	26929	1774
2020_08_15	26955	1774
2020_08_16	27191	1774
2020_08_17	27293	1774
2020_08_18	27395	1774
2020_08_19	27497	1774
2020_08_20	27599	1774
2020_08_21	27701	1774
2020_08_22	27803	1774
2020_08_23	27908	1777
