#
# COVID-19 Country file (official WHO count)
# Country = Isle of Man
# Latitude = 54.0
# Population = 85.895
# Territory = 572.0
# LEB = -999.0
# DPA = -999
# DPA65 = -999
# GDP = 80989.0
# GDP_PPP = 84600.0
# COVID-19 Mortality = 337.6
# First_Case = 2020_03_21
# Last_Case = 2021_06_13
# First_Death = 2020_04_03
# Last_Death = 2021_04_04
# Status as of 2021_06_13 = No cases
# Vaccine type = Oxford/AstraZeneca, Pfizer/BioNTech
# Vaccine start = 2021_01_25
#
Date	Conf_Cases	Conf_Deaths	Daily_Cases	Daily_Deaths
2020_03_21	       1	       0	       1	       0
2020_03_22	       2	       0	       1	       0
2020_03_23	       2	       0	       0	       0
2020_03_24	      13	       0	      11	       0
2020_03_25	      23	       0	      10	       0
2020_03_26	      23	       0	       0	       0
2020_03_27	      26	       0	       3	       0
2020_03_28	      29	       0	       3	       0
2020_03_29	      32	       0	       3	       0
2020_03_30	      42	       0	      10	       0
2020_03_31	      42	       0	       0	       0
2020_04_01	      52	       0	      10	       0
2020_04_02	      65	       0	      13	       0
2020_04_03	      71	       1	       6	       1
2020_04_04	     114	       1	      43	       0
2020_04_05	     126	       1	      12	       0
2020_04_06	     127	       1	       1	       0
2020_04_07	     127	       1	       0	       0
2020_04_08	     150	       1	      23	       0
2020_04_09	     150	       1	       0	       0
2020_04_10	     165	       1	      15	       0
2020_04_11	     190	       1	      25	       0
2020_04_12	     204	       1	      14	       0
2020_04_13	     226	       1	      22	       0
2020_04_14	     228	       2	       2	       1
2020_04_15	     242	       2	      14	       0
2020_04_16	     254	       2	      12	       0
2020_04_17	     258	       4	       4	       2
2020_04_18	     289	       4	      31	       0
2020_04_19	     291	       4	       2	       0
2020_04_20	     297	       4	       6	       0
2020_04_21	     297	       4	       0	       0
2020_04_22	     307	      10	      10	       6
2020_04_23	     307	      10	       0	       0
2020_04_24	     307	      16	       0	       6
2020_04_25	     308	      17	       1	       1
2020_04_26	     308	      18	       0	       1
2020_04_27	     308	      18	       0	       0
2020_04_28	     308	      18	       0	       0
2020_04_29	     308	      20	       0	       2
2020_04_30	     309	      21	       1	       1
2020_05_01	     311	      22	       2	       1
2020_05_02	     311	      22	       0	       0
2020_05_03	     315	      23	       4	       1
2020_05_04	     320	      23	       5	       0
2020_05_05	     321	      23	       1	       0
2020_05_06	     325	      23	       4	       0
2020_05_07	     326	      23	       1	       0
2020_05_08	     327	      23	       1	       0
2020_05_09	     329	      23	       2	       0
2020_05_10	     329	      23	       0	       0
2020_05_11	     330	      23	       1	       0
2020_05_12	     330	      23	       0	       0
2020_05_13	     330	      23	       0	       0
2020_05_14	     331	      23	       1	       0
2020_05_15	     331	      23	       0	       0
2020_05_16	     333	      24	       2	       1
2020_05_17	     334	      24	       1	       0
2020_05_18	     335	      24	       1	       0
2020_05_19	     335	      24	       0	       0
2020_05_20	     335	      24	       0	       0
2020_05_21	     335	      24	       0	       0
2020_05_22	     336	      24	       1	       0
2020_05_23	     336	      24	       0	       0
2020_05_24	     336	      24	       0	       0
2020_05_25	     336	      24	       0	       0
2020_05_26	     336	      24	       0	       0
2020_05_27	     336	      24	       0	       0
2020_05_28	     336	      24	       0	       0
2020_05_29	     336	      24	       0	       0
2020_05_30	     336	      24	       0	       0
2020_05_31	     336	      24	       0	       0
2020_06_01	     336	      24	       0	       0
2020_06_02	     336	      24	       0	       0
2020_06_03	     336	      24	       0	       0
2020_06_04	     336	      24	       0	       0
2020_06_05	     336	      24	       0	       0
