#
# COVID-19 Country file (official WHO count)
# Country = Italy
# Latitude = 42.0
# Population = 59132.073
# Territory = 301336.0
# LEB = 83.5
# DPA = 642000
# DPA65 = 571380
# GDP = 33392.0
# GDP_PPP = 40504.0
# COVID-19 Mortality = 2147.3
# First_Case = 2020_01_31
# Last_Case = 2021_06_13
# First_Death = 2020_02_23
# Last_Death = 2021_06_13
# Status as of 2021_06_13 = Clusters of cases
# Vaccine type = Moderna, Oxford/AstraZeneca, Pfizer/BioNTech
# Vaccine start = 2020_12_27
#
Date	Conf_Cases	Conf_Deaths	Daily_Cases	Daily_Deaths
2020_01_31	       2	       0	       2	       0
2020_02_01	       2	       0	       0	       0
2020_02_02	       2	       0	       0	       0
2020_02_03	       2	       0	       0	       0
2020_02_04	       2	       0	       0	       0
2020_02_05	       2	       0	       0	       0
2020_02_06	       2	       0	       0	       0
2020_02_07	       3	       0	       1	       0
2020_02_08	       3	       0	       0	       0
2020_02_09	       3	       0	       0	       0
2020_02_10	       3	       0	       0	       0
2020_02_11	       3	       0	       0	       0
2020_02_12	       3	       0	       0	       0
2020_02_13	       3	       0	       0	       0
2020_02_14	       3	       0	       0	       0
2020_02_15	       3	       0	       0	       0
2020_02_16	       3	       0	       0	       0
2020_02_17	       3	       0	       0	       0
2020_02_18	       3	       0	       0	       0
2020_02_19	       3	       0	       0	       0
2020_02_20	       3	       0	       0	       0
2020_02_21	       3	       0	       0	       0
2020_02_22	       9	       0	       6	       0
2020_02_23	      76	       2	      67	       2
2020_02_24	     124	       2	      48	       0
2020_02_25	     229	       6	     105	       4
2020_02_26	     322	      11	      93	       5
2020_02_27	     400	      12	      78	       1
2020_02_28	     650	      17	     250	       5
2020_02_29	     888	      21	     238	       4
2020_03_01	    1128	      29	     240	       8
2020_03_02	    1689	      35	     561	       6
2020_03_03	    2036	      52	     347	      17
2020_03_04	    2502	      80	     466	      28
2020_03_05	    3089	     107	     587	      27
2020_03_06	    3858	     148	     769	      41
2020_03_07	    4636	     197	     778	      49
2020_03_08	    5883	     234	    1247	      37
2020_03_09	    7375	     366	    1492	     132
2020_03_10	    9172	     463	    1797	      97
2020_03_11	   10149	     631	     977	     168
2020_03_12	   12462	     827	    2313	     196
2020_03_13	   15113	    1016	    2651	     189
2020_03_14	   17660	    1268	    2547	     252
2020_03_15	   21157	    1441	    3497	     173
2020_03_16	   24747	    1809	    3590	     368
2020_03_17	   27980	    2503	    3233	     694
2020_03_18	   31506	    2503	    3526	       0
2020_03_19	   35713	    2978	    4207	     475
2020_03_20	   41035	    3407	    5322	     429
2020_03_21	   47021	    4032	    5986	     625
2020_03_22	   53578	    4827	    6557	     795
2020_03_23	   59138	    5476	    5560	     649
2020_03_24	   63927	    6077	    4789	     601
2020_03_25	   69176	    6820	    5249	     743
2020_03_26	   74386	    7505	    5210	     685
2020_03_27	   80539	    8165	    6153	     660
2020_03_28	   86498	    9136	    5959	     971
2020_03_29	   92472	   10023	    5974	     887
2020_03_30	   97689	   10781	    5217	     758
2020_03_31	  101739	   11591	    4050	     810
2020_04_01	  105792	   12430	    4053	     839
2020_04_02	  110574	   13157	    4782	     727
2020_04_03	  115242	   13917	    4668	     760
2020_04_04	  119827	   14681	    4585	     764
2020_04_05	  124632	   15362	    4805	     681
2020_04_06	  128948	   15889	    4316	     527
2020_04_07	  132547	   16525	    3599	     636
2020_04_08	  135586	   17129	    3039	     604
2020_04_09	  139422	   17669	    3836	     540
2020_04_10	  143626	   18281	    4204	     612
2020_04_11	  147577	   18851	    3951	     570
2020_04_12	  152271	   19470	    4694	     619
2020_04_13	  156363	   19901	    4092	     431
2020_04_14	  159516	   20465	    3153	     564
2020_04_15	  162488	   21069	    2972	     604
2020_04_16	  165155	   21647	    2667	     578
2020_04_17	  168941	   22172	    3786	     525
2020_04_18	  172434	   22747	    3493	     575
2020_04_19	  175925	   23227	    3491	     480
2020_04_20	  178972	   23660	    3047	     433
2020_04_21	  181228	   24114	    2256	     454
2020_04_22	  183957	   24648	    2729	     534
2020_04_23	  187327	   25085	    3370	     437
2020_04_24	  189973	   25549	    2646	     464
2020_04_25	  192994	   25969	    3021	     420
2020_04_26	  195351	   26384	    2357	     415
2020_04_27	  197675	   26644	    2324	     260
2020_04_28	  199414	   26977	    1739	     333
2020_04_29	  201505	   27359	    2091	     382
2020_04_30	  203591	   27682	    2086	     323
2020_05_01	  205463	   27967	    1872	     285
2020_05_02	  207428	   28236	    1965	     269
