#
# COVID-19 Country file (official WHO count)
# Country = Jamaica
# Latitude = 18.0
# Population = 2913.160
# Territory = 10991.0
# LEB = 74.5
# DPA = 22000
# DPA65 = 14300
# GDP = 5315.0
# GDP_PPP = 9486.0
# COVID-19 Mortality = 341.9
# First_Case = 2020_03_11
# Last_Case = 2021_06_13
# First_Death = 2020_03_20
# Last_Death = 2021_06_13
# Status as of 2021_06_13 = Community transmission
# Vaccine type = Oxford/AstraZeneca
# Vaccine start = 2021_03_09
#
Date	Conf_Cases	Conf_Deaths	Daily_Cases	Daily_Deaths
2020_03_11	       1	       0	       1	       0
2020_03_12	       1	       0	       0	       0
2020_03_13	       1	       0	       0	       0
2020_03_14	       7	       0	       6	       0
2020_03_15	       8	       0	       1	       0
2020_03_16	      10	       0	       2	       0
2020_03_17	      10	       0	       0	       0
2020_03_18	      12	       0	       2	       0
2020_03_19	      13	       0	       1	       0
2020_03_20	      15	       1	       2	       1
2020_03_21	      16	       1	       1	       0
2020_03_22	      16	       1	       0	       0
2020_03_23	      19	       1	       3	       0
2020_03_24	      19	       1	       0	       0
2020_03_25	      21	       1	       2	       0
2020_03_26	      26	       1	       5	       0
2020_03_27	      26	       1	       0	       0
2020_03_28	      26	       1	       0	       0
2020_03_29	      30	       1	       4	       0
2020_03_30	      32	       1	       2	       0
2020_03_31	      36	       1	       4	       0
2020_04_01	      36	       1	       0	       0
2020_04_02	      38	       1	       2	       0
2020_04_03	      44	       3	       6	       2
2020_04_04	      47	       3	       3	       0
2020_04_05	      53	       3	       6	       0
2020_04_06	      55	       3	       2	       0
2020_04_07	      58	       3	       3	       0
2020_04_08	      59	       3	       1	       0
2020_04_09	      63	       3	       4	       0
2020_04_10	      63	       4	       0	       1
2020_04_11	      63	       4	       0	       0
2020_04_12	      65	       4	       2	       0
2020_04_13	      69	       4	       4	       0
2020_04_14	      72	       4	       3	       0
2020_04_15	      73	       4	       1	       0
2020_04_16	     105	       5	      32	       1
2020_04_17	     125	       5	      20	       0
2020_04_18	     143	       5	      18	       0
2020_04_19	     163	       5	      20	       0
2020_04_20	     173	       5	      10	       0
2020_04_21	     196	       5	      23	       0
2020_04_22	     223	       6	      27	       1
2020_04_23	     233	       6	      10	       0
2020_04_24	     243	       6	      10	       0
2020_04_25	     257	       7	      14	       1
2020_04_26	     288	       7	      31	       0
2020_04_27	     305	       7	      17	       0
2020_04_28	     305	       7	       0	       0
2020_04_29	     364	       7	      59	       0
2020_04_30	     381	       7	      17	       0
2020_05_01	     396	       7	      15	       0
2020_05_02	     422	       8	      26	       1
2020_05_03	     432	       8	      10	       0
2020_05_04	     463	       8	      31	       0
2020_05_05	     469	       9	       6	       1
2020_05_06	     471	       9	       2	       0
2020_05_07	     473	       9	       2	       0
2020_05_08	     478	       9	       5	       0
2020_05_09	     488	       9	      10	       0
2020_05_10	     490	       9	       2	       0
2020_05_11	     498	       9	       8	       0
2020_05_12	     502	       9	       4	       0
2020_05_13	     505	       9	       3	       0
2020_05_14	     507	       9	       2	       0
2020_05_15	     509	       9	       2	       0
2020_05_16	     509	       9	       0	       0
2020_05_17	     511	       9	       2	       0
2020_05_18	     517	       9	       6	       0
2020_05_19	     520	       9	       3	       0
2020_05_20	     520	       9	       0	       0
2020_05_21	     520	       9	       0	       0
2020_05_22	     529	       9	       9	       0
2020_05_23	     534	       9	       5	       0
2020_05_24	     544	       9	      10	       0
2020_05_25	     550	       9	       6	       0
2020_05_26	     552	       9	       2	       0
2020_05_27	     556	       9	       4	       0
2020_05_28	     564	       9	       8	       0
2020_05_29	     569	       9	       5	       0
2020_05_30	     569	       9	       0	       0
2020_05_31	     575	       9	       6	       0
2020_06_01	     581	       9	       6	       0
2020_06_02	     581	       9	       0	       0
2020_06_03	     588	       9	       7	       0
2020_06_04	     590	       9	       2	       0
2020_06_05	     590	       9	       0	       0
2020_06_06	     591	      10	       1	       1
2020_06_07	     595	      10	       4	       0
2020_06_08	     596	      10	       1	       0
2020_06_09	     598	      10	       2	       0
2020_06_10	     598	      10	       0	       0
2020_06_11	     598	      10	       0	       0
2020_06_12	     598	      10	       0	       0
2020_06_13	     611	      10	      13	       0
2020_06_14	     614	      10	       3	       0
2020_06_15	     615	      10	       1	       0
2020_06_16	     617	      10	       2	       0
2020_06_17	     621	      10	       4	       0
2020_06_18	     621	      10	       0	       0
2020_06_19	     626	      10	       5	       0
2020_06_20	     638	      10	      12	       0
2020_06_21	     652	      10	      14	       0
2020_06_22	     657	      10	       5	       0
2020_06_23	     659	      10	       2	       0
2020_06_24	     665	      10	       6	       0
2020_06_25	     670	      10	       5	       0
2020_06_26	     678	      10	       8	       0
2020_06_27	     684	      10	       6	       0
2020_06_28	     686	      10	       2	       0
2020_06_29	     686	      10	       0	       0
2020_06_30	     696	      10	      10	       0
2020_07_01	     698	      10	       2	       0
2020_07_02	     702	      10	       4	       0
