#
# COVID-19 Country file (official WHO count)
# Country = Japan
# Latitude = 36.0
# Population = 126495.647
# Territory = 377930.0
# LEB = 84.6
# DPA = 1361000
# DPA65 = 1224900
# GDP = 39452.0
# GDP_PPP = 44108.0
# COVID-19 Mortality = 9.3
# First_Case = 2020_01_20
# First_Death = 2020_02_15
# Last_Case = 2020_02_15
# Last_Death = 2020_02_15
# Status as of 2020_08_23 = Clusters of cases
#
Date	Conf_Cases	Conf_Deaths
2020_01_20	1	0
2020_01_21	1	0
2020_01_22	1	0
2020_01_23	1	0
2020_01_24	1	0
2020_01_25	3	0
2020_01_26	3	0
2020_01_27	4	0
2020_01_28	6	0
2020_01_29	7	0
2020_01_30	11	0
2020_01_31	14	0
2020_02_01	17	0
2020_02_02	20	0
2020_02_03	20	0
2020_02_04	20	0
2020_02_05	33	0
2020_02_06	25	0
2020_02_07	25	0
2020_02_08	25	0
2020_02_09	26	0
2020_02_10	26	0
2020_02_11	26	0
2020_02_12	28	0
2020_02_13	29	0
2020_02_14	33	0
2020_02_15	41	1
2020_02_16	53	1
2020_02_17	59	1
2020_02_18	65	1
2020_02_19	73	1
2020_02_20	85	1
2020_02_21	93	1
2020_02_22	105	1
2020_02_23	132	1
2020_02_24	144	1
2020_02_25	157	1
2020_02_26	164	1
2020_02_27	186	3
2020_02_28	210	4
2020_02_29	230	5
2020_03_01	239	5
2020_03_02	254	6
2020_03_03	268	6
2020_03_04	284	6
2020_03_05	317	6
2020_03_06	349	6
2020_03_07	408	6
2020_03_08	455	6
2020_03_09	488	7
2020_03_10	514	9
2020_03_11	568	12
2020_03_12	620	15
2020_03_13	675	19
2020_03_14	716	21
2020_03_15	780	22
2020_03_16	814	24
2020_03_17	829	28
2020_03_18	829	28
2020_03_19	873	29
2020_03_20	950	33
2020_03_21	996	35
2020_03_22	1046	36
2020_03_23	1089	41
2020_03_24	1128	42
2020_03_25	1193	43
2020_03_26	1291	45
2020_03_27	1387	46
2020_03_28	1499	49
2020_03_29	1693	52
2020_03_30	1866	54
2020_03_31	1953	56
2020_04_01	2178	57
2020_04_02	2384	57
2020_04_03	2617	65
2020_04_04	2920	69
2020_04_05	3271	70
2020_04_06	3654	73
2020_04_07	3906	80
2020_04_08	4257	81
2020_04_09	4768	85
