#
# COVID-19 Country file (official WHO count)
# Country = Jersey
# Latitude = 49.0
# Population = 106.800
# Territory = 118.2
# LEB = -999.0
# DPA = 630
# DPA65 = 548
# GDP = 74463.0
# GDP_PPP = 49500.0
# COVID-19 Mortality = 299.6
# First_Case = 2020_03_13
# First_Death = 2020_03_27
# Last_Case = 2020_03_27
# Last_Death = 2020_03_27
# Status as of 2020_08_23 = Community transmission
#
Date	Conf_Cases	Conf_Deaths
2020_03_13	2	0
2020_03_14	2	0
2020_03_15	2	0
2020_03_16	2	0
2020_03_17	2	0
2020_03_18	5	0
2020_03_19	5	0
2020_03_20	5	0
2020_03_21	12	0
2020_03_22	12	0
2020_03_23	15	0
2020_03_24	18	0
2020_03_25	16	0
2020_03_26	18	0
2020_03_27	32	1
2020_03_28	52	1
2020_03_29	61	1
2020_03_30	63	2
2020_03_31	63	2
2020_04_01	63	2
2020_04_02	81	2
2020_04_03	81	2
2020_04_04	118	2
2020_04_05	123	3
2020_04_06	155	3
2020_04_07	155	3
2020_04_08	170	3
2020_04_09	170	3
2020_04_10	170	3
2020_04_11	183	4
2020_04_12	198	4
2020_04_13	198	4
2020_04_14	213	4
2020_04_15	217	4
2020_04_16	217	6
2020_04_17	219	7
2020_04_18	223	10
2020_04_19	234	11
2020_04_20	245	12
2020_04_21	249	12
2020_04_22	250	14
2020_04_23	255	14
2020_04_24	255	18
2020_04_25	276	19
2020_04_26	278	19
2020_04_27	280	19
2020_04_28	281	19
2020_04_29	283	19
2020_04_30	284	20
2020_05_01	290	20
2020_05_02	290	22
2020_05_03	290	23
2020_05_04	291	24
2020_05_05	292	24
2020_05_06	293	24
2020_05_07	293	24
2020_05_08	293	25
2020_05_09	293	25
2020_05_10	293	25
2020_05_11	293	25
2020_05_12	294	25
2020_05_13	294	25
2020_05_14	295	26
2020_05_15	295	26
2020_05_16	297	27
2020_05_17	297	27
2020_05_18	297	27
2020_05_19	302	27
2020_05_20	303	27
2020_05_21	303	28
2020_05_22	306	29
2020_05_23	306	29
2020_05_24	306	29
2020_05_25	306	29
2020_05_26	306	29
2020_05_27	307	29
2020_05_28	307	29
2020_05_29	308	29
2020_05_30	308	29
2020_05_31	308	29
2020_06_01	308	29
2020_06_02	308	29
2020_06_03	308	29
2020_06_04	308	30
2020_06_05	309	30
2020_06_06	309	30
2020_06_07	309	30
2020_06_08	311	30
2020_06_09	311	30
2020_06_10	313	30
2020_06_11	313	30
2020_06_12	313	30
2020_06_13	313	30
2020_06_14	313	30
2020_06_15	313	30
2020_06_16	313	30
2020_06_17	316	30
2020_06_18	316	30
2020_06_19	318	30
2020_06_20	318	30
2020_06_21	318	31
2020_06_22	318	31
2020_06_23	318	31
2020_06_24	318	31
2020_06_25	318	31
2020_06_26	319	31
2020_06_27	319	31
2020_06_28	319	31
2020_06_29	319	31
2020_06_30	319	31
2020_07_01	319	31
2020_07_02	319	31
2020_07_03	319	31
2020_07_04	319	31
2020_07_05	320	31
2020_07_06	320	31
2020_07_07	320	31
2020_07_08	325	31
2020_07_09	325	31
2020_07_10	325	31
2020_07_11	325	31
2020_07_12	325	31
2020_07_13	325	31
2020_07_14	329	31
2020_07_15	329	31
2020_07_16	329	31
2020_07_17	329	31
2020_07_18	331	31
2020_07_19	331	31
2020_07_20	331	31
2020_07_21	331	31
2020_07_22	331	31
2020_07_23	331	31
2020_07_24	331	31
2020_07_25	331	31
2020_07_26	331	31
2020_07_27	332	31
2020_07_28	332	31
2020_07_29	334	31
2020_07_30	335	31
2020_07_31	335	31
2020_08_01	335	31
2020_08_02	335	31
2020_08_03	335	31
2020_08_04	335	31
2020_08_05	339	31
2020_08_06	343	31
2020_08_07	344	31
2020_08_08	345	31
2020_08_09	345	31
2020_08_10	345	31
2020_08_11	345	31
2020_08_12	348	31
2020_08_13	348	31
2020_08_14	352	31
2020_08_15	356	31
2020_08_16	356	31
2020_08_17	357	31
2020_08_18	358	31
2020_08_19	359	31
2020_08_20	360	31
2020_08_21	361	31
2020_08_22	362	31
2020_08_23	363	32
