#
# COVID-19 Country file (official WHO count)
# Country = Jordan
# Latitude = 32.0
# Population = 10208.662
# Territory = 89342.0
# LEB = 74.5
# DPA = 39000
# DPA65 = 21060
# GDP = 4275.0
# GDP_PPP = 10639.0
# COVID-19 Mortality = 938.6
# First_Case = 2020_03_03
# Last_Case = 2021_06_13
# First_Death = 2020_03_28
# Last_Death = 2021_06_13
# Status as of 2021_06_13 = Community transmission
# Vaccine type = Pfizer/BioNTech, Sinopharm/Beijing
# Vaccine start = 2021_01_12
#
Date	Conf_Cases	Conf_Deaths	Daily_Cases	Daily_Deaths
2020_03_03	       1	       0	       1	       0
2020_03_04	       1	       0	       0	       0
2020_03_05	       1	       0	       0	       0
2020_03_06	       1	       0	       0	       0
2020_03_07	       1	       0	       0	       0
2020_03_08	       1	       0	       0	       0
2020_03_09	       1	       0	       0	       0
2020_03_10	       1	       0	       0	       0
2020_03_11	       1	       0	       0	       0
2020_03_12	       1	       0	       0	       0
2020_03_13	       1	       0	       0	       0
2020_03_14	       1	       0	       0	       0
2020_03_15	       1	       0	       0	       0
2020_03_16	       6	       0	       5	       0
2020_03_17	      35	       0	      29	       0
2020_03_18	      35	       0	       0	       0
2020_03_19	      52	       0	      17	       0
2020_03_20	      56	       0	       4	       0
2020_03_21	      69	       0	      13	       0
2020_03_22	      84	       0	      15	       0
2020_03_23	     112	       0	      28	       0
2020_03_24	     127	       0	      15	       0
2020_03_25	     153	       0	      26	       0
2020_03_26	     172	       0	      19	       0
2020_03_27	     212	       0	      40	       0
2020_03_28	     235	       1	      23	       1
2020_03_29	     246	       1	      11	       0
2020_03_30	     259	       3	      13	       2
2020_03_31	     268	       5	       9	       2
2020_04_01	     274	       5	       6	       0
2020_04_02	     278	       5	       4	       0
2020_04_03	     299	       5	      21	       0
2020_04_04	     310	       5	      11	       0
2020_04_05	     323	       5	      13	       0
2020_04_06	     345	       5	      22	       0
2020_04_07	     349	       6	       4	       1
2020_04_08	     353	       6	       4	       0
2020_04_09	     358	       6	       5	       0
2020_04_10	     372	       7	      14	       1
2020_04_11	     372	       7	       0	       0
2020_04_12	     381	       7	       9	       0
