#
# COVID-19 Country file (official WHO count)
# Country = Kenya
# Latitude = -1.0
# Population = 53491.697
# Territory = 580367.0
# LEB = 66.7
# DPA = 284000
# DPA65 = 68160
# GDP = 1739.0
# GDP_PPP = 3682.0
# COVID-19 Mortality = 63.5
# First_Case = 2020_03_14
# Last_Case = 2021_06_13
# First_Death = 2020_03_27
# Last_Death = 2021_06_13
# Status as of 2021_06_13 = Community transmission
# Vaccine type = Oxford/AstraZeneca
# Vaccine start = 2021_03_04
#
Date	Conf_Cases	Conf_Deaths	Daily_Cases	Daily_Deaths
2020_03_14	       1	       0	       1	       0
2020_03_15	       1	       0	       0	       0
2020_03_16	       1	       0	       0	       0
2020_03_17	       3	       0	       2	       0
2020_03_18	       3	       0	       0	       0
2020_03_19	       7	       0	       4	       0
2020_03_20	       7	       0	       0	       0
2020_03_21	       7	       0	       0	       0
2020_03_22	       7	       0	       0	       0
2020_03_23	      15	       0	       8	       0
2020_03_24	      16	       0	       1	       0
2020_03_25	      25	       0	       9	       0
2020_03_26	      25	       0	       0	       0
2020_03_27	      25	       1	       0	       1
2020_03_28	      25	       1	       0	       0
2020_03_29	      25	       1	       0	       0
2020_03_30	      25	       1	       0	       0
2020_03_31	      38	       1	      13	       0
2020_04_01	      50	       1	      12	       0
2020_04_02	      81	       1	      31	       0
2020_04_03	     110	       3	      29	       2
2020_04_04	     122	       4	      12	       1
2020_04_05	     122	       4	       0	       0
2020_04_06	     142	       4	      20	       0
2020_04_07	     142	       4	       0	       0
2020_04_08	     172	       6	      30	       2
2020_04_09	     179	       6	       7	       0
2020_04_10	     184	       7	       5	       1
2020_04_11	     189	       7	       5	       0
2020_04_12	     191	       7	       2	       0
2020_04_13	     197	       8	       6	       1
2020_04_14	     208	       9	      11	       1
2020_04_15	     216	       9	       8	       0
2020_04_16	     225	      10	       9	       1
2020_04_17	     234	      11	       9	       1
2020_04_18	     246	      11	      12	       0
2020_04_19	     262	      12	      16	       1
2020_04_20	     270	      14	       8	       2
2020_04_21	     281	      14	      11	       0
2020_04_22	     296	      14	      15	       0
2020_04_23	     303	      14	       7	       0
2020_04_24	     320	      14	      17	       0
2020_04_25	     336	      14	      16	       0
2020_04_26	     343	      14	       7	       0
2020_04_27	     355	      14	      12	       0
2020_04_28	     363	      14	       8	       0
2020_04_29	     374	      14	      11	       0
2020_04_30	     384	      15	      10	       1
2020_05_01	     396	      17	      12	       2
2020_05_02	     411	      21	      15	       4
2020_05_03	     435	      22	      24	       1
2020_05_04	     466	      24	      31	       2
2020_05_05	     490	      24	      24	       0
2020_05_06	     535	      23	      45	      -1
2020_05_07	     582	      26	      47	       3
2020_05_08	     607	      29	      25	       3
2020_05_09	     621	      29	      14	       0
2020_05_10	     649	      30	      28	       1
2020_05_11	     672	      32	      23	       2
2020_05_12	     700	      33	      28	       1
2020_05_13	     715	      36	      15	       3
2020_05_14	     737	      40	      22	       4
2020_05_15	     758	      42	      21	       2
2020_05_16	     781	      46	      23	       4
2020_05_17	     830	      50	      49	       4
2020_05_18	     887	      50	      57	       0
2020_05_19	     912	      50	      25	       0
2020_05_20	     963	      50	      51	       0
2020_05_21	    1029	      50	      66	       0
2020_05_22	    1109	      50	      80	       0
2020_05_23	    1161	      50	      52	       0
2020_05_24	    1192	      50	      31	       0
2020_05_25	    1214	      51	      22	       1
2020_05_26	    1286	      52	      72	       1
2020_05_27	    1348	      52	      62	       0
2020_05_28	    1471	      55	     123	       3
2020_05_29	    1618	      58	     147	       3
2020_05_30	    1745	      62	     127	       4
2020_05_31	    1888	      63	     143	       1
2020_06_01	    1962	      64	      74	       1
2020_06_02	    2021	      69	      59	       5
2020_06_03	    2093	      71	      72	       2
