#
# COVID-19 Country file (official WHO count)
# Country = Kuwait
# Latitude = 30.0
# Population = 4302.875
# Territory = 17818.0
# LEB = 75.5
# DPA = 12000
# DPA65 = 6120
# GDP = 30719.0
# GDP_PPP = 70163.0
# COVID-19 Mortality = 422.3
# First_Case = 2020_02_24
# Last_Case = 2021_06_13
# First_Death = 2020_04_05
# Last_Death = 2021_06_13
# Status as of 2021_06_13 = Community transmission
# Vaccine type = Pfizer/BioNTech
# Vaccine start = 2021_02_15
#
Date	Conf_Cases	Conf_Deaths	Daily_Cases	Daily_Deaths
2020_02_24	       3	       0	       3	       0
2020_02_25	       8	       0	       5	       0
2020_02_26	      12	       0	       4	       0
2020_02_27	      43	       0	      31	       0
2020_02_28	      43	       0	       0	       0
2020_02_29	      45	       0	       2	       0
2020_03_01	      45	       0	       0	       0
2020_03_02	      56	       0	      11	       0
2020_03_03	      56	       0	       0	       0
2020_03_04	      56	       0	       0	       0
2020_03_05	      58	       0	       2	       0
2020_03_06	      58	       0	       0	       0
2020_03_07	      58	       0	       0	       0
2020_03_08	      62	       0	       4	       0
2020_03_09	      64	       0	       2	       0
2020_03_10	      65	       0	       1	       0
2020_03_11	      69	       0	       4	       0
2020_03_12	      80	       0	      11	       0
2020_03_13	      80	       0	       0	       0
2020_03_14	     100	       0	      20	       0
2020_03_15	     112	       0	      12	       0
2020_03_16	     112	       0	       0	       0
2020_03_17	     130	       0	      18	       0
2020_03_18	     130	       0	       0	       0
2020_03_19	     142	       0	      12	       0
2020_03_20	     148	       0	       6	       0
2020_03_21	     159	       0	      11	       0
2020_03_22	     176	       0	      17	       0
2020_03_23	     189	       0	      13	       0
2020_03_24	     191	       0	       2	       0
2020_03_25	     195	       0	       4	       0
2020_03_26	     208	       0	      13	       0
2020_03_27	     208	       0	       0	       0
2020_03_28	     235	       0	      27	       0
2020_03_29	     235	       0	       0	       0
2020_03_30	     255	       0	      20	       0
2020_03_31	     266	       0	      11	       0
2020_04_01	     289	       0	      23	       0
2020_04_02	     317	       0	      28	       0
2020_04_03	     417	       0	     100	       0
2020_04_04	     417	       0	       0	       0
2020_04_05	     556	       1	     139	       1
2020_04_06	     556	       1	       0	       0
2020_04_07	     665	       1	     109	       0
2020_04_08	     743	       1	      78	       0
2020_04_09	     855	       1	     112	       0
2020_04_10	     910	       1	      55	       0
2020_04_11	     993	       1	      83	       0
2020_04_12	    1154	       1	     161	       0
2020_04_13	    1234	       1	      80	       0
2020_04_14	    1300	       2	      66	       1
2020_04_15	    1355	       3	      55	       1
2020_04_16	    1405	       3	      50	       0
2020_04_17	    1524	       3	     119	       0
2020_04_18	    1658	       5	     134	       2
2020_04_19	    1751	       6	      93	       1
2020_04_20	    1915	       7	     164	       1
2020_04_21	    1995	       9	      80	       2
2020_04_22	    2080	      11	      85	       2
2020_04_23	    2248	      13	     168	       2
2020_04_24	    2399	      14	     151	       1
2020_04_25	    2614	      15	     215	       1
2020_04_26	    2892	      19	     278	       4
2020_04_27	    3075	      20	     183	       1
2020_04_28	    3288	      22	     213	       2
2020_04_29	    3440	      23	     152	       1
2020_04_30	    3740	      24	     300	       1
2020_05_01	    4024	      26	     284	       2
2020_05_02	    4377	      30	     353	       4
