#
# COVID-19 Country file (official WHO count)
# Country = Lao People's Democratic Republic
# Latitude = 18.0
# Population = 7164.822
# Territory = 236800.0
# LEB = 67.9
# DPA = 46000
# DPA65 = 18860
# GDP = 2557.0
# GDP_PPP = 7841.0
# COVID-19 Mortality = 0.0
# First_Case = 2020_03_25
# Last_Case = 2020_08_23
# Status as of 2020_08_23 = Sporadic cases
#
Date	Conf_Cases	Conf_Deaths
2020_03_25	2	0
2020_03_26	3	0
2020_03_27	6	0
2020_03_28	6	0
2020_03_29	6	0
2020_03_30	8	0
2020_03_31	8	0
2020_04_01	9	0
2020_04_02	10	0
2020_04_03	10	0
2020_04_04	10	0
2020_04_05	10	0
2020_04_06	11	0
2020_04_07	12	0
2020_04_08	12	0
2020_04_09	15	0
2020_04_10	15	0
2020_04_11	16	0
2020_04_12	16	0
2020_04_13	19	0
2020_04_14	19	0
2020_04_15	19	0
2020_04_16	19	0
2020_04_17	19	0
2020_04_18	19	0
2020_04_19	19	0
2020_04_20	19	0
2020_04_21	19	0
2020_04_22	19	0
2020_04_23	19	0
2020_04_24	19	0
2020_04_25	19	0
2020_04_26	19	0
2020_04_27	19	0
2020_04_28	19	0
2020_04_29	19	0
2020_04_30	19	0
2020_05_01	19	0
2020_05_02	19	0
2020_05_03	19	0
2020_05_04	19	0
2020_05_05	19	0
2020_05_06	19	0
2020_05_07	19	0
2020_05_08	19	0
2020_05_09	19	0
2020_05_10	19	0
2020_05_11	19	0
2020_05_12	19	0
2020_05_13	19	0
2020_05_14	19	0
2020_05_15	19	0
2020_05_16	19	0
2020_05_17	19	0
2020_05_18	19	0
2020_05_19	19	0
2020_05_20	19	0
2020_05_21	19	0
2020_05_22	19	0
2020_05_23	19	0
2020_05_24	19	0
2020_05_25	19	0
2020_05_26	19	0
2020_05_27	19	0
2020_05_28	19	0
2020_05_29	19	0
2020_05_30	19	0
2020_05_31	19	0
2020_06_01	19	0
2020_06_02	19	0
2020_06_03	19	0
2020_06_04	19	0
2020_06_05	19	0
2020_06_06	19	0
2020_06_07	19	0
2020_06_08	19	0
2020_06_09	19	0
2020_06_10	19	0
2020_06_11	19	0
2020_06_12	19	0
2020_06_13	19	0
2020_06_14	19	0
2020_06_15	19	0
2020_06_16	19	0
2020_06_17	19	0
2020_06_18	19	0
2020_06_19	19	0
2020_06_20	19	0
2020_06_21	19	0
2020_06_22	19	0
2020_06_23	19	0
2020_06_24	19	0
2020_06_25	19	0
2020_06_26	19	0
2020_06_27	19	0
2020_06_28	19	0
2020_06_29	19	0
2020_06_30	19	0
2020_07_01	19	0
2020_07_02	19	0
2020_07_03	19	0
2020_07_04	19	0
2020_07_05	19	0
2020_07_06	19	0
2020_07_07	19	0
2020_07_08	19	0
2020_07_09	19	0
2020_07_10	19	0
2020_07_11	19	0
2020_07_12	19	0
2020_07_13	19	0
2020_07_14	19	0
2020_07_15	19	0
2020_07_16	19	0
2020_07_17	19	0
2020_07_18	19	0
2020_07_19	19	0
2020_07_20	19	0
2020_07_21	19	0
2020_07_22	19	0
2020_07_23	19	0
2020_07_24	19	0
2020_07_25	20	0
2020_07_26	20	0
2020_07_27	20	0
2020_07_28	20	0
2020_07_29	20	0
2020_07_30	20	0
2020_07_31	20	0
2020_08_01	20	0
2020_08_02	20	0
2020_08_03	20	0
2020_08_04	20	0
2020_08_05	20	0
2020_08_06	20	0
2020_08_07	20	0
2020_08_08	20	0
2020_08_09	20	0
2020_08_10	20	0
2020_08_11	20	0
2020_08_12	20	0
2020_08_13	20	0
2020_08_14	20	0
2020_08_15	20	0
2020_08_16	22	0
2020_08_17	22	0
2020_08_18	22	0
2020_08_19	22	0
2020_08_20	22	0
2020_08_21	22	0
2020_08_22	22	0
2020_08_23	22	0
