#
# COVID-19 Country file (official WHO count)
# Country = Lebanon
# Latitude = 34.0
# Population = 6019.795
# Territory = 10452.0
# LEB = 78.9
# DPA = 30000
# DPA65 = 21000
# GDP = 8901.0
# GDP_PPP = 16060.0
# COVID-19 Mortality = 1294.7
# First_Case = 2020_02_22
# Last_Case = 2021_06_13
# First_Death = 2020_03_11
# Last_Death = 2021_06_13
# Status as of 2021_06_13 = Community transmission
# Vaccine type = Pfizer/BioNTech
# Vaccine start = 2021_03_10
#
Date	Conf_Cases	Conf_Deaths	Daily_Cases	Daily_Deaths
2020_02_22	       1	       0	       1	       0
2020_02_23	       1	       0	       0	       0
2020_02_24	       1	       0	       0	       0
2020_02_25	       1	       0	       0	       0
2020_02_26	       1	       0	       0	       0
2020_02_27	       2	       0	       1	       0
2020_02_28	       2	       0	       0	       0
2020_02_29	       2	       0	       0	       0
2020_03_01	       2	       0	       0	       0
2020_03_02	      10	       0	       8	       0
2020_03_03	      13	       0	       3	       0
2020_03_04	      13	       0	       0	       0
2020_03_05	      13	       0	       0	       0
2020_03_06	      16	       0	       3	       0
2020_03_07	      22	       0	       6	       0
2020_03_08	      28	       0	       6	       0
2020_03_09	      32	       0	       4	       0
2020_03_10	      41	       0	       9	       0
2020_03_11	      41	       1	       0	       1
2020_03_12	      66	       3	      25	       2
2020_03_13	      66	       3	       0	       0
2020_03_14	      77	       4	      11	       1
2020_03_15	      93	       3	      16	      -1
2020_03_16	      99	       3	       6	       0
2020_03_17	     109	       3	      10	       0
2020_03_18	     120	       3	      11	       0
2020_03_19	     133	       4	      13	       1
2020_03_20	     149	       4	      16	       0
2020_03_21	     163	       4	      14	       0
2020_03_22	     206	       4	      43	       0
2020_03_23	     248	       4	      42	       0
2020_03_24	     267	       4	      19	       0
2020_03_25	     304	       4	      37	       0
2020_03_26	     333	       4	      29	       0
2020_03_27	     368	       6	      35	       2
2020_03_28	     391	       8	      23	       2
2020_03_29	     412	       8	      21	       0
2020_03_30	     438	      10	      26	       2
2020_03_31	     446	      11	       8	       1
2020_04_01	     463	      12	      17	       1
2020_04_02	     479	      12	      16	       0
2020_04_03	     508	      17	      29	       5
2020_04_04	     508	      17	       0	       0
2020_04_05	     527	      18	      19	       1
2020_04_06	     527	      18	       0	       0
2020_04_07	     541	      19	      14	       1
2020_04_08	     548	      19	       7	       0
2020_04_09	     575	      19	      27	       0
2020_04_10	     582	      19	       7	       0
2020_04_11	     609	      20	      27	       1
2020_04_12	     619	      20	      10	       0
2020_04_13	     630	      20	      11	       0
